Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778663885569,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,4,0,0,11.538461685180664,0,0,4,4,4,4,4.1666669845581055,0,0,0,4.1666669845581055,0,140703.37664794922,18222.677734375,0,404332056576,8589930496,6715805696,0
200,1778663885569,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,4,0,0,11.538461685180664,0,0,4,4,4,4,4.1666669845581055,0,0,0,4.1666669845581055,0,140703.37664794922,18222.677734375,0,404332056576,8589930496,6715805696,0
199,1778663885770,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,5,5,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,140705.3878173828,18228.21368408203,0,404332056576,8589930496,6742122496,0
199,1778663885970,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140708.4907836914,18234.822814941406,0,404332056576,8589930496,6775152640,0
199,1778663886170,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140711.6333618164,18241.422424316406,0,404332056576,8589930496,6808182784,0
199,1778663886370,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140714.75415039063,18248.035278320313,0,404332056576,8589930496,6841212928,0
199,1778663886570,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,140717.8504638672,18254.649780273438,0,404332056576,8589930496,6882500608,0
199,1778663886770,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140720.94122314453,18261.244873046875,0,404332056576,8589930496,6915014656,0
199,1778663886970,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140723.9613647461,18267.859436035156,0,404332056576,8589930496,6956302336,0
199,1778663887171,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140727.0399169922,18274.464782714844,0,404332056576,8589930496,6989332480,0
199,1778663887371,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140730.14709472656,18281.070373535156,0,404332056576,8589930496,7022362624,0
199,1778663887571,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140733.20428466797,18287.681213378906,0,404332056576,8589930496,7055134720,0
199,1778663887771,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140736.2865600586,18294.27569580078,0,404332056576,8589930496,7087648768,0
199,1778663887971,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140739.39184570313,18300.882080078125,0,404332056576,8589930496,7120678912,0
199,1778663888171,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140742.4522705078,18307.45587158203,0,404332056576,8589930496,7153709056,0
199,1778663888371,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140745.48498535156,18314.078125,0,404332056576,8589930496,7186739200,0
199,1778663888571,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140748.58435058594,18320.684997558594,0,404332056576,8589930496,7219769344,0
199,1778663888772,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140751.64678955078,18327.29022216797,0,404332056576,8589930496,7252799488,0
199,1778663888972,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140754.6953125,18333.909057617188,0,404332056576,8589930496,7285829632,0
199,1778663889172,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140757.80151367188,18340.526306152344,0,404332056576,8589930496,7318601728,0
199,1778663889372,1000,800,800,2099,880,893,800,800,2000,1277,800,800,800,2009,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140760.92279052734,18347.130493164063,0,404332056576,8589930496,7351631872,0
