Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778662504164,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,4,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,0,8,4,128416.8295288086,233908.97412109375,0,404332056576,8589930496,8034078720,0
199,1778662504164,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,4,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,0,8,4,128416.83465576172,233908.9926147461,0,404332056576,8589930496,8034078720,0
199,1778662504364,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,0,0,0,0,5,100,0,0,0,0,0,9.523809432983398,0,0,128417.34356689453,233913.6514892578,0,404332056576,8589930496,8035876864,0
199,1778662504564,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,128417.84552001953,233918.99237060547,0,404332056576,8589930496,8035876864,0
199,1778662504765,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,128418.32971191406,233924.33111572266,0,404332056576,8589930496,8032145408,0
199,1778662504965,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,128418.82824707031,233929.67114257813,0,404332056576,8589930496,8032145408,0
201,1778662505165,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,128419.28405761719,233935.0122680664,0,404332056576,8589930496,8011755520,0
199,1778662505366,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,40.90909194946289,33.333335876464844,0,0,0,0,0,47.36842346191406,23.809524536132813,15.000000953674316,10,0,47.619049072265625,50,0,0,128420.49255371094,233941.13104248047,0,404332056576,8589930496,8013979648,0
199,1778662505566,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,63.15789031982422,68.42105102539063,59.09090805053711,55,61.904762268066406,83.33332824707031,73.68421173095703,68.18181610107422,52.6315803527832,70,70,95,75,50,68.42105102539063,71.42857360839844,128423.47192382813,233949.6265258789,0,404332056576,8589930496,7996465152,0
199,1778662505767,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,70,33.333335876464844,84.21052551269531,70,0,57.142860412597656,65,73.68421173095703,47.619049072265625,30.000001907348633,60.000003814697266,28.571430206298828,20,80.95238494873047,50,31.57894515991211,128424.79888916016,233956.84759521484,0,404332056576,8589930496,7972384768,0
199,1778662505967,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,35,50,0,0,15.000000953674316,0,25,30.000001907348633,65,47.619049072265625,63.15789031982422,60.000003814697266,60.000003814697266,20,76.19047546386719,128426.85076904297,233963.86376953125,0,404332056576,8589930496,7972171776,0
199,1778662506167,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,63.15789031982422,10.526315689086914,52.38095474243164,66.66667175292969,4.761904716491699,35,66.66667175292969,75,25,0,42.105262756347656,0,0,42.105262756347656,40,50,128427.52490234375,233969.89428710938,0,404332056576,8589930496,7964336128,0
199,1778662506367,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,50,78.94737243652344,0,5,25,0,52.38095474243164,20,47.36842346191406,50,63.15789031982422,66.66667175292969,71.42857360839844,0,68.42105102539063,128428.77282714844,233976.09991455078,0,404332056576,8589930496,7964123136,0
199,1778662506567,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,76.19047546386719,40,45,50,0,25,63.15789031982422,63.15789031982422,45,19.047618865966797,50,0,0,47.36842346191406,15.000000953674316,61.904762268066406,128429.48010253906,233981.42218017578,0,404332056576,8589930496,7950843904,0
199,1778662506767,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,35,20,0,40,10,35,0,4.761904716491699,65,4.761904716491699,0,60.000003814697266,0,0,128430.0864868164,233986.1141357422,0,404332056576,8589930496,7905492992,0
202,1778662506967,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,0,0,35,20,0,40,10,35,0,4.761904716491699,65,4.761904716491699,0,60.000003814697266,0,0,128430.64068603516,233991.67114257813,0,404332056576,8589930496,7856357376,0
199,1778662507169,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,72.5,74.35897827148438,70,61.5384635925293,67.5,62.5,61.5384635925293,95,67.5,74.35897827148438,72.5,70.73170471191406,72.5,70,75.60975646972656,76.92308044433594,128431.3168334961,234000.1099243164,0,404332056576,8589930496,7859740672,0
199,1778662507369,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,36.842105865478516,61.904762268066406,55,80,71.42857360839844,75,71.42857360839844,47.619049072265625,73.68421173095703,35,26.3157901763916,70,60.000003814697266,25,71.42857360839844,70,128431.92449951172,234006.5430908203,0,404332056576,8589930496,7820111872,0
201,1778662507570,800,2561,800,800,2100,1682,1460,1500,800,800,2099,1999,809,1975,800,1000,95,89.47368621826172,85,95,89.47368621826172,100,100,78.94737243652344,85.71428680419922,95,100,85,85.71428680419922,90,84.21052551269531,85.71428680419922,128433.59289550781,234016.00811767578,0,404332056576,8589930496,7820722176,0
