Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778652392518,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,73.07691955566406,8,4,4,7.407407283782959,7.407407283782959,3.846153974533081,7.692307949066162,3.846153974533081,4,7.692307949066162,11.538461685180664,0,3.846153974533081,4,3.846153974533081,95391.70629882813,32581.84112548828,0,404332056576,8589930496,4147712000,0
200,1778652392518,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,73.07691955566406,8,4,4,7.407407283782959,7.407407283782959,3.846153974533081,7.692307949066162,3.846153974533081,4,7.692307949066162,11.538461685180664,0,3.846153974533081,4,3.846153974533081,95391.72186279297,32581.8740234375,0,404332056576,8589930496,4147712000,0
199,1778652392718,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,80,5,0,0,0,0,0,0,0,0,0,0,0,0,95.23809814453125,0,95394.53997802734,32588.49444580078,0,404332056576,8589930496,4173451264,0
200,1778652392918,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,80,5,0,0,0,0,0,0,0,0,0,0,0,0,95.23809814453125,0,95397.43255615234,32595.131103515625,0,404332056576,8589930496,4179009536,0
199,1778652393118,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,97.5,0,0,2.4390242099761963,0,0,0,0,0,0,0,0,4.878048419952393,0,2.5641026496887207,0,95400.38806152344,32601.868041992188,0,404332056576,8589930496,4187267072,0
199,1778652393318,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95403.3529663086,32608.609008789063,0,404332056576,8589930496,4187267072,0
199,1778652393518,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95406.33471679688,32615.352600097656,0,404332056576,8589930496,4187267072,0
199,1778652393719,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95409.31243896484,32622.09686279297,0,404332056576,8589930496,4187267072,0
199,1778652393919,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,42.105262756347656,10,0,0,0,0,0,0,0,0,0,0,0,0,42.85714340209961,0,95411.3110961914,32628.15838623047,0,404332056576,8589930496,4195770368,0
199,1778652394119,1320,1746,800,1408,800,1000,1658,800,800,800,800,2099,1999,2009,800,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,95411.92846679688,32633.572814941406,0,404332056576,8589930496,4220284928,0
