Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780343958902,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,6.45161247253418,10.344827651977539,0,3.4482758045196533,0,7.142857551574707,7.142857551574707,3.4482758045196533,6.45161247253418,0,3.4482758045196533,91189.18176269531,9324.347961425781,0,404331982848,8589930496,4652490752,0
199,1780343958902,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,6.45161247253418,10.344827651977539,0,3.4482758045196533,0,7.142857551574707,7.142857551574707,3.4482758045196533,6.45161247253418,0,3.4482758045196533,91189.19201660156,9324.369995117188,0,404331982848,8589930496,4652490752,0
199,1780343959102,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,91189.62725830078,9328.925903320313,0,404331982848,8589930496,4672618496,0
199,1780343959302,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,85,0,0,0,0,0,0,10.526315689086914,0,0,0,0,0,0,0,0,91191.26397705078,9334.939453125,0,404331982848,8589930496,4698681344,0
200,1780343959502,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,85,0,0,0,0,0,0,10.526315689086914,0,0,0,0,0,0,0,0,91194.19458007813,9344.659973144531,0,404331982848,8589930496,4736098304,0
201,1780343959702,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,90,80,82.05128479003906,82.5,82.05128479003906,82.05128479003906,80.48780822753906,75.60975646972656,77.5,82.92682647705078,72.5,75,74.35897827148438,72.5,77.5,75,91196.83996582031,9355.505187988281,0,404331982848,8589930496,4735836160,0
199,1780343959903,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,70,45,76.19047546386719,71.42857360839844,80.95238494873047,75,88.8888931274414,57.142860412597656,40,36.842105865478516,35,30.000001907348633,30.000001907348633,30.000001907348633,55,55,91199.36889648438,9363.507019042969,0,404331982848,8589930496,4760948736,0
200,1780343960104,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,95,91202.12866210938,9375.557373046875,0,404331982848,8589930496,4760948736,0
199,1780343960304,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,52.38095474243164,50,70,52.38095474243164,84.21052551269531,85.71428680419922,66.66667175292969,68.42105102539063,52.6315803527832,52.38095474243164,61.904762268066406,65,40,70,52.38095474243164,60.000003814697266,91204.60388183594,9384.036254882813,0,404331982848,8589930496,4760170496,0
199,1780343960505,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,100,100,90,100,100,100,90,90,100,100,94.73684692382813,100,100,90,100,90.47618865966797,91207.39086914063,9396.108093261719,0,404331982848,8589930496,4760170496,0
199,1780343960705,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,75,80.95238494873047,65,47.36842346191406,38.095237731933594,65,35,35,63.6363639831543,63.15789031982422,61.904762268066406,63.15789031982422,65,60.000003814697266,55,85,91210.27221679688,9405.444091796875,0,404331982848,8589930496,4761202688,0
200,1780343960905,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,100,100,85,100,100,100,100,100,95,100,85,85,100,100,95,85,91213.11193847656,9417.37451171875,0,404331982848,8589930496,4769460224,0
199,1780343961105,2099,876,1374,1506,1113,800,800,800,1784,800,1799,800,800,1000,800,800,5,0,0,5,10,0,5,10,0,9.523809432983398,0,25,5,5,4.761904716491699,55,91215.23211669922,9423.447021484375,0,404331982848,8589930496,4719915008,0
