Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1782138428804,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,3.22580623626709,0,0,0,0,0,0,100,0,0,3.3333334922790527,0,0,3.3333334922790527,3.3333334922790527,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,0,3.3333334922790527,0,0,0,0,0,24564,357,13261,29,0,48785.826110839844,125347.4262084961,0,134868582400,8589930496,2262335488,0
200,1782138428804,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,3.22580623626709,0,0,0,0,0,0,100,0,0,3.3333334922790527,0,0,3.3333334922790527,3.3333334922790527,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,0,3.3333334922790527,0,0,0,0,0,24564,357,13261,29,0,48786.22021484375,125347.72100830078,0,134868582400,8589930496,2262335488,0
200,1782138429004,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,78.26087188720703,0,0,100,0,0,0,0,0,27.272727966308594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13261,29,0,48795.598205566406,125355.07690429688,0,134868582400,8589930496,2272612352,0
200,1782138429204,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13261,29,0,48806.65026855469,125364.11059570313,0,134868582400,8589930496,2268819456,0
200,1782138429404,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13261,29,0,48817.07940673828,125372.53381347656,0,134868582400,8589930496,2276999168,0
200,1782138429605,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13261,29,0,48827.26788330078,125380.71508789063,0,134868582400,8589930496,2276192256,0
200,1782138429805,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13224,29,0,48837.4384765625,125388.87902832031,0,134868582400,8589930496,2280550400,0
200,1782138430005,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13224,29,0,48847.65856933594,125397.09216308594,0,134868582400,8589930496,2280550400,0
200,1782138430205,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13224,29,0,48857.855041503906,125405.28326416016,0,134868582400,8589930496,2280550400,0
200,1782138430405,1056,800,800,800,5746,946,800,5887,800,800,3404,4399,800,1636,3700,1595,4400,2560,4400,3682,3750,800,800,2128,2993,4157,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13224,29,0,48868.12860107422,125413.55078125,0,134868582400,8589930496,2280550400,0
