Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1781990419868,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,3.4482758045196533,3.4482758045196533,0,14.285715103149414,3.3333334922790527,75.86206817626953,0,0,0,0,0,0,0,6.896551609039307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13131,39,0,153642.81866455078,139417.1254272461,0,134868582400,8589930496,2329231360,0
200,1781990419868,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,3.4482758045196533,3.4482758045196533,0,14.285715103149414,3.3333334922790527,75.86206817626953,0,0,0,0,0,0,0,6.896551609039307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13131,39,0,153643.2260131836,139417.42852783203,0,134868582400,8589930496,2333102080,0
200,1781990420069,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,36.3636360168457,36.3636360168457,38.095237731933594,38.095237731933594,60.869564056396484,61.904762268066406,100,39.130435943603516,38.095237731933594,38.095237731933594,50,40.90909194946289,40.90909194946289,39.130435943603516,40.90909194946289,38.095237731933594,40.90909194946289,39.130435943603516,38.095237731933594,38.095237731933594,40.90909194946289,36.3636360168457,42.85714340209961,36.3636360168457,36.3636360168457,36.3636360168457,36.3636360168457,36.3636360168457,39.130435943603516,39.130435943603516,38.095237731933594,39.130435943603516,0,24564,357,13131,39,0,153661.9154663086,139433.98944091797,0,134868582400,8589930496,2443272192,0
200,1781990420269,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,30.000001907348633,42.105262756347656,42.85714340209961,42.85714340209961,100,40,100,42.105262756347656,40,42.85714340209961,40,40,45,40,40,42.85714340209961,40,42.105262756347656,42.85714340209961,42.85714340209961,40,42.105262756347656,42.85714340209961,42.105262756347656,45,45,45,45,42.105262756347656,40,42.85714340209961,40,0,24564,749,13854,39,0,153680.93408203125,139450.79724121094,0,134868582400,8589930496,2674814976,0
200,1781990420469,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,787,26045,41,32,153690.6597290039,139458.24310302734,0,134868582400,8589930496,2708062208,0
200,1781990420669,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,787,35486,42,86,153700.22729492188,139465.5518798828,0,134868582400,8589930496,2699436032,0
200,1781990420869,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,787,42969,42,86,153709.65600585938,139472.72265625,0,134868582400,8589930496,2715938816,0
200,1781990421069,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,787,48829,42,86,153719.17083740234,139479.96978759766,0,134868582400,8589930496,2715938816,0
200,1781990421270,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,5.263157844543457,0,55,0,100,0,0,0,0,4.761904716491699,0,5,10,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,24564,357,86990,41,81,153727.88842773438,139486.38916015625,0,134868582400,8589930496,2480148480,0
200,1781990421470,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,42.105262756347656,42.85714340209961,45,75,100,45,68.42105102539063,45,42.105262756347656,42.105262756347656,45,42.105262756347656,40,42.85714340209961,42.85714340209961,45,42.85714340209961,42.85714340209961,42.105262756347656,40,42.105262756347656,45,40,42.85714340209961,40,40,42.85714340209961,40,42.85714340209961,42.105262756347656,42.105262756347656,45,0,24564,785,85807,41,4,153747.29754638672,139503.43359375,0,134868582400,8589930496,2706821120,0
200,1781990421670,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,787,86772,42,40,153756.73236083984,139510.59118652344,0,134868582400,8589930496,2713939968,0
200,1781990421870,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24564,787,86757,42,85,153765.9868774414,139517.58642578125,0,134868582400,8589930496,2710298624,0
200,1781990422070,1060,800,1880,800,5681,800,5633,800,3475,800,3315,800,5684,800,4399,800,4399,3020,3703,1632,800,800,2294,800,3422,800,2502,800,1558,800,5651,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,787,86841,42,86,153775.26220703125,139524.6025390625,0,134868582400,8589930496,2710298624,0
