Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1782145292622,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,2.857142925262451,0,0,0,0,0,0,2.777777910232544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142925262451,0,0,24564,357,13547,29,0,97198.32421875,104916.69244384766,0,134868582400,8589930496,2256998400,0
200,1782145292622,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,2.857142925262451,0,0,0,0,0,0,2.777777910232544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142925262451,0,0,24564,357,13547,29,0,97198.82482910156,104917.02935791016,0,134868582400,8589930496,2272731136,0
200,1782145292822,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,38.095237731933594,36.3636360168457,36.3636360168457,39.130435943603516,100,39.130435943603516,31.81818199157715,39.130435943603516,39.130435943603516,47.826087951660156,36.3636360168457,39.130435943603516,40.90909194946289,36.3636360168457,36.3636360168457,36.3636360168457,36.3636360168457,36.3636360168457,39.130435943603516,36.3636360168457,36.3636360168457,21.7391300201416,38.095237731933594,40.90909194946289,39.130435943603516,39.130435943603516,63.6363639831543,36.3636360168457,36.3636360168457,39.130435943603516,39.130435943603516,36.3636360168457,0,24564,357,13547,29,0,97217.97387695313,104934.1488647461,0,134868582400,8589930496,2279645184,0
200,1782145293022,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13547,29,0,97228.60089111328,104942.76428222656,0,134868582400,8589930496,2295902208,0
200,1782145293222,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13547,29,0,97239.6342163086,104951.80364990234,0,134868582400,8589930496,2295902208,0
200,1782145293422,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13547,29,0,97250.91497802734,104961.06671142578,0,134868582400,8589930496,2300096512,0
200,1782145293622,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,4.761904716491699,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13611,29,0,97261.37957763672,104969.52087402344,0,134868582400,8589930496,2300096512,0
200,1782145293822,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13611,29,0,97271.55303955078,104977.68768310547,0,134868582400,8589930496,2300096512,0
200,1782145294023,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13611,29,0,97281.71459960938,104985.84442138672,0,134868582400,8589930496,2304290816,0
200,1782145294223,800,800,992,800,5880,800,1313,800,800,4399,4398,800,2055,4057,2649,800,3295,2378,4399,800,800,800,800,800,880,877,3488,800,2060,800,2662,800,0,0,0,0,100,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13611,29,0,97291.93621826172,104994.05615234375,0,134868582400,8589930496,2304286720,0
