Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1782131595477,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,0,0,0,100,0,0,0,0,6.896551609039307,6.6666669845581055,0,3.4482758045196533,0,0,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,0,3.4482758045196533,0,0,0,3.4482758045196533,3.4482758045196533,0,0,0,0,24564,357,13095,30,0,40259.109313964844,185302.34161376953,0,134868582400,8589930496,2236588032,0
200,1782131595477,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,0,0,0,100,0,0,0,0,6.896551609039307,6.6666669845581055,0,3.4482758045196533,0,0,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,0,3.4482758045196533,0,0,0,3.4482758045196533,3.4482758045196533,0,0,0,0,24564,357,13095,30,0,40259.490295410156,185302.6244506836,0,134868582400,8589930496,2244587520,0
200,1782131595677,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,85.71428680419922,0,0,100,4.34782600402832,0,0,0,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13095,30,0,40268.98406982422,185310.10150146484,0,134868582400,8589930496,2247426048,0
200,1782131595877,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13076,30,0,40280.187561035156,185319.2969970703,0,134868582400,8589930496,2263683072,0
200,1782131596077,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13076,30,0,40290.39764404297,185327.50219726563,0,134868582400,8589930496,2263683072,0
200,1782131596278,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13076,30,0,40301.5830078125,185336.68743896484,0,134868582400,8589930496,2262941696,0
200,1782131596478,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13076,30,0,40312.75012207031,185345.84112548828,0,134868582400,8589930496,2262941696,0
200,1782131596678,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13076,30,0,40323.86730957031,185354.9525756836,0,134868582400,8589930496,2263592960,0
200,1782131596878,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,85,0,0,100,0,0,0,0,0,0,9.523809432983398,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13120,30,0,40333.228759765625,185362.2752685547,0,134868582400,8589930496,2270023680,0
200,1782131597078,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,4.761904716491699,0,0,0,100,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13120,30,0,40343.374450683594,185370.41467285156,0,134868582400,8589930496,2270019584,0
200,1782131597278,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13120,30,0,40353.546630859375,185378.5799560547,0,134868582400,8589930496,2270019584,0
200,1782131597478,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13120,30,0,40363.63293457031,185386.66174316406,0,134868582400,8589930496,2270019584,0
200,1782131597679,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13120,30,0,40373.74377441406,185394.77081298828,0,134868582400,8589930496,2268180480,0
200,1782131597879,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13121,30,0,40383.861572265625,185402.8817138672,0,134868582400,8589930496,2266345472,0
200,1782131598079,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,89.47368621826172,0,0,100,0,0,0,0,0,0,0,0,14.285715103149414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13121,30,0,40393.40710449219,185410.39044189453,0,134868582400,8589930496,2293010432,0
200,1782131598279,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13121,30,0,40403.532958984375,185418.49768066406,0,134868582400,8589930496,2293010432,0
200,1782131598479,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,24564,357,13121,30,0,40413.530029296875,185426.50122070313,0,134868582400,8589930496,2291019776,0
200,1782131598679,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13121,30,0,40423.618225097656,185434.57232666016,0,134868582400,8589930496,2289807360,0
200,1782131598879,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13197,30,0,40434.447326660156,185443.3978881836,0,134868582400,8589930496,2289807360,0
200,1782131599079,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13197,30,0,40444.702575683594,185451.6453857422,0,134868582400,8589930496,2289807360,0
200,1782131599279,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,85.71428680419922,0,0,100,4.761904716491699,0,0,0,5,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13197,30,0,40454.14685058594,185459.0482788086,0,134868582400,8589930496,2283679744,0
200,1782131599480,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13197,30,0,40464.13903808594,185467.03619384766,0,134868582400,8589930496,2282422272,0
200,1782131599680,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13197,30,0,40474.21319580078,185475.1005859375,0,134868582400,8589930496,2274164736,0
200,1782131599880,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13182,30,0,40484.31262207031,185483.19982910156,0,134868582400,8589930496,2282164224,0
200,1782131600080,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13182,30,0,40494.47930908203,185491.35968017578,0,134868582400,8589930496,2282164224,0
200,1782131600280,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13182,30,0,40504.51531982422,185499.40240478516,0,134868582400,8589930496,2280247296,0
200,1782131600480,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,80.95238494873047,0,0,100,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13182,30,0,40514.079345703125,185506.91705322266,0,134868582400,8589930496,2286256128,0
200,1782131600680,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13182,30,0,40524.006896972656,185514.84240722656,0,134868582400,8589930496,2289442816,0
200,1782131600880,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13150,30,0,40534.14044189453,185522.9539794922,0,134868582400,8589930496,2289442816,0
200,1782131601081,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13150,30,0,40544.186096191406,185530.9956665039,0,134868582400,8589930496,2289442816,0
200,1782131601281,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13150,30,0,40554.29479980469,185539.09826660156,0,134868582400,8589930496,2289442816,0
199,1782131601481,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13150,30,0,40564.47607421875,185547.27197265625,0,134868582400,8589930496,2289209344,0
199,1782131601681,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,24564,357,13150,30,0,40574.57293701172,185555.3656616211,0,134868582400,8589930496,2297466880,0
199,1782131601881,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,5,0,0,0,84.21052551269531,0,0,100,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,24564,357,13148,30,0,40584.00183105469,185562.75274658203,0,134868582400,8589930496,2317848576,0
200,1782131602081,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13148,30,0,40594.108459472656,185570.85137939453,0,134868582400,8589930496,2317844480,0
200,1782131602281,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,4.761904716491699,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13148,30,0,40604.13836669922,185578.8741455078,0,134868582400,8589930496,2317844480,0
200,1782131602481,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13148,30,0,40614.27313232422,185587.00677490234,0,134868582400,8589930496,2316644352,0
200,1782131602681,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13148,30,0,40624.42810058594,185595.14880371094,0,134868582400,8589930496,2315956224,0
200,1782131602881,4160,800,800,800,800,800,800,5936,800,4401,3522,800,5285,4398,4399,800,4401,800,2782,2270,800,1948,800,800,800,2411,799,800,3162,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13112,30,0,40634.6396484375,185603.36083984375,0,134868582400,8589930496,2315956224,0
