Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1781993276543,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,3.7037036418914795,0,0,0,0,100,0,0,0,0,0,0,0,0,3.5714287757873535,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,3.5714287757873535,0,0,24564,357,13869,32,0,1062.2453002929688,219835.4053955078,0,134868582400,8589930496,2314399744,0
200,1781993276543,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,3.7037036418914795,0,0,0,0,100,0,0,0,0,0,0,0,0,3.5714287757873535,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,3.5714287757873535,0,0,24564,357,13869,32,0,1062.687255859375,219835.7275390625,0,134868582400,8589930496,2314399744,0
200,1781993276744,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,39.130435943603516,39.130435943603516,36.3636360168457,39.130435943603516,69.56521606445313,39.130435943603516,39.130435943603516,100,36.3636360168457,36.3636360168457,36.3636360168457,36.3636360168457,39.130435943603516,39.130435943603516,36.3636360168457,36.3636360168457,63.6363639831543,36.3636360168457,36.3636360168457,36.3636360168457,34.78260803222656,36.3636360168457,36.3636360168457,39.130435943603516,45.45454788208008,39.130435943603516,39.130435943603516,39.130435943603516,39.130435943603516,36.3636360168457,39.130435943603516,36.3636360168457,0,24564,357,13845,32,0,1080.8748168945313,219851.77856445313,0,134868582400,8589930496,2450661376,0
200,1781993276944,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,42.105262756347656,40,42.85714340209961,42.105262756347656,66.66667175292969,42.105262756347656,42.105262756347656,100,75,45,45,42.85714340209961,40,42.105262756347656,42.85714340209961,42.85714340209961,42.85714340209961,40,45,42.105262756347656,42.105262756347656,42.105262756347656,42.85714340209961,40,45,42.105262756347656,40,40,40,42.85714340209961,40,42.85714340209961,0,24564,745,13835,33,0,1098.968994140625,219867.69464111328,0,134868582400,8589930496,2625478656,0
200,1781993277144,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,0,24564,799,19095,33,2,1107.8145751953125,219874.25024414063,0,134868582400,8589930496,2703495168,0
200,1781993277344,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,24642,34,0,1118.1295776367188,219882.3021850586,0,134868582400,8589930496,2728267776,0
200,1781993277544,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,24564,799,28960,34,0,1127.1605224609375,219889.0629272461,0,134868582400,8589930496,2786177024,0
200,1781993277745,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,32416,34,0,1135.9627075195313,219895.55346679688,0,134868582400,8589930496,2860298240,0
200,1781993277945,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,53119,34,1,1145.8742065429688,219903.18103027344,0,134868582400,8589930496,2876035072,0
200,1781993278145,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,63522,34,0,1155.4371337890625,219910.48962402344,0,134868582400,8589930496,2876035072,0
200,1781993278345,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,9.090909004211426,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,63504,34,0,1164.33251953125,219917.09643554688,0,134868582400,8589930496,2876035072,0
199,1781993278545,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,0,0,0,0,100,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,63483,38,0,1173.131591796875,219923.58422851563,0,134868582400,8589930496,2873749504,0
200,1781993278745,1117,800,2233,800,800,800,800,5979,800,4399,4380,4401,800,800,800,4400,2800,4400,2972,3141,1862,3250,800,800,800,4399,1691,1558,800,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,799,87417,44,80,1181.35791015625,219929.5487060547,0,134868582400,8589930496,2870108160,0
