Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1782134076780,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,3.3333334922790527,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4482758045196533,0,0,0,3.4482758045196533,0,0,0,0,0,3.5714287757873535,0,0,24564,357,13022,30,0,140024.74877929688,260185.49487304688,0,134868582400,8589930496,2269372416,0
200,1782134076780,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,3.3333334922790527,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4482758045196533,0,0,0,3.4482758045196533,0,0,0,0,0,3.5714287757873535,0,0,24564,357,13022,30,0,140025.11419677734,260185.75720214844,0,134868582400,8589930496,2294140928,0
200,1782134076980,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,10,0,0,0,71.42857360839844,0,100,0,9.523809432983398,0,0,0,0,0,0,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13022,30,0,140034.76043701172,260193.38836669922,0,134868582400,8589930496,2314510336,0
200,1782134077180,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,9.090909004211426,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13070,30,0,140046.12957763672,260202.73828125,0,134868582400,8589930496,2338766848,0
200,1782134077380,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13070,30,0,140056.62896728516,260211.2325439453,0,134868582400,8589930496,2338766848,0
200,1782134077580,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13070,30,0,140068.40002441406,260220.99615478516,0,134868582400,8589930496,2340298752,0
200,1782134077780,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,9.090909004211426,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13070,30,0,140079.96282958984,260230.55487060547,0,134868582400,8589930496,2340298752,0
200,1782134077980,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,0,0,0,0,85,0,100,0,0,0,5,9.523809432983398,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13070,30,0,140089.70385742188,260238.25231933594,0,134868582400,8589930496,2333724672,0
200,1782134078180,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13060,30,0,140100.10278320313,260246.63806152344,0,134868582400,8589930496,2333724672,0
199,1782134078380,5149,800,800,800,800,1035,5837,800,3798,800,4400,800,2246,1854,1642,4399,4398,2941,4401,800,800,3288,800,800,800,3056,1367,800,800,800,800,800,4.761904716491699,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,13060,30,0,140110.58367919922,260255.10626220703,0,134868582400,8589930496,2333724672,0
