Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1781991435536,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,0,3.22580623626709,100,0,3.22580623626709,0,0,3.22580623626709,0,3.125,0,3.22580623626709,0,0,0,0,3.125,0,0,0,3.125,0,0,0,3.22580623626709,0,3.22580623626709,0,0,24564,357,13180,37,0,193572.45361328125,168880.26263427734,0,134868582400,8589930496,2346700800,0
200,1781991435536,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,0,3.22580623626709,100,0,3.22580623626709,0,0,3.22580623626709,0,3.125,0,3.22580623626709,0,0,0,0,3.125,0,0,0,3.125,0,0,0,3.22580623626709,0,3.22580623626709,0,0,24564,357,13180,37,0,193572.8237915039,168880.53741455078,0,134868582400,8589930496,2350055424,0
200,1781991435736,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,50,36.3636360168457,36.3636360168457,40.90909194946289,39.130435943603516,36.3636360168457,100,38.095237731933594,36.3636360168457,36.3636360168457,40.90909194946289,36.3636360168457,39.130435943603516,38.095237731933594,36.3636360168457,50,36.3636360168457,42.85714340209961,38.095237731933594,39.130435943603516,38.095237731933594,39.130435943603516,36.3636360168457,38.095237731933594,38.095237731933594,36.3636360168457,63.6363639831543,42.85714340209961,45.45454788208008,36.3636360168457,39.130435943603516,40.90909194946289,0,24564,357,13180,37,0,193591.4292602539,168896.9881591797,0,134868582400,8589930496,2434756608,0
200,1781991435937,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,45,42.85714340209961,45,40,42.105262756347656,42.85714340209961,100,42.85714340209961,45,42.85714340209961,42.105262756347656,42.105262756347656,40,42.85714340209961,40,40,42.85714340209961,40,42.85714340209961,42.105262756347656,42.85714340209961,40,45,42.85714340209961,42.85714340209961,45,40,42.85714340209961,100,45,42.105262756347656,40,0,24564,749,13156,38,0,193610.42053222656,168913.7017211914,0,134868582400,8589930496,2682707968,0
200,1781991436137,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,23.809524536132813,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,24564,749,17799,39,18,193619.4721069336,168920.49542236328,0,134868582400,8589930496,2777669632,0
200,1781991436337,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,749,31743,40,42,193628.43432617188,168927.1798095703,0,134868582400,8589930496,2777669632,0
200,1781991436537,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,52.6315803527832,0,100,0,0,0,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,24564,357,38753,39,33,193636.82080078125,168933.2579345703,0,134868582400,8589930496,2450141184,0
200,1781991436737,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,42.105262756347656,42.105262756347656,70,45,66.66667175292969,42.105262756347656,100,42.105262756347656,40,42.105262756347656,42.85714340209961,42.85714340209961,45,40,40,42.85714340209961,42.105262756347656,45,42.105262756347656,40,42.105262756347656,45,42.85714340209961,42.105262756347656,42.105262756347656,40,42.85714340209961,42.105262756347656,40,40,45,45,0,24564,749,42021,39,4,193656.05487060547,168950.119140625,0,134868582400,8589930496,2685792256,0
200,1781991436937,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,749,45589,40,17,193665.1494140625,168956.89221191406,0,134868582400,8589930496,2776621056,0
202,1781991437137,800,800,800,800,800,800,5943,800,3220,800,3726,800,800,4401,800,4400,800,4400,2726,800,800,1602,800,800,800,4399,4013,800,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24564,749,76374,40,40,193674.11193847656,168963.578125,0,134868582400,8589930496,2776621056,0
