Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778238851586,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,0,0,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,0,4.34782600402832,0,4.1666669845581055,0,0,8.69565200805664,0,169989.5556640625,36541.333984375,0,404332056576,8589930496,3756797952,0
200,1778238851586,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,0,0,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,0,4.34782600402832,0,4.1666669845581055,0,0,8.69565200805664,0,169989.5556640625,36541.333984375,0,404332056576,8589930496,3756797952,0
200,1778238851786,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,66.66667175292969,63.15789031982422,65,65,65,61.904762268066406,65,65,61.904762268066406,65,65,65,61.904762268066406,65,65,169991.7606201172,36549.138610839844,0,404332056576,8589930496,3757985792,0
199,1778238851986,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169994.71771240234,36556.04504394531,0,404332056576,8589930496,3757985792,0
199,1778238852186,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,169997.63848876953,36562.94287109375,0,404332056576,8589930496,3757985792,0
199,1778238852386,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000.61645507813,36569.90295410156,0,404332056576,8589930496,3757985792,0
199,1778238852587,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170003.55346679688,36576.830322265625,0,404332056576,8589930496,3757985792,0
199,1778238852787,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170006.48797607422,36583.758728027344,0,404332056576,8589930496,3757985792,0
199,1778238852987,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170009.4229736328,36590.672302246094,0,404332056576,8589930496,3757985792,0
199,1778238853187,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170012.30346679688,36597.59912109375,0,404332056576,8589930496,3757985792,0
199,1778238853387,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,170015.23333740234,36604.52197265625,0,404332056576,8589930496,3757985792,0
199,1778238853587,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170018.15100097656,36611.42590332031,0,404332056576,8589930496,3757985792,0
199,1778238853787,800,1100,800,800,800,800,2100,2000,800,1525,800,800,2000,2000,2099,806,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170021.08380126953,36618.12902832031,0,404332056576,8589930496,3757985792,0
