Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779721710564,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,4,0,0,4,0,0,4.1666669845581055,4,0,8.333333969116211,4,0,4.1666669845581055,0,0,137275.39154052734,157275.966796875,0,404332056576,8589930496,3892002816,0
200,1779721710565,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,4,0,0,4,0,0,4.1666669845581055,4,0,8.333333969116211,4,0,4.1666669845581055,0,0,137275.39154052734,157275.966796875,0,404332056576,8589930496,3892002816,0
199,1779721710765,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137275.8217163086,157280.71411132813,0,404332056576,8589930496,3892445184,0
199,1779721710965,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137276.25701904297,157286.05017089844,0,404332056576,8589930496,3892445184,0
199,1779721711165,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137276.72857666016,157291.38610839844,0,404332056576,8589930496,3892445184,0
199,1779721711365,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137277.20068359375,157296.71154785156,0,404332056576,8589930496,3892445184,0
199,1779721711565,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,137277.68225097656,157302.04217529297,0,404332056576,8589930496,3892445184,0
199,1779721711765,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137278.1834716797,157307.37298583984,0,404332056576,8589930496,3892187136,0
199,1779721711966,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137278.65130615234,157312.70318603516,0,404332056576,8589930496,3892187136,0
199,1779721712166,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137279.07568359375,157318.0376586914,0,404332056576,8589930496,3892187136,0
199,1779721712366,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137279.47344970703,157323.37957763672,0,404332056576,8589930496,3892187136,0
199,1779721712566,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137279.91729736328,157328.72271728516,0,404332056576,8589930496,3892187136,0
199,1779721712766,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137280.38146972656,157334.0523071289,0,404332056576,8589930496,3892187136,0
199,1779721712966,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137280.8207397461,157339.3842163086,0,404332056576,8589930496,3892187136,0
199,1779721713166,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137281.27758789063,157344.72509765625,0,404332056576,8589930496,3892187136,0
199,1779721713367,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137281.7094116211,157350.0616455078,0,404332056576,8589930496,3892187136,0
199,1779721713567,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137282.13970947266,157355.38989257813,0,404332056576,8589930496,3892187136,0
199,1779721713767,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137282.5947265625,157360.72583007813,0,404332056576,8589930496,3891990528,0
199,1779721713967,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137283.0382080078,157366.05377197266,0,404332056576,8589930496,3891990528,0
199,1779721714167,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137283.47131347656,157371.3826904297,0,404332056576,8589930496,3891990528,0
199,1779721714367,928,1000,800,800,800,2000,2100,1381,1161,800,800,1435,907,2000,962,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,137283.8726196289,157376.7240600586,0,404332056576,8589930496,3891990528,0
