Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779729231132,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,4,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,0,0,4.1666669845581055,4.1666669845581055,0,8.333333969116211,7.692307949066162,0,7.692307949066162,0,4.1666669845581055,152013.66137695313,23031.587829589844,0,404332056576,8589930496,3751100416,0
200,1779729231132,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,4,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,0,0,4.1666669845581055,4.1666669845581055,0,8.333333969116211,7.692307949066162,0,7.692307949066162,0,4.1666669845581055,152013.66137695313,23031.587829589844,0,404332056576,8589930496,3751100416,0
199,1779729231333,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152014.2984008789,23036.439697265625,0,404332056576,8589930496,3751100416,0
199,1779729231533,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152014.9608154297,23041.967041015625,0,404332056576,8589930496,3751100416,0
199,1779729231733,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152015.50408935547,23047.311096191406,0,404332056576,8589930496,3751100416,0
199,1779729231933,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152016.05096435547,23052.65771484375,0,404332056576,8589930496,3752554496,0
199,1779729232133,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152016.5844116211,23058.055114746094,0,404332056576,8589930496,3752554496,0
199,1779729232333,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152017.09832763672,23063.40411376953,0,404332056576,8589930496,3752554496,0
199,1779729232533,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152017.61517333984,23068.75634765625,0,404332056576,8589930496,3752554496,0
199,1779729232734,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152018.09405517578,23074.10125732422,0,404332056576,8589930496,3752554496,0
199,1779729232934,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152018.5361328125,23079.439514160156,0,404332056576,8589930496,3752554496,0
199,1779729233134,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,5,0,0,0,0,0,152018.96759033203,23084.782348632813,0,404332056576,8589930496,3752554496,0
199,1779729233334,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152019.44244384766,23090.128662109375,0,404332056576,8589930496,3752554496,0
199,1779729233534,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152019.91217041016,23095.46905517578,0,404332056576,8589930496,3752554496,0
199,1779729233734,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,152020.40173339844,23100.803771972656,0,404332056576,8589930496,3752554496,0
199,1779729233934,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152020.87774658203,23106.134704589844,0,404332056576,8589930496,3752554496,0
199,1779729234134,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152021.3487548828,23111.46923828125,0,404332056576,8589930496,3752521728,0
199,1779729234335,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152021.79315185547,23116.811279296875,0,404332056576,8589930496,3752521728,0
199,1779729234535,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152022.2684326172,23122.15264892578,0,404332056576,8589930496,3752521728,0
199,1779729234735,800,2099,800,1000,800,800,1100,2100,1114,1129,1996,835,799,800,1231,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,152022.77178955078,23127.488220214844,0,404332056576,8589930496,3752312832,0
