Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780488298421,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,3.5714287757873535,0,3.846153974533081,3.5714287757873535,3.5714287757873535,10.344827651977539,0,3.5714287757873535,6.896551609039307,7.142857551574707,3.5714287757873535,0,0,3.5714287757873535,3.7037036418914795,3.7037036418914795,204477.71087646484,29447.98846435547,0,404331982848,8589930496,4395847680,0
199,1780488298421,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,3.5714287757873535,0,3.846153974533081,3.5714287757873535,3.5714287757873535,10.344827651977539,0,3.5714287757873535,6.896551609039307,7.142857551574707,3.5714287757873535,0,0,3.5714287757873535,3.7037036418914795,3.7037036418914795,204477.71380615234,29448.01141357422,0,404331982848,8589930496,4395847680,0
199,1780488298621,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,60.000003814697266,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.416015625,29452.634704589844,0,404331982848,8589930496,4395847680,0
199,1780488298821,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.4610595703,29455.540893554688,0,404331982848,8589930496,4395843584,0
199,1780488299021,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.57110595703,29458.36083984375,0,404331982848,8589930496,4395843584,0
199,1780488299221,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.58850097656,29461.076538085938,0,404331982848,8589930496,4395843584,0
199,1780488299421,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.62109375,29463.84490966797,0,404331982848,8589930496,4395839488,0
199,1780488299622,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.62438964844,29466.5380859375,0,404331982848,8589930496,4395839488,0
199,1780488299822,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.72875976563,29469.294311523438,0,404331982848,8589930496,4395839488,0
199,1780488300022,800,2000,1562,800,800,800,800,800,800,800,1686,1933,2000,800,800,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204478.74639892578,29472.07159423828,0,404331982848,8589930496,4395839488,0
