Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780490792486,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,3.7037036418914795,3.7037036418914795,10.714285850524902,7.142857551574707,0,3.7037036418914795,3.5714287757873535,0,0,3.5714287757873535,10.714285850524902,3.5714287757873535,0,3.7037036418914795,7.142857551574707,0,205211.56677246094,64295.33380126953,0,404331982848,8589930496,4416950272,0
199,1780490792486,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,3.7037036418914795,3.7037036418914795,10.714285850524902,7.142857551574707,0,3.7037036418914795,3.5714287757873535,0,0,3.5714287757873535,10.714285850524902,3.5714287757873535,0,3.7037036418914795,7.142857551574707,0,205211.5698852539,64295.35510253906,0,404331982848,8589930496,4416950272,0
199,1780490792686,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66667175292969,205212.0746459961,64299.833984375,0,404331982848,8589930496,4430110720,0
199,1780490792886,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205213.0811767578,64303.946533203125,0,404331982848,8589930496,4430368768,0
199,1780490793086,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,30.000001907348633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205213.9515991211,64307.420654296875,0,404331982848,8589930496,4430368768,0
199,1780490793287,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,25,0,0,0,0,0,0,0,9.523809432983398,0,0,4.761904716491699,0,0,0,0,205214.07037353516,64310.717346191406,0,404331982848,8589930496,4430364672,0
199,1780490793487,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,10,0,0,0,0,0,0,0,30.000001907348633,0,0,5,0,0,36.842105865478516,5.263157844543457,205214.6456298828,64315.074645996094,0,404331982848,8589930496,4445585408,0
199,1780490793687,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.095237731933594,0,205214.78997802734,64318.85009765625,0,404331982848,8589930496,4445585408,0
199,1780490793887,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.000001907348633,0,205214.9115600586,64322.25280761719,0,404331982848,8589930496,4445585408,0
199,1780490794087,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,0,0,0,0,0,0,0,10,0,5,0,5.263157844543457,0,0,40,0,205215.19549560547,64326.011657714844,0,404331982848,8589930496,4437327872,0
199,1780490794287,1061,2000,1956,1000,800,800,800,2000,800,2000,2100,800,1575,800,2000,2070,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,205216.74493408203,64330.80096435547,0,404331982848,8589930496,4437069824,0
