Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780435156427,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,7.142857551574707,10.714285850524902,0,0,3.5714287757873535,7.407407283782959,0,0,7.142857551574707,0,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,3.5714287757873535,0,193370.56713867188,99989.90881347656,0,404331982848,8589930496,4583862272,0
200,1780435156427,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,7.142857551574707,10.714285850524902,0,0,3.5714287757873535,7.407407283782959,0,0,7.142857551574707,0,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,3.5714287757873535,0,193370.57025146484,99989.93017578125,0,404331982848,8589930496,4583862272,0
199,1780435156627,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,60.000003814697266,0,0,36.842105865478516,4.761904716491699,0,0,0,0,0,0,193370.99060058594,99994.25769042969,0,404331982848,8589930496,4584120320,0
199,1780435156827,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,0,0,0,85,0,0,0,15.000000953674316,0,0,0,193374.0298461914,100000.45947265625,0,404331982848,8589930496,4586876928,0
199,1780435157027,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,0,4.761904716491699,0,68.42105102539063,0,0,0,20,0,0,0,193377.1216430664,100006.94610595703,0,404331982848,8589930496,4586876928,0
199,1780435157227,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,0,0,0,78.94737243652344,0,0,0,15.000000953674316,0,0,0,193380.19384765625,100013.42803955078,0,404331982848,8589930496,4590583808,0
200,1780435157427,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,0,0,0,78.94737243652344,0,0,0,15.000000953674316,0,0,0,193382.6094970703,100019.5160522461,0,404331982848,8589930496,4592349184,0
199,1780435157628,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,2.5,4.761904716491699,0,0,0,0,16.666667938232422,15.000000953674316,0,0,12.5,45,0,0,193385.5174560547,100025.95306396484,0,404331982848,8589930496,4603101184,0
199,1780435157828,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,15.789472579956055,77.77777862548828,0,0,193388.59869384766,100032.43115234375,0,404331982848,8589930496,4606074880,0
199,1780435158028,2000,1999,800,800,2000,2100,1405,800,916,800,1618,800,2000,2099,1100,800,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,20,72.22222137451172,0,0,193391.65002441406,100038.90704345703,0,404331982848,8589930496,4606312448,0
