Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780435541710,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,3.5714287757873535,0,3.5714287757873535,0,7.407407283782959,6.896551609039307,3.5714287757873535,0,0,3.5714287757873535,0,0,0,7.407407283782959,194603.29498291016,107249.09094238281,0,404331982848,8589930496,4531113984,0
200,1780435541710,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,3.5714287757873535,0,3.5714287757873535,0,7.407407283782959,6.896551609039307,3.5714287757873535,0,0,3.5714287757873535,0,0,0,7.407407283782959,194603.29791259766,107249.1123046875,0,404331982848,8589930496,4531113984,0
199,1780435541910,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,65,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,194604.39721679688,107253.9652709961,0,404331982848,8589930496,4553306112,0
199,1780435542110,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,25,9.523809432983398,19.047618865966797,0,0,40,4.761904716491699,0,0,0,0,0,14.285715103149414,0,0,4.761904716491699,194606.09143066406,107259.25122070313,0,404331982848,8589930496,4598398976,0
199,1780435542310,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,52.6315803527832,0,15.789472579956055,9.523809432983398,0,0,0,0,0,0,0,0,15.789472579956055,0,0,0,194608.43841552734,107265.21301269531,0,404331982848,8589930496,4602277888,0
199,1780435542511,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,10,5,0,0,0,57.894737243652344,0,0,0,0,0,0,15.000000953674316,0,0,0,194609.71240234375,107270.86706542969,0,404331982848,8589930496,4603117568,0
199,1780435542711,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,42.105262756347656,5,26.3157901763916,4.761904716491699,0,0,0,0,0,0,0,0,20,0,0,0,194612.0294189453,107277.0609741211,0,404331982848,8589930496,4591919104,0
199,1780435542911,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,5,30.000001907348633,35,0,0,5,5.263157844543457,0,0,0,0,10,0,0,0,194613.06463623047,107282.35076904297,0,404331982848,8589930496,4588904448,0
200,1780435543111,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,5,30.000001907348633,35,0,0,5,5.263157844543457,0,0,0,0,10,0,0,0,194615.1323852539,107288.3549194336,0,404331982848,8589930496,4596359168,0
199,1780435543311,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,28.205129623413086,0,0,0,4.878048419952393,0,35,15.384615898132324,2.4390242099761963,0,12.5,0,0,2.3809523582458496,194617.2205810547,107294.30548095703,0,404331982848,8589930496,4604039168,0
199,1780435543511,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,0,0,0,0,15.000000953674316,5,0,20,0,57.894737243652344,0,194618.65649414063,107299.80395507813,0,404331982848,8589930496,4599578624,0
199,1780435543711,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,0,0,0,55.55555725097656,5,5,0,10,0,4.761904716491699,10,194621.32556152344,107306.03143310547,0,404331982848,8589930496,4597096448,0
199,1780435543911,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,4.761904716491699,0,0,0,0,0,0,0,9.523809432983398,0,30.000001907348633,0,5,0,57.894737243652344,0,194622.80529785156,107311.55938720703,0,404331982848,8589930496,4605374464,0
199,1780435544112,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,5.263157844543457,0,0,0,0,0,0,0,44.4444465637207,0,0,0,15.000000953674316,0,0,26.3157901763916,194625.24395751953,107317.62799072266,0,404331982848,8589930496,4610043904,0
199,1780435544312,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,0,0,0,0,26.3157901763916,0,0,15.000000953674316,0,5,47.619049072265625,194627.20501708984,107323.23931884766,0,404331982848,8589930496,4604571648,0
199,1780435544512,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,9.523809432983398,0,0,0,0,0,0,0,0,20,0,0,20,0,45,0,194629.21423339844,107329.19073486328,0,404331982848,8589930496,4606058496,0
199,1780435544712,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,5,0,0,0,0,0,0,10,28.571430206298828,0,0,0,0,0,11.111111640930176,35,194630.5819091797,107334.63171386719,0,404331982848,8589930496,4580864000,0
199,1780435544912,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,52.6315803527832,5,0,30.000001907348633,0,0,0,14.285715103149414,0,0,0,194632.02471923828,107340.47637939453,0,404331982848,8589930496,4605554688,0
199,1780435545112,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,9.523809432983398,9.523809432983398,0,5,0,63.15789031982422,0,15.000000953674316,0,0,4.761904716491699,194633.62072753906,107346.37585449219,0,404331982848,8589930496,4606046208,0
199,1780435545312,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,0,68.42105102539063,5,4.761904716491699,10,0,0,20,0,0,0,194634.48956298828,107351.3910522461,0,404331982848,8589930496,4596658176,0
199,1780435545513,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,5,0,0,0,0,0,0,9.523809432983398,15.789472579956055,47.36842346191406,5.263157844543457,0,10,0,0,0,194637.29473876953,107357.55895996094,0,404331982848,8589930496,4600401920,0
199,1780435545713,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,0,0,0,19.047618865966797,0,15.000000953674316,0,0,0,57.142860412597656,0,194638.46185302734,107363.23248291016,0,404331982848,8589930496,4600320000,0
199,1780435545913,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,5.263157844543457,0,0,0,0,0,0,0,0,0,36.842105865478516,0,19.047618865966797,0,30.000001907348633,0,194640.58966064453,107369.32391357422,0,404331982848,8589930496,4600061952,0
199,1780435546113,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,40,5,0,0,0,0,0,0,0,0,0,0,20,0,31.57894515991211,9.090909004211426,194641.73638916016,107374.8056640625,0,404331982848,8589930496,4600381440,0
199,1780435546313,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,20,0,0,0,0,0,0,0,0,0,0,0,15.000000953674316,0,50,0,194642.8236694336,107380.03155517578,0,404331982848,8589930496,4596187136,0
199,1780435546513,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,5,42.85714340209961,0,0,0,0,0,0,0,0,0,0,0,0,15.789472579956055,35,194643.3465576172,107385.1762084961,0,404331982848,8589930496,4577447936,0
200,1780435546713,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,5,42.85714340209961,0,0,0,0,0,0,0,0,0,0,0,0,15.789472579956055,35,194643.87896728516,107389.77905273438,0,404331982848,8589930496,4588462080,0
199,1780435546914,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,20.512821197509766,0,0,0,0,33.333335876464844,2.5641026496887207,25.641027450561523,2.5,0,0,12.5,0,0,0,194644.86364746094,107395.47174072266,0,404331982848,8589930496,4589948928,0
199,1780435547114,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,0,0,0,0,0,4.761904716491699,0,10,0,0,0,19.047618865966797,0,4.761904716491699,63.15789031982422,194645.96362304688,107400.74487304688,0,404331982848,8589930496,4588462080,0
199,1780435547314,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,63.15789031982422,0,5.263157844543457,0,0,0,0,0,0,9.523809432983398,0,0,15.000000953674316,0,0,5.263157844543457,194647.79919433594,107406.64080810547,0,404331982848,8589930496,4601159680,0
199,1780435547514,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,5,0,0,0,0,0,0,0,26.3157901763916,0,0,0,0,55,0,194649.23541259766,107412.05676269531,0,404331982848,8589930496,4602155008,0
199,1780435547714,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,55,14.285715103149414,15.789472579956055,0,0,0,0,0,0,0,0,0,15.000000953674316,0,5,0,194651.98931884766,107418.26525878906,0,404331982848,8589930496,4604653568,0
199,1780435547914,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,20,0,52.38095474243164,0,0,0,0,0,0,0,0,0,15.789472579956055,0,0,0,194653.80059814453,107423.83142089844,0,404331982848,8589930496,4612653056,0
199,1780435548114,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,26.3157901763916,5,0,42.105262756347656,0,0,0,0,0,0,0,0,20,0,9.523809432983398,0,194656.0479736328,107429.80865478516,0,404331982848,8589930496,4612653056,0
199,1780435548315,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,19.047618865966797,0,5.263157844543457,20,0,0,0,0,0,0,0,0,5,0,31.57894515991211,0,194657.34783935547,107435.18701171875,0,404331982848,8589930496,4626411520,0
199,1780435548515,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,42.105262756347656,0,0,0,0,0,45,0,0,0,0,0,10,0,0,0,194659.24560546875,107441.07586669922,0,404331982848,8589930496,4645969920,0
199,1780435548715,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,55,0,0,0,0,15.000000953674316,0,5,0,0,0,15.000000953674316,0,10,0,194660.61755371094,107446.83557128906,0,404331982848,8589930496,4645421056,0
199,1780435548915,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,0,10,0,0,0,0,0,0,0,0,0,0,20,0,60.000003814697266,4.761904716491699,194662.095703125,107452.11755371094,0,404331982848,8589930496,4645416960,0
199,1780435549115,2100,1097,800,2000,1153,1000,2099,1000,800,800,1393,800,2100,800,800,1000,30.000001907348633,31.57894515991211,5,0,0,0,0,0,10,0,0,0,14.285715103149414,0,5,5.263157844543457,194664.6806640625,107458.12921142578,0,404331982848,8589930496,4658921472,0
