Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779207371079,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,4,0,4.1666669845581055,0,0,4.1666669845581055,0,0,4,0,0,4,0,4.1666669845581055,4,8.333333969116211,214093.63751220703,229574.8807373047,0,404332056576,8589930496,4007563264,0
200,1779207371079,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,4,0,4.1666669845581055,0,0,4.1666669845581055,0,0,4,0,0,4,0,4.1666669845581055,4,8.333333969116211,214093.63751220703,229574.8807373047,0,404332056576,8589930496,4007563264,0
199,1779207371279,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,52.6315803527832,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,214094.94342041016,229579.85858154297,0,404332056576,8589930496,4011175936,0
199,1779207371479,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214095.37603759766,229585.08892822266,0,404332056576,8589930496,4012982272,0
199,1779207371679,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214095.7901611328,229590.42346191406,0,404332056576,8589930496,4012982272,0
199,1779207371880,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214096.24700927734,229595.80493164063,0,404332056576,8589930496,4013543424,0
199,1779207372080,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214096.70904541016,229601.17211914063,0,404332056576,8589930496,4013543424,0
199,1779207372280,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214097.16668701172,229606.58764648438,0,404332056576,8589930496,4013543424,0
199,1779207372480,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214097.6283569336,229612.0786743164,0,404332056576,8589930496,4013543424,0
199,1779207372680,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,214098.09912109375,229617.4849243164,0,404332056576,8589930496,4013543424,0
199,1779207372880,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214098.6356201172,229623.03845214844,0,404332056576,8589930496,4013543424,0
199,1779207373080,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214099.10528564453,229628.3607788086,0,404332056576,8589930496,4013543424,0
199,1779207373281,800,2100,800,2100,2100,2099,887,800,800,2038,2000,800,800,2100,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,214099.56494140625,229633.70428466797,0,404332056576,8589930496,4013543424,0
