Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780339192768,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,2.857142925262451,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941176414489746,0,0,0,0,2.857142925262451,0,0,0,0,0,2.857142925262451,0,0,24564,357,11487,31,0,156936.87579345703,1983.7545776367188,0,134868594688,8589930496,2288189440,0
200,1780339192768,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,2.857142925262451,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941176414489746,0,0,0,0,2.857142925262451,0,0,0,0,0,2.857142925262451,0,0,24564,357,11487,31,0,156937.24530029297,1984.0194091796875,0,134868594688,8589930496,2304417792,0
200,1780339192968,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,72.7272720336914,0,100,0,0,0,0,23.809524536132813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454502105713,0,0,24564,357,11487,31,0,156946.27404785156,1991.0032348632813,0,134868594688,8589930496,2323238912,0
200,1780339193168,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11487,31,0,156956.56268310547,1999.2868041992188,0,134868594688,8589930496,2323238912,0
200,1780339193368,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11487,31,0,156966.95922851563,2007.673583984375,0,134868594688,8589930496,2327367680,0
200,1780339193568,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,24564,357,11480,31,0,156977.37884521484,2016.0882568359375,0,134868594688,8589930496,2327367680,0
200,1780339193769,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11480,31,0,156987.74462890625,2024.4515991210938,0,134868594688,8589930496,2327367680,0
200,1780339193969,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909004211426,0,0,24564,357,11480,31,0,156998.20373535156,2032.9058837890625,0,134868594688,8589930496,2328596480,0
199,1780339194169,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,9.523809432983398,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,24564,357,11480,31,0,157008.54345703125,2041.2359008789063,0,134868594688,8589930496,2352762880,0
199,1780339194369,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,4.761904716491699,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11480,31,0,157018.85778808594,2049.5487060546875,0,134868594688,8589930496,2352762880,0
200,1780339194569,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5.263157844543457,5,0,0,80.95238494873047,0,100,0,5,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11537,31,0,157028.9340209961,2057.5729370117188,0,134868594688,8589930496,2366894080,0
200,1780339194769,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,4.761904716491699,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11537,31,0,157039.2716064453,2065.8981323242188,0,134868594688,8589930496,2366894080,0
200,1780339194969,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5,4.761904716491699,0,0,100,0,95.23809814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11537,31,0,157049.6202392578,2074.234375,0,134868594688,8589930496,2363760640,0
200,1780339195169,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,24564,357,11537,31,0,157059.95056152344,2082.559814453125,0,134868594688,8589930496,2359861248,0
200,1780339195369,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11537,31,0,157070.3214111328,2090.9122314453125,0,134868594688,8589930496,2359861248,0
200,1780339195569,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11546,31,0,157080.63201904297,2099.21923828125,0,134868594688,8589930496,2359861248,0
200,1780339195769,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,4.761904716491699,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11546,31,0,157090.9666748047,2107.5433959960938,0,134868594688,8589930496,2359861248,0
200,1780339195969,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11546,31,0,157101.33294677734,2115.8968505859375,0,134868594688,8589930496,2359861248,0
200,1780339196169,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,84.21052551269531,5,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,24564,357,11546,31,0,157111.20764160156,2123.7161865234375,0,134868594688,8589930496,2351591424,0
200,1780339196369,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,4.761904716491699,4.761904716491699,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11546,31,0,157121.50805664063,2132.0059814453125,0,134868594688,8589930496,2351591424,0
200,1780339196569,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11558,31,0,157131.9077758789,2140.3864135742188,0,134868594688,8589930496,2351591424,0
200,1780339196769,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11558,31,0,157142.2163696289,2148.6871337890625,0,134868594688,8589930496,2351591424,0
200,1780339196969,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11558,31,0,157152.60375976563,2157.0509643554688,0,134868594688,8589930496,2348838912,0
200,1780339197170,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11558,31,0,157162.98107910156,2165.416748046875,0,134868594688,8589930496,2340564992,0
200,1780339197370,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,24564,357,11558,31,0,157173.4652709961,2173.8849487304688,0,134868594688,8589930496,2348564480,0
200,1780339197570,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11588,31,0,157183.85028076172,2182.2555541992188,0,134868594688,8589930496,2348564480,0
200,1780339197770,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,5,0,0,0,85.71428680419922,0,100,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11588,31,0,157193.82037353516,2190.18408203125,0,134868594688,8589930496,2341326848,0
200,1780339197970,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,357,11588,31,0,157204.05853271484,2198.4021606445313,0,134868594688,8589930496,2342768640,0
200,1780339198170,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11588,31,0,157214.49188232422,2206.8055419921875,0,134868594688,8589930496,2342768640,0
200,1780339198370,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,357,11588,31,0,157224.86547851563,2215.1549072265625,0,134868594688,8589930496,2342768640,0
200,1780339198571,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11563,31,0,157235.28833007813,2223.5591430664063,0,134868594688,8589930496,2342768640,0
200,1780339198771,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,24564,357,11563,31,0,157245.7518310547,2232.0046997070313,0,134868594688,8589930496,2342768640,0
200,1780339198971,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11563,31,0,157256.1494140625,2240.390625,0,134868594688,8589930496,2341781504,0
200,1780339199171,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11563,31,0,157266.58178710938,2248.8032836914063,0,134868594688,8589930496,2332135424,0
200,1780339199371,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4.761904716491699,0,24564,357,11563,31,0,157276.97302246094,2257.1863403320313,0,134868594688,8589930496,2340130816,0
200,1780339199571,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,85,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11513,31,0,157286.59790039063,2264.7595825195313,0,134868594688,8589930496,2346287104,0
200,1780339199771,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,357,11513,31,0,157296.9669189453,2273.1083374023438,0,134868594688,8589930496,2346287104,0
200,1780339199972,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11513,31,0,157307.34533691406,2281.4691772460938,0,134868594688,8589930496,2343866368,0
200,1780339200172,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,357,11513,31,0,157317.76824951172,2289.8807373046875,0,134868594688,8589930496,2343866368,0
200,1780339200372,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,24564,357,11513,31,0,157328.20971679688,2298.3065185546875,0,134868594688,8589930496,2343866368,0
200,1780339200572,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11458,31,0,157338.66400146484,2306.734375,0,134868594688,8589930496,2343866368,0
200,1780339200772,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11458,31,0,157349.03814697266,2315.0965576171875,0,134868594688,8589930496,2343866368,0
200,1780339200972,800,800,800,1986,5935,800,800,800,800,800,3054,3317,800,4400,800,3289,3716,800,800,4400,1794,800,800,800,1661,1685,800,800,800,800,4731,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,24564,357,11458,31,0,157359.4732055664,2323.5157470703125,0,134868594688,8589930496,2343866368,0
