Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779221245854,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,4,0,4,4,0,4,4,4,0,4,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,35300.11535644531,61754.18115234375,0,404332056576,8589930496,3989471232,0
199,1779221245854,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,4,0,4,4,0,4,4,4,0,4,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,35300.11535644531,61754.18115234375,0,404332056576,8589930496,3989471232,0
200,1779221246054,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,52.38095474243164,35300.99676513672,61759.13055419922,0,404332056576,8589930496,3989471232,0
199,1779221246255,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35303.83038330078,61766.066833496094,0,404332056576,8589930496,3989471232,0
199,1779221246455,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35306.68115234375,61772.91552734375,0,404332056576,8589930496,3989471232,0
199,1779221246655,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35309.56115722656,61779.67254638672,0,404332056576,8589930496,3989471232,0
199,1779221246855,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35312.401123046875,61786.400329589844,0,404332056576,8589930496,3990880256,0
200,1779221247055,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35315.22155761719,61793.16815185547,0,404332056576,8589930496,3990622208,0
199,1779221247255,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35318.074951171875,61799.9345703125,0,404332056576,8589930496,3990622208,0
199,1779221247455,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35320.92742919922,61806.70086669922,0,404332056576,8589930496,3990622208,0
199,1779221247655,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35323.784729003906,61813.46600341797,0,404332056576,8589930496,3990622208,0
199,1779221247856,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35326.6611328125,61820.22668457031,0,404332056576,8589930496,3990622208,0
200,1779221248056,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35329.54113769531,61826.99005126953,0,404332056576,8589930496,3990622208,0
199,1779221248256,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35332.40509033203,61833.75744628906,0,404332056576,8589930496,3990622208,0
199,1779221248456,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35335.267822265625,61840.521911621094,0,404332056576,8589930496,3990622208,0
199,1779221248656,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,9.090909004211426,0,0,35338.20031738281,61847.283203125,0,404332056576,8589930496,3990614016,0
199,1779221248856,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,4.761904716491699,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35341.054931640625,61854.05126953125,0,404332056576,8589930496,3990614016,0
200,1779221249056,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,4.761904716491699,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35343.891174316406,61860.81896972656,0,404332056576,8589930496,3990614016,0
199,1779221249256,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35346.75537109375,61867.58386230469,0,404332056576,8589930496,3990614016,0
199,1779221249457,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35349.62139892578,61874.355529785156,0,404332056576,8589930496,3990614016,0
199,1779221249657,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35352.48791503906,61881.12921142578,0,404332056576,8589930496,3990355968,0
199,1779221249857,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35355.359924316406,61887.89630126953,0,404332056576,8589930496,3990355968,0
200,1779221250057,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35358.21765136719,61894.62854003906,0,404332056576,8589930496,3990355968,0
199,1779221250257,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35361.050354003906,61901.423095703125,0,404332056576,8589930496,3990355968,0
199,1779221250457,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35363.869201660156,61908.18603515625,0,404332056576,8589930496,3990355968,0
199,1779221250657,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35366.72570800781,61914.95300292969,0,404332056576,8589930496,3990355968,0
199,1779221250857,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35369.51446533203,61921.712829589844,0,404332056576,8589930496,3990355968,0
199,1779221251058,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35372.35534667969,61928.46936035156,0,404332056576,8589930496,3990097920,0
199,1779221251258,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35375.204833984375,61935.225036621094,0,404332056576,8589930496,3990097920,0
199,1779221251458,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35378.05163574219,61941.96716308594,0,404332056576,8589930496,3990097920,0
199,1779221251658,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,5.263157844543457,0,70,0,0,0,0,10,0,0,0,0,0,0,0,35379.11016845703,61947.44659423828,0,404332056576,8589930496,3990097920,0
199,1779221251858,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35379.529541015625,61952.800720214844,0,404332056576,8589930496,3990089728,0
199,1779221252058,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35379.96179199219,61958.1572265625,0,404332056576,8589930496,3990089728,0
199,1779221252258,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35380.41192626953,61963.510192871094,0,404332056576,8589930496,3990089728,0
199,1779221252458,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35380.80975341797,61968.836975097656,0,404332056576,8589930496,3989831680,0
199,1779221252659,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35381.22204589844,61974.192138671875,0,404332056576,8589930496,3990089728,0
199,1779221252859,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35381.67590332031,61979.55780029297,0,404332056576,8589930496,3990089728,0
199,1779221253059,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,35382.104919433594,61984.912658691406,0,404332056576,8589930496,3990089728,0
199,1779221253259,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35382.521911621094,61990.262939453125,0,404332056576,8589930496,3990089728,0
199,1779221253459,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35382.9453125,61995.61260986328,0,404332056576,8589930496,3990089728,0
199,1779221253659,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35383.36260986328,62000.9638671875,0,404332056576,8589930496,3989827584,0
199,1779221253859,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35383.807556152344,62006.317932128906,0,404332056576,8589930496,3989827584,0
199,1779221254060,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35384.26403808594,62011.67443847656,0,404332056576,8589930496,3989827584,0
199,1779221254260,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35384.719665527344,62017.02423095703,0,404332056576,8589930496,3989827584,0
199,1779221254460,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35385.16613769531,62022.38171386719,0,404332056576,8589930496,3989827584,0
199,1779221254660,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35385.61291503906,62027.73419189453,0,404332056576,8589930496,3989827584,0
199,1779221254860,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35386.08380126953,62033.11608886719,0,404332056576,8589930496,3989811200,0
200,1779221255060,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35386.520568847656,62038.46697998047,0,404332056576,8589930496,3989811200,0
199,1779221255260,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35386.95251464844,62043.81018066406,0,404332056576,8589930496,3989811200,0
199,1779221255460,799,1374,800,800,800,2600,2000,800,800,3200,800,800,1393,800,2100,1852,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,35387.38732910156,62049.153259277344,0,404332056576,8589930496,3989811200,0
