Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780439022333,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,3.4482758045196533,7.142857551574707,3.4482758045196533,6.6666669845581055,0,0,3.4482758045196533,6.896551609039307,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,3.4482758045196533,10.714285850524902,3.3333334922790527,3.4482758045196533,200775.92694091797,164924.91076660156,0,404331982848,8589930496,4366184448,0
199,1780439022333,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,3.4482758045196533,7.142857551574707,3.4482758045196533,6.6666669845581055,0,0,3.4482758045196533,6.896551609039307,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,3.4482758045196533,10.714285850524902,3.3333334922790527,3.4482758045196533,200775.93829345703,164924.93322753906,0,404331982848,8589930496,4366184448,0
199,1780439022533,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,40,0,60.000003814697266,0,0,0,0,0,0,0,0,0,0,0,0,0,200776.8017578125,164929.32403564453,0,404331982848,8589930496,4366184448,0
199,1780439022733,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200779.54083251953,164935.81939697266,0,404331982848,8589930496,4366184448,0
199,1780439022933,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200782.2885131836,164942.5372314453,0,404331982848,8589930496,4366184448,0
199,1780439023133,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,25,9.523809432983398,4.761904716491699,0,0,0,0,55,0,0,0,0,0,9.523809432983398,0,0,200783.73571777344,164948.11108398438,0,404331982848,8589930496,4366180352,0
199,1780439023333,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,200784.1802368164,164953.5233154297,0,404331982848,8589930496,4365922304,0
200,1780439023534,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,200784.79595947266,164959.02416992188,0,404331982848,8589930496,4381147136,0
199,1780439023734,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,41.46341323852539,2.5,0,0,0,0,0,48.71794891357422,0,0,0,0,0,0,5,0,200787.29235839844,164965.4122314453,0,404331982848,8589930496,4372889600,0
199,1780439023934,2000,2000,1100,800,800,800,800,1368,2100,1569,1366,800,800,800,1204,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200790.0789794922,164972.33239746094,0,404331982848,8589930496,4372889600,0
