Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780438893815,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,3.7037036418914795,10.714285850524902,0,7.142857551574707,0,0,3.5714287757873535,3.7037036418914795,0,3.7037036418914795,3.7037036418914795,0,7.407407283782959,0,6.896551609039307,3.5714287757873535,200569.6968383789,162799.30340576172,0,404331982848,8589930496,4377583616,0
200,1780438893815,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,3.7037036418914795,10.714285850524902,0,7.142857551574707,0,0,3.5714287757873535,3.7037036418914795,0,3.7037036418914795,3.7037036418914795,0,7.407407283782959,0,6.896551609039307,3.5714287757873535,200569.6968383789,162799.30340576172,0,404331982848,8589930496,4377583616,0
199,1780438894015,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,38.095237731933594,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,200570.35845947266,162803.91137695313,0,404331982848,8589930496,4390744064,0
199,1780438894216,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,31.57894515991211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200571.08587646484,162807.7391357422,0,404331982848,8589930496,4391948288,0
199,1780438894416,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200571.42333984375,162810.81353759766,0,404331982848,8589930496,4391690240,0
199,1780438894616,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,33.333335876464844,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,200572.58587646484,162814.76690673828,0,404331982848,8589930496,4396068864,0
199,1780438894816,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.142860412597656,0,200572.79669189453,162818.4515991211,0,404331982848,8589930496,4409745408,0
199,1780438895016,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,200572.84606933594,162821.52117919922,0,404331982848,8589930496,4409745408,0
199,1780438895216,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,0,9.523809432983398,4.761904716491699,0,0,0,0,9.523809432983398,0,0,0,0,0,0,30.000001907348633,0,200573.09381103516,162825.0971069336,0,404331982848,8589930496,4409745408,0
199,1780438895416,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,78.94737243652344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200573.4974975586,162829.5665283203,0,404331982848,8589930496,4409745408,0
199,1780438895617,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200573.50885009766,162832.46716308594,0,404331982848,8589930496,4409745408,0
199,1780438895817,800,2100,800,800,800,962,2099,800,2100,2000,2000,1141,2000,2000,1895,800,14.285715103149414,0,0,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,200573.6069946289,162835.5118408203,0,404331982848,8589930496,4409487360,0
