Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779564087888,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,12,0,0,4.1666669845581055,4.1666669845581055,0,0,0,4.1666669845581055,4.1666669845581055,4,7.692307949066162,4,0,0,4.1666669845581055,258309.23931884766,207890.83807373047,0,404332056576,8589930496,3802439680,0
200,1779564087888,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,12,0,0,4.1666669845581055,4.1666669845581055,0,0,0,4.1666669845581055,4.1666669845581055,4,7.692307949066162,4,0,0,4.1666669845581055,258309.23931884766,207890.83807373047,0,404332056576,8589930496,3802439680,0
199,1779564088088,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258309.6166381836,207895.39001464844,0,404332056576,8589930496,3802439680,0
199,1779564088289,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258310.0283203125,207900.68756103516,0,404332056576,8589930496,3802439680,0
199,1779564088489,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258310.45819091797,207906.03149414063,0,404332056576,8589930496,3802439680,0
199,1779564088689,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258310.85607910156,207911.34790039063,0,404332056576,8589930496,3802439680,0
199,1779564088889,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,258311.29516601563,207916.66333007813,0,404332056576,8589930496,3802439680,0
199,1779564089089,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258311.73217773438,207921.97003173828,0,404332056576,8589930496,3802439680,0
199,1779564089289,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,258312.17016601563,207927.26470947266,0,404332056576,8589930496,3802877952,0
199,1779564089489,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258312.61907958984,207932.58489990234,0,404332056576,8589930496,3802877952,0
199,1779564089690,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,258313.0355834961,207937.91137695313,0,404332056576,8589930496,3802619904,0
0,1779564089890,2099,800,1000,1000,800,800,2034,800,1351,2000,2000,800,2000,800,1000,1878,0,0,0,0,0,0,0,61.904762268066406,0,0,0,0,0,0,0,0,258313.3331298828,207942.42626953125,0,404332056576,8589930496,3802619904,0
