Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779824477337,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,0,8,4.34782600402832,0,0,4.1666669845581055,0,12.5,0,4.1666669845581055,0,4.34782600402832,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,5519.663146972656,156320.81866455078,0,404331982848,8589930496,2832969728,0
199,1779824477337,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,0,8,4.34782600402832,0,0,4.1666669845581055,0,12.5,0,4.1666669845581055,0,4.34782600402832,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,5519.663146972656,156320.81866455078,0,404331982848,8589930496,2832969728,0
199,1779824477537,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521.632568359375,156326.4971923828,0,404331982848,8589930496,2832969728,0
199,1779824477738,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524.491394042969,156333.23010253906,0,404331982848,8589930496,2840969216,0
199,1779824477938,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5527.3621826171875,156339.9594116211,0,404331982848,8589930496,2857226240,0
199,1779824478138,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5530.219177246094,156346.6961669922,0,404331982848,8589930496,2874187776,0
199,1779824478338,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5533.136657714844,156353.43389892578,0,404331982848,8589930496,2898960384,0
199,1779824478538,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,5536.003112792969,156360.1421508789,0,404331982848,8589930496,2915217408,0
199,1779824478738,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5538.884704589844,156366.88836669922,0,404331982848,8589930496,2931732480,0
199,1779824478938,800,800,800,799,1370,800,800,800,2000,800,800,2100,1236,800,1000,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5541.7574462890625,156373.6258544922,0,404331982848,8589930496,2956759040,0
