Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779823674926,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,8.333333969116211,4.1666669845581055,4,4,4,0,4,0,0,4.1666669845581055,0,4.1666669845581055,0,0,0,3645.424072265625,142325.21856689453,0,404331982848,8589930496,2829475840,0
199,1779823674926,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,8.333333969116211,4.1666669845581055,4,4,4,0,4,0,0,4.1666669845581055,0,4.1666669845581055,0,0,0,3645.4275512695313,142325.23992919922,0,404331982848,8589930496,2829475840,0
199,1779823675126,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3645.8705444335938,142329.6759033203,0,404331982848,8589930496,2829475840,0
199,1779823675326,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3646.3480224609375,142335.00177001953,0,404331982848,8589930496,2835775488,0
199,1779823675526,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3646.8108520507813,142340.32788085938,0,404331982848,8589930496,2856419328,0
199,1779823675726,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3647.3010864257813,142345.6586303711,0,404331982848,8589930496,2872676352,0
199,1779823675927,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,3647.771484375,142350.98828125,0,404331982848,8589930496,2889191424,0
199,1779823676127,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3648.2845458984375,142356.32177734375,0,404331982848,8589930496,2913705984,0
199,1779823676327,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3648.773681640625,142361.64373779297,0,404331982848,8589930496,2930221056,0
199,1779823676527,800,2000,1465,925,800,800,800,1600,2100,855,2100,807,812,800,804,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3649.2319946289063,142366.96307373047,0,404331982848,8589930496,2954993664,0
