Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778846026642,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,0,8,0,4.1666669845581055,7.692307949066162,7.692307949066162,4,4,8,0,4,0,4.34782600402832,4.34782600402832,4.1666669845581055,4,2578.4287719726563,60467.49523925781,0,404332056576,8589930496,3966427136,0
199,1778846026642,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,0,8,0,4.1666669845581055,7.692307949066162,7.692307949066162,4,4,8,0,4,0,4.34782600402832,4.34782600402832,4.1666669845581055,4,2578.4287719726563,60467.49523925781,0,404332056576,8589930496,3966427136,0
199,1778846026842,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,50,0,0,0,0,0,0,52.38095474243164,0,0,0,0,0,0,0,0,2579.4763793945313,60472.37322998047,0,404332056576,8589930496,3966857216,0
199,1778846027042,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,2582.3574829101563,60479.26696777344,0,404332056576,8589930496,3966857216,0
199,1778846027242,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,2585.227294921875,60486.20593261719,0,404332056576,8589930496,3966857216,0
199,1778846027443,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2588.0783081054688,60493.12109375,0,404332056576,8589930496,3966857216,0
199,1778846027643,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590.9376831054688,60500.068359375,0,404332056576,8589930496,3966857216,0
199,1778846027843,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2593.8018798828125,60507.01171875,0,404332056576,8589930496,3966857216,0
199,1778846028043,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596.673583984375,60513.958435058594,0,404332056576,8589930496,3966857216,0
199,1778846028243,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,2599.55078125,60520.900634765625,0,404332056576,8589930496,3966857216,0
200,1778846028443,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,2602.4160766601563,60527.83758544922,0,404332056576,8589930496,3966857216,0
199,1778846028643,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,2.4390242099761963,0,0,2605.2914428710938,60534.77801513672,0,404332056576,8589930496,3966857216,0
199,1778846028843,854,1523,800,2099,800,1197,800,800,939,2000,800,1600,800,800,2000,1700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608.1341552734375,60541.72900390625,0,404332056576,8589930496,3966857216,0
