Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780333806021,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,2.777777910232544,0,100,0,0,0,0,0,0,5.405405521392822,0,0,0,2.857142925262451,0,0,0,0,0,0,0,0,2.777777910232544,2.777777910232544,0,2.777777910232544,0,0,0,0,24564,357,11677,30,0,189803.48175048828,88864.77392578125,0,134868594688,8589930496,2293170176,0
200,1780333806021,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,2.777777910232544,0,100,0,0,0,0,0,0,5.405405521392822,0,0,0,2.857142925262451,0,0,0,0,0,0,0,0,2.777777910232544,2.777777910232544,0,2.777777910232544,0,0,0,0,24564,357,11677,30,0,189803.87078857422,88865.0609741211,0,134868594688,8589930496,2293170176,0
200,1780333806221,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,58.33333206176758,0,0,26.086956024169922,0,0,19.047618865966797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11719,30,0,189812.85821533203,88872.02569580078,0,134868594688,8589930496,2300137472,0
200,1780333806421,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11719,30,0,189823.0478515625,88880.20007324219,0,134868594688,8589930496,2308136960,0
200,1780333806621,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11719,30,0,189833.1719970703,88888.32049560547,0,134868594688,8589930496,2308136960,0
200,1780333806821,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11719,30,0,189843.2964477539,88896.44818115234,0,134868594688,8589930496,2308136960,0
200,1780333807021,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11719,30,0,189853.54748535156,88904.69262695313,0,134868594688,8589930496,2310152192,0
200,1780333807222,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,4.761904716491699,0,0,100,100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11678,30,0,189863.95904541016,88913.0942993164,0,134868594688,8589930496,2310152192,0
200,1780333807422,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11678,30,0,189874.3123779297,88921.4443359375,0,134868594688,8589930496,2310152192,0
200,1780333807622,1528,800,800,800,800,5921,1403,800,800,800,3198,1825,5401,800,800,4058,2633,4399,800,800,1881,800,800,800,4400,1903,2244,800,1241,800,800,1686,0,0,0,0,0,100,100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11678,30,0,189884.59503173828,88929.72479248047,0,134868594688,8589930496,2310152192,0
