Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780337145458,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,7.407407283782959,11.111111640930176,0,3.7037036418914795,3.7037036418914795,3.5714287757873535,3.7037036418914795,0,0,3.5714287757873535,7.142857551574707,6.896551609039307,0,7.142857551574707,6.896551609039307,3.7037036418914795,11345.219360351563,192973.73181152344,0,404331982848,8589930496,4782735360,0
199,1780337145458,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,7.407407283782959,11.111111640930176,0,3.7037036418914795,3.7037036418914795,3.5714287757873535,3.7037036418914795,0,0,3.5714287757873535,7.142857551574707,6.896551609039307,0,7.142857551574707,6.896551609039307,3.7037036418914795,11345.234008789063,192973.75537109375,0,404331982848,8589930496,4782735360,0
200,1780337145658,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,45,4.761904716491699,0,0,0,0,52.6315803527832,0,0,0,0,0,0,0,0,0,11345.88623046875,192978.49810791016,0,404331982848,8589930496,4796928000,0
200,1780337145859,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,95,42.105262756347656,10,5,4.761904716491699,0,27.272727966308594,10,40,36.842105865478516,31.57894515991211,31.57894515991211,26.3157901763916,20,26.3157901763916,10.526315689086914,11348.092102050781,192985.8168334961,0,404331982848,8589930496,4836147200,0
199,1780337146059,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11350.942504882813,192997.36993408203,0,404331982848,8589930496,4836147200,0
199,1780337146260,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11353.82373046875,193009.20275878906,0,404331982848,8589930496,4833431552,0
200,1780337146460,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11356.634033203125,193021.10382080078,0,404331982848,8589930496,4833431552,0
200,1780337146660,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11359.449279785156,193033.0062866211,0,404331982848,8589930496,4833431552,0
199,1780337146861,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11362.291870117188,193044.90759277344,0,404331982848,8589930496,4833431552,0
199,1780337147061,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11365.146545410156,193056.80474853516,0,404331982848,8589930496,4833431552,0
202,1780337147261,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11368.026550292969,193068.69659423828,0,404331982848,8589930496,4831842304,0
200,1780337147463,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11370.939636230469,193080.77508544922,0,404331982848,8589930496,4831842304,0
200,1780337147664,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11373.852233886719,193092.66680908203,0,404331982848,8589930496,4831842304,0
200,1780337147864,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11376.708068847656,193104.5684814453,0,404331982848,8589930496,4831842304,0
199,1780337148064,805,2029,800,800,2000,800,1123,2089,2000,800,2300,2000,1000,2100,800,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11379.5849609375,193116.47326660156,0,404331982848,8589930496,4831842304,0
