Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779312130598,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,4,7.692307949066162,0,4,0,4,8,4,0,0,4,0,7.692307949066162,0,0,0,116946.9359741211,102807.5277709961,0,404332056576,8589930496,3814563840,0
199,1779312130598,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,4,7.692307949066162,0,4,0,4,8,4,0,0,4,0,7.692307949066162,0,0,0,116946.93981933594,102807.55029296875,0,404332056576,8589930496,3814563840,0
199,1779312130798,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,63.15789031982422,61.904762268066406,65,65,65,63.15789031982422,65,65,61.904762268066406,60.000003814697266,65,63.15789031982422,65,65,65,116949.16088867188,102815.19647216797,0,404332056576,8589930496,3829440512,0
199,1779312130999,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116952.08428955078,102822.1206665039,0,404332056576,8589930496,3829440512,0
199,1779312131199,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116955.01037597656,102829.03588867188,0,404332056576,8589930496,3833569280,0
199,1779312131399,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116957.93322753906,102835.95056152344,0,404332056576,8589930496,3833569280,0
199,1779312131599,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116960.86730957031,102842.8685913086,0,404332056576,8589930496,3833569280,0
199,1779312131799,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116963.75439453125,102849.794921875,0,404332056576,8589930496,3833569280,0
199,1779312131999,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116966.66394042969,102856.71697998047,0,404332056576,8589930496,3833569280,0
199,1779312132199,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116969.54754638672,102863.64782714844,0,404332056576,8589930496,3833569280,0
199,1779312132399,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116972.43450927734,102870.57037353516,0,404332056576,8589930496,3833569280,0
199,1779312132600,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116975.29510498047,102877.48706054688,0,404332056576,8589930496,3833569280,0
199,1779312132800,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116978.18530273438,102884.21166992188,0,404332056576,8589930496,3833393152,0
199,1779312133000,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116981.08264160156,102890.94158935547,0,404332056576,8589930496,3833389056,0
199,1779312133200,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116983.94842529297,102897.70477294922,0,404332056576,8589930496,3833389056,0
199,1779312133400,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116986.82586669922,102904.52685546875,0,404332056576,8589930496,3833389056,0
199,1779312133600,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116989.71789550781,102911.26037597656,0,404332056576,8589930496,3833389056,0
199,1779312133800,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116992.58142089844,102917.98608398438,0,404332056576,8589930496,3833380864,0
199,1779312134001,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116995.45568847656,102924.7045288086,0,404332056576,8589930496,3833380864,0
199,1779312134201,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116998.29370117188,102931.42907714844,0,404332056576,8589930496,3833344000,0
199,1779312134401,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117001.12683105469,102938.15228271484,0,404332056576,8589930496,3833344000,0
199,1779312134601,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117003.99444580078,102944.87628173828,0,404332056576,8589930496,3833344000,0
199,1779312134801,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117006.8392944336,102951.60052490234,0,404332056576,8589930496,3833344000,0
199,1779312135001,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,117009.70025634766,102958.28631591797,0,404332056576,8589930496,3833344000,0
199,1779312135201,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117012.53533935547,102965.00280761719,0,404332056576,8589930496,3833344000,0
199,1779312135402,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117015.43585205078,102971.724609375,0,404332056576,8589930496,3833344000,0
199,1779312135602,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117018.29089355469,102978.43853759766,0,404332056576,8589930496,3833344000,0
199,1779312135802,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117021.15533447266,102985.15100097656,0,404332056576,8589930496,3833344000,0
199,1779312136002,800,1000,800,800,800,1092,810,1023,1800,1037,800,1160,813,2000,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117024.01477050781,102991.86798095703,0,404332056576,8589930496,3833344000,0
