Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779355631806,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,4.1666669845581055,0,4.1666669845581055,7.692307949066162,0,0,0,8.333333969116211,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,8,0,4.1666669845581055,0,133276.982421875,165939.5743408203,0,404332056576,8589930496,3842953216,0
199,1779355631806,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,4.1666669845581055,0,4.1666669845581055,7.692307949066162,0,0,0,8.333333969116211,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,8,0,4.1666669845581055,0,133276.98699951172,165939.5985107422,0,404332056576,8589930496,3842953216,0
199,1779355632006,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,65,60.000003814697266,65,65,61.904762268066406,63.6363639831543,66.66667175292969,61.904762268066406,65,65,61.904762268066406,61.904762268066406,65,60.000003814697266,65,133279.30139160156,165947.3397216797,0,404332056576,8589930496,3842953216,0
199,1779355632206,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133282.24505615234,165954.29138183594,0,404332056576,8589930496,3842953216,0
199,1779355632406,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133285.18041992188,165961.2099609375,0,404332056576,8589930496,3842953216,0
199,1779355632606,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133288.11657714844,165968.19958496094,0,404332056576,8589930496,3842953216,0
199,1779355632807,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133291.0513305664,165975.154296875,0,404332056576,8589930496,3843211264,0
199,1779355633007,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133293.9859008789,165982.09759521484,0,404332056576,8589930496,3843211264,0
199,1779355633207,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133296.87396240234,165989.0509033203,0,404332056576,8589930496,3843211264,0
199,1779355633407,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133299.78729248047,165995.99279785156,0,404332056576,8589930496,3843211264,0
199,1779355633607,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133302.70318603516,166002.943359375,0,404332056576,8589930496,3842977792,0
199,1779355633807,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133305.60290527344,166009.89361572266,0,404332056576,8589930496,3842543616,0
199,1779355634007,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133308.4976196289,166016.75115966797,0,404332056576,8589930496,3842543616,0
199,1779355634207,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133311.42401123047,166023.50421142578,0,404332056576,8589930496,3842543616,0
199,1779355634408,1755,1550,2100,800,800,800,800,2100,800,875,800,1500,800,800,1451,1543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133314.32891845703,166030.32568359375,0,404332056576,8589930496,3842543616,0
