Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779570227398,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,4.1666669845581055,4,0,4.1666669845581055,4,0,0,4.1666669845581055,0,0,4.1666669845581055,7.692307949066162,7.692307949066162,4,0,13261.725830078125,52805.395080566406,0,404332056576,8589930496,3961536512,0
200,1779570227399,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,4.1666669845581055,4,0,4.1666669845581055,4,0,0,4.1666669845581055,0,0,4.1666669845581055,7.692307949066162,7.692307949066162,4,0,13261.736999511719,52805.413330078125,0,404332056576,8589930496,3961536512,0
199,1779570227599,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13262.4697265625,52810.415466308594,0,404332056576,8589930496,4200747008,0
199,1779570227799,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13263.036865234375,52815.749938964844,0,404332056576,8589930496,4332867584,0
199,1779570227999,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13263.596374511719,52821.08917236328,0,404332056576,8589930496,4332867584,0
199,1779570228199,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,4.761904716491699,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13264.165649414063,52826.428161621094,0,404332056576,8589930496,4374396928,0
199,1779570228399,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13264.753173828125,52831.76483154297,0,404332056576,8589930496,4473487360,0
199,1779570228599,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13265.345092773438,52837.095703125,0,404332056576,8589930496,4473487360,0
199,1779570228800,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13265.880004882813,52842.425842285156,0,404332056576,8589930496,4473487360,0
199,1779570229000,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13266.423889160156,52847.75646972656,0,404332056576,8589930496,4481744896,0
199,1779570229200,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13266.936950683594,52853.09118652344,0,404332056576,8589930496,4481744896,0
199,1779570229400,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13267.462463378906,52858.42614746094,0,404332056576,8589930496,4481486848,0
199,1779570229600,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13267.991760253906,52863.75897216797,0,404332056576,8589930496,4481486848,0
199,1779570229800,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13268.544921875,52869.09014892578,0,404332056576,8589930496,4481486848,0
199,1779570230000,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13269.121643066406,52874.42498779297,0,404332056576,8589930496,4481486848,0
199,1779570230200,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13269.683410644531,52879.769592285156,0,404332056576,8589930496,4481486848,0
199,1779570230401,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13270.223205566406,52885.09655761719,0,404332056576,8589930496,4481486848,0
199,1779570230601,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13270.760986328125,52890.42315673828,0,404332056576,8589930496,4489744384,0
199,1779570230801,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13271.289978027344,52895.75946044922,0,404332056576,8589930496,4497833984,0
199,1779570231001,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13271.803405761719,52901.09130859375,0,404332056576,8589930496,4497833984,0
199,1779570231201,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13272.322387695313,52906.433044433594,0,404332056576,8589930496,4497833984,0
199,1779570231401,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13272.877746582031,52911.76983642578,0,404332056576,8589930496,4497833984,0
199,1779570231601,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13273.390747070313,52917.081604003906,0,404332056576,8589930496,4497833984,0
199,1779570231802,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13273.921325683594,52922.441833496094,0,404332056576,8589930496,4497833984,0
199,1779570232002,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13274.374755859375,52927.78497314453,0,404332056576,8589930496,4497833984,0
199,1779570232202,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13274.877868652344,52933.128479003906,0,404332056576,8589930496,4497833984,0
199,1779570232402,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13275.399658203125,52938.47546386719,0,404332056576,8589930496,4489318400,0
199,1779570232602,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13275.958312988281,52943.81640625,0,404332056576,8589930496,4489318400,0
199,1779570232802,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13276.509155273438,52949.15576171875,0,404332056576,8589930496,4489318400,0
199,1779570233002,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13277.075439453125,52954.46710205078,0,404332056576,8589930496,4489318400,0
199,1779570233203,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13277.628234863281,52959.82958984375,0,404332056576,8589930496,4489318400,0
199,1779570233403,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13278.176330566406,52965.17364501953,0,404332056576,8589930496,4497317888,0
199,1779570233603,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13278.705444335938,52970.507751464844,0,404332056576,8589930496,4497317888,0
199,1779570233803,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13279.244018554688,52975.83386230469,0,404332056576,8589930496,4497317888,0
199,1779570234003,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13279.789733886719,52981.15704345703,0,404332056576,8589930496,4497301504,0
199,1779570234203,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13280.328308105469,52986.48077392578,0,404332056576,8589930496,4497301504,0
199,1779570234403,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13280.887084960938,52991.78741455078,0,404332056576,8589930496,4497301504,0
199,1779570234603,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13281.46826171875,52997.134826660156,0,404332056576,8589930496,4497301504,0
199,1779570234803,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13282.011352539063,53002.432067871094,0,404332056576,8589930496,4497301504,0
199,1779570235004,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13282.526245117188,53007.758544921875,0,404332056576,8589930496,4497301504,0
199,1779570235204,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13283.059997558594,53013.083923339844,0,404332056576,8589930496,4497301504,0
199,1779570235404,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13283.592224121094,53018.41784667969,0,404332056576,8589930496,4497301504,0
199,1779570235604,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13284.161315917969,53023.74450683594,0,404332056576,8589930496,4497301504,0
199,1779570235804,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13284.725708007813,53029.07409667969,0,404332056576,8589930496,4497301504,0
199,1779570236004,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13285.268493652344,53034.40283203125,0,404332056576,8589930496,4497043456,0
199,1779570236204,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13285.818603515625,53039.743713378906,0,404332056576,8589930496,4497043456,0
199,1779570236405,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13286.3828125,53045.076171875,0,404332056576,8589930496,4497043456,0
199,1779570236605,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13286.951354980469,53050.405822753906,0,404332056576,8589930496,4497043456,0
199,1779570236805,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13287.530151367188,53055.738525390625,0,404332056576,8589930496,4497043456,0
199,1779570237005,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13288.093872070313,53061.0703125,0,404332056576,8589930496,4497043456,0
199,1779570237205,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13288.661743164063,53066.40692138672,0,404332056576,8589930496,4497043456,0
199,1779570237405,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13289.215270996094,53071.73693847656,0,404332056576,8589930496,4497043456,0
199,1779570237605,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13289.786254882813,53077.06427001953,0,404332056576,8589930496,4498075648,0
199,1779570237805,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13290.35302734375,53082.39318847656,0,404332056576,8589930496,4489818112,0
199,1779570238006,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13290.947998046875,53087.732421875,0,404332056576,8589930496,4489818112,0
199,1779570238206,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13291.531127929688,53093.06677246094,0,404332056576,8589930496,4489818112,0
199,1779570238406,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13292.0966796875,53098.39685058594,0,404332056576,8589930496,4497817600,0
199,1779570238606,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13292.673522949219,53103.72644042969,0,404332056576,8589930496,4497817600,0
199,1779570238806,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13293.259704589844,53109.04968261719,0,404332056576,8589930496,4489560064,0
199,1779570239006,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13293.867248535156,53114.373291015625,0,404332056576,8589930496,4489560064,0
199,1779570239206,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13294.445068359375,53119.70458984375,0,404332056576,8589930496,4489560064,0
199,1779570239407,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13294.98486328125,53125.02911376953,0,404332056576,8589930496,4489560064,0
199,1779570239607,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13295.54541015625,53130.35754394531,0,404332056576,8589930496,4489560064,0
199,1779570239807,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13296.118408203125,53135.693115234375,0,404332056576,8589930496,4481302528,0
199,1779570240007,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13296.713684082031,53141.03564453125,0,404332056576,8589930496,4481277952,0
199,1779570240207,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13297.288146972656,53146.37237548828,0,404332056576,8589930496,4481277952,0
199,1779570240407,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13297.834045410156,53151.70245361328,0,404332056576,8589930496,4481277952,0
199,1779570240607,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13298.361145019531,53157.03210449219,0,404332056576,8589930496,4481277952,0
199,1779570240807,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13298.910522460938,53162.36590576172,0,404332056576,8589930496,4473020416,0
199,1779570241008,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13299.433898925781,53167.694274902344,0,404332056576,8589930496,4473020416,0
199,1779570241208,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13299.961364746094,53173.01934814453,0,404332056576,8589930496,4473020416,0
199,1779570241408,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13300.509094238281,53178.34851074219,0,404332056576,8589930496,4473020416,0
199,1779570241608,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13301.052856445313,53183.677001953125,0,404332056576,8589930496,4473020416,0
199,1779570241808,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13301.580078125,53189.00506591797,0,404332056576,8589930496,4464762880,0
199,1779570242008,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13302.105773925781,53194.33239746094,0,404332056576,8589930496,4464762880,0
199,1779570242208,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13302.621215820313,53199.67022705078,0,404332056576,8589930496,4464504832,0
199,1779570242409,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13303.14697265625,53204.996337890625,0,404332056576,8589930496,4464504832,0
199,1779570242609,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13303.693542480469,53210.324768066406,0,404332056576,8589930496,4464504832,0
199,1779570242809,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13304.25390625,53215.65753173828,0,404332056576,8589930496,4456247296,0
199,1779570243009,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13304.772399902344,53220.98876953125,0,404332056576,8589930496,4455989248,0
199,1779570243209,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13305.298522949219,53226.3232421875,0,404332056576,8589930496,4455989248,0
199,1779570243409,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13305.821105957031,53231.655700683594,0,404332056576,8589930496,4455989248,0
199,1779570243609,2000,2100,800,1649,800,1300,800,1867,799,1834,800,800,800,800,800,2099,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13306.320434570313,53236.98663330078,0,404332056576,8589930496,4455972864,0
