Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779571862789,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,3.846153974533081,0,0,4,0,0,0,4,3.846153974533081,4,4.1666669845581055,0,4,0,4,0,16716.661682128906,83802.5546875,0,404332056576,8589930496,4337782784,0
200,1779571862789,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,3.846153974533081,0,0,4,0,0,0,4,3.846153974533081,4,4.1666669845581055,0,4,0,4,0,16716.661682128906,83802.5546875,0,404332056576,8589930496,4337782784,0
199,1779571862989,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16717.414489746094,83807.21752929688,0,404332056576,8589930496,4535963648,0
199,1779571863189,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16717.94952392578,83812.5894165039,0,404332056576,8589930496,4692856832,0
199,1779571863389,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,16718.474365234375,83817.96417236328,0,404332056576,8589930496,4692856832,0
199,1779571863589,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16718.98077392578,83823.30249023438,0,404332056576,8589930496,4725628928,0
199,1779571863790,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16719.50323486328,83828.64447021484,0,404332056576,8589930496,4832718848,0
199,1779571863990,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16720.0087890625,83833.97778320313,0,404332056576,8589930496,4832718848,0
199,1779571864190,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16720.60076904297,83839.39178466797,0,404332056576,8589930496,4832718848,0
199,1779571864390,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16721.15753173828,83844.73120117188,0,404332056576,8589930496,4840976384,0
199,1779571864590,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16721.70050048828,83850.06750488281,0,404332056576,8589930496,4840960000,0
199,1779571864790,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16722.23797607422,83855.39855957031,0,404332056576,8589930496,4840960000,0
199,1779571864990,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,16722.768127441406,83860.73498535156,0,404332056576,8589930496,4840960000,0
199,1779571865191,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16723.33917236328,83866.0737915039,0,404332056576,8589930496,4840960000,0
199,1779571865391,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16723.87322998047,83871.41552734375,0,404332056576,8589930496,4840960000,0
199,1779571865591,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16724.41729736328,83876.73828125,0,404332056576,8589930496,4840960000,0
199,1779571865791,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16724.95880126953,83882.10516357422,0,404332056576,8589930496,4840960000,0
199,1779571865991,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16725.490173339844,83887.43896484375,0,404332056576,8589930496,4840960000,0
199,1779571866191,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,16726.08038330078,83892.81634521484,0,404332056576,8589930496,4840771584,0
199,1779571866391,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16726.62322998047,83898.16491699219,0,404332056576,8589930496,4857028608,0
199,1779571866592,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16727.162048339844,83903.50677490234,0,404332056576,8589930496,4857028608,0
199,1779571866792,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16727.686401367188,83908.8251953125,0,404332056576,8589930496,4856770560,0
199,1779571866992,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16728.218688964844,83914.17358398438,0,404332056576,8589930496,4856770560,0
199,1779571867192,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16728.75897216797,83919.50775146484,0,404332056576,8589930496,4856770560,0
199,1779571867392,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16729.298767089844,83924.84973144531,0,404332056576,8589930496,4856770560,0
199,1779571867592,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16729.835327148438,83930.1898803711,0,404332056576,8589930496,4831707136,0
199,1779571867792,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16730.359313964844,83935.53515625,0,404332056576,8589930496,4831707136,0
199,1779571867992,911,800,2057,799,1000,1000,800,1277,800,800,800,2099,1066,855,2000,917,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16730.910522460938,83940.88165283203,0,404332056576,8589930496,4831707136,0
