Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778806951403,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,4,0,0,0,4,7.692307949066162,7.692307949066162,0,4,8,8,0,0,0,7.692307949066162,0,128264.9673461914,50839.02770996094,0,404332056576,8589930496,4043456512,0
200,1778806951404,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,4,0,0,0,4,7.692307949066162,7.692307949066162,0,4,8,8,0,0,0,7.692307949066162,0,128264.9673461914,50839.02770996094,0,404332056576,8589930496,4043456512,0
199,1778806951604,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,52.38095474243164,0,0,0,0,0,50,0,0,0,128265.77709960938,50843.80700683594,0,404332056576,8589930496,4055298048,0
199,1778806951804,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,128268.66180419922,50850.634033203125,0,404332056576,8589930496,4055961600,0
199,1778806952004,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,100,0,0,0,128271.5532836914,50857.580505371094,0,404332056576,8589930496,4055961600,0
199,1778806952204,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,128274.4429321289,50864.51007080078,0,404332056576,8589930496,4055961600,0
199,1778806952404,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,128277.33715820313,50871.40966796875,0,404332056576,8589930496,4055961600,0
199,1778806952604,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,128280.18041992188,50878.147216796875,0,404332056576,8589930496,4055703552,0
199,1778806952805,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,128283.03546142578,50884.888244628906,0,404332056576,8589930496,4055703552,0
199,1778806953005,1676,800,800,2000,1400,2099,800,980,800,2000,800,799,800,800,1032,800,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,128285.86791992188,50891.630432128906,0,404332056576,8589930496,4055703552,0
