Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780345103204,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,2.941176414489746,0,0,0,15.15151596069336,79.4117660522461,2.941176414489746,0,0,0,0,2.941176414489746,0,0,0,0,0,0,0,2.941176414489746,0,0,0,2.941176414489746,0,0,2.941176414489746,0,0,0,6.060606002807617,0,0,24564,357,11453,30,0,136099.73559570313,184010.32733154297,0,134868594688,8589930496,2322010112,0
200,1780345103204,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,2.941176414489746,0,0,0,15.15151596069336,79.4117660522461,2.941176414489746,0,0,0,0,2.941176414489746,0,0,0,0,0,0,0,2.941176414489746,0,0,0,2.941176414489746,0,0,2.941176414489746,0,0,0,6.060606002807617,0,0,24564,357,11453,30,0,136100.10510253906,184010.59600830078,0,134868594688,8589930496,2322010112,0
199,1780345103404,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,86.9565200805664,0,0,0,0,4.545454502105713,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,24564,357,11453,30,0,136109.8768310547,184018.35418701172,0,134868594688,8589930496,2323558400,0
200,1780345103604,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11453,30,0,136119.86755371094,184026.3377685547,0,134868594688,8589930496,2321526784,0
200,1780345103804,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,4.761904716491699,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11483,30,0,136129.8994140625,184034.36505126953,0,134868594688,8589930496,2338029568,0
200,1780345104004,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11483,30,0,136140.02325439453,184042.4815673828,0,134868594688,8589930496,2337255424,0
200,1780345104204,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11483,30,0,136150.19232177734,184050.64166259766,0,134868594688,8589930496,2333614080,0
200,1780345104404,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11483,30,0,136160.3355102539,184058.78479003906,0,134868594688,8589930496,2333614080,0
200,1780345104604,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,50,4.761904716491699,0,0,0,100,36.842105865478516,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,11483,30,0,136170.1505126953,184066.556640625,0,134868594688,8589930496,2332065792,0
200,1780345104804,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,4.761904716491699,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11519,30,0,136180.29180908203,184074.69287109375,0,134868594688,8589930496,2333868032,0
200,1780345105004,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,4.761904716491699,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11519,30,0,136190.4321899414,184082.84020996094,0,134868594688,8589930496,2333655040,0
200,1780345105204,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11519,30,0,136200.7837524414,184091.1719970703,0,134868594688,8589930496,2333655040,0
200,1780345105404,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11519,30,0,136210.98919677734,184099.37335205078,0,134868594688,8589930496,2333655040,0
200,1780345105604,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,9.090909004211426,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11519,30,0,136221.19104003906,184107.5704345703,0,134868594688,8589930496,2333655040,0
200,1780345105805,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,36.842105865478516,0,0,100,45,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11482,30,0,136230.88330078125,184115.22137451172,0,134868594688,8589930496,2342944768,0
200,1780345106005,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,4.761904716491699,10,0,0,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11482,30,0,136241.08038330078,184123.4093017578,0,134868594688,8589930496,2342653952,0
199,1780345106205,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11482,30,0,136251.2592163086,184131.5824584961,0,134868594688,8589930496,2342653952,0
199,1780345106405,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11482,30,0,136261.43243408203,184139.74969482422,0,134868594688,8589930496,2342653952,0
199,1780345106605,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11482,30,0,136271.55822753906,184147.87799072266,0,134868594688,8589930496,2342653952,0
199,1780345106805,1457,800,1814,800,5787,800,5700,800,4399,800,800,3894,3798,4399,800,4400,800,2101,800,800,1699,800,800,800,2058,1791,5700,800,3446,800,2614,800,5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11424,30,0,136281.7664794922,184156.07647705078,0,134868594688,8589930496,2342653952,0
