Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778816200872,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,4.1666669845581055,0,0,0,0,0,4,0,0,4.34782600402832,0,0,4,0,0,0,181812.61169433594,23401.201538085938,0,404332056576,8589930496,4007071744,0
200,1778816200872,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,4.1666669845581055,0,0,0,0,0,4,0,0,4.34782600402832,0,0,4,0,0,0,181812.61352539063,23401.224975585938,0,404332056576,8589930496,4007071744,0
199,1778816201072,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,45,0,0,0,55,0,181813.6220703125,23405.928833007813,0,404332056576,8589930496,4007071744,0
199,1778816201272,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181816.4453125,23412.795654296875,0,404332056576,8589930496,4007071744,0
199,1778816201472,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181819.29077148438,23419.71270751953,0,404332056576,8589930496,4007071744,0
199,1778816201672,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181822.13348388672,23426.7041015625,0,404332056576,8589930496,4007071744,0
199,1778816201872,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181825.00079345703,23433.660217285156,0,404332056576,8589930496,4007026688,0
199,1778816202072,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181827.86114501953,23440.61395263672,0,404332056576,8589930496,4007026688,0
199,1778816202273,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181830.7192993164,23447.567932128906,0,404332056576,8589930496,4007026688,0
199,1778816202473,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181833.59173583984,23454.3994140625,0,404332056576,8589930496,4007026688,0
199,1778816202673,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181836.4585571289,23461.142822265625,0,404332056576,8589930496,4007026688,0
199,1778816202873,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,4.761904716491699,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181839.3306274414,23467.88885498047,0,404332056576,8589930496,4006768640,0
199,1778816203073,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181842.162109375,23474.63494873047,0,404332056576,8589930496,4006768640,0
199,1778816203273,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181845.02661132813,23481.425659179688,0,404332056576,8589930496,4006768640,0
199,1778816203473,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181847.88116455078,23488.37664794922,0,404332056576,8589930496,4006768640,0
199,1778816203673,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181850.76293945313,23495.32568359375,0,404332056576,8589930496,4006768640,0
199,1778816203874,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181853.61657714844,23502.2666015625,0,404332056576,8589930496,4006768640,0
199,1778816204074,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181856.4970703125,23509.205993652344,0,404332056576,8589930496,4006768640,0
199,1778816204274,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181859.37237548828,23516.13885498047,0,404332056576,8589930496,4006768640,0
199,1778816204474,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,181862.23406982422,23523.090942382813,0,404332056576,8589930496,4006768640,0
199,1778816204674,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,5,0,0,0,0,0,0,0,0,9.090909004211426,23.809524536132813,0,0,9.523809432983398,0,60.000003814697266,181863.7840576172,23528.916381835938,0,404332056576,8589930496,4022349824,0
199,1778816204874,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,181864.26763916016,23534.25909423828,0,404332056576,8589930496,4022341632,0
199,1778816205074,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,181864.7611694336,23539.594482421875,0,404332056576,8589930496,4022341632,0
199,1778816205275,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,181865.23858642578,23544.92901611328,0,404332056576,8589930496,4022341632,0
199,1778816205475,800,800,1505,807,1028,799,800,2000,1062,1000,800,1000,800,800,2000,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,181865.73120117188,23550.27734375,0,404332056576,8589930496,4022341632,0
