Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779827742818,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,4.1666669845581055,4.1666669845581055,4,0,4.34782600402832,4,4.1666669845581055,0,7.692307949066162,4.1666669845581055,0,8,4,0,4.1666669845581055,4,10580.126220703125,209172.87927246094,0,404331982848,8589930496,7595548672,0
200,1779827742818,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,4.1666669845581055,4.1666669845581055,4,0,4.34782600402832,4,4.1666669845581055,0,7.692307949066162,4.1666669845581055,0,8,4,0,4.1666669845581055,4,10580.126220703125,209172.87927246094,0,404331982848,8589930496,7595548672,0
199,1779827743018,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,95.23809814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10582.248352050781,209178.4945678711,0,404331982848,8589930496,7684030464,0
199,1779827743218,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10585.195861816406,209185.21838378906,0,404331982848,8589930496,7788797952,0
199,1779827743419,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10588.078369140625,209191.9444580078,0,404331982848,8589930496,7919886336,0
199,1779827743619,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10590.97998046875,209198.67120361328,0,404331982848,8589930496,8042975232,0
199,1779827743819,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10593.938293457031,209205.43115234375,0,404331982848,8589930496,8166322176,0
199,1779827744019,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10596.856201171875,209212.12615966797,0,404331982848,8589930496,8298184704,0
199,1779827744219,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10599.802368164063,209218.8519897461,0,404331982848,8589930496,8397991936,0
199,1779827744419,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,10602.787353515625,209225.5867919922,0,404331982848,8589930496,8513339392,0
199,1779827744619,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10605.746765136719,209232.31201171875,0,404331982848,8589930496,8636944384,0
199,1779827744820,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10608.719970703125,209239.03582763672,0,404331982848,8589930496,8752291840,0
199,1779827745020,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10611.659790039063,209245.74530029297,0,404331982848,8589930496,8876154880,0
199,1779827745220,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10614.607238769531,209252.4760131836,0,404331982848,8589930496,8983244800,0
199,1779827745420,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10617.562194824219,209259.2114868164,0,404331982848,8589930496,9098592256,0
199,1779827745620,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10620.529968261719,209265.95489501953,0,404331982848,8589930496,9230454784,0
199,1779827745820,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10623.501037597656,209272.68701171875,0,404331982848,8589930496,9354317824,0
199,1779827746020,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,10626.431030273438,209279.41845703125,0,404331982848,8589930496,9477922816,0
199,1779827746220,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,10629.348266601563,209286.13275146484,0,404331982848,8589930496,9585270784,0
199,1779827746421,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10632.276428222656,209292.8660888672,0,404331982848,8589930496,9692360704,0
199,1779827746621,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10635.192504882813,209299.5933227539,0,404331982848,8589930496,9816223744,0
199,1779827746821,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10638.131530761719,209306.326171875,0,404331982848,8589930496,9939828736,0
199,1779827747021,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10641.092346191406,209313.06372070313,0,404331982848,8589930496,10071949312,0
199,1779827747221,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10644.054260253906,209319.7899169922,0,404331982848,8589930496,10187374592,0
199,1779827747421,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10647.015563964844,209326.51342773438,0,404331982848,8589930496,10294464512,0
199,1779827747621,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10650.003112792969,209333.24438476563,0,404331982848,8589930496,10418327552,0
199,1779827747822,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10652.9697265625,209339.96099853516,0,404331982848,8589930496,10550190080,0
199,1779827748022,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,10655.933044433594,209346.67919921875,0,404331982848,8589930496,10665779200,0
199,1779827748222,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10658.898315429688,209353.40521240234,0,404331982848,8589930496,10781384704,0
199,1779827748422,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10661.964660644531,209360.13830566406,0,404331982848,8589930496,10822672384,0
199,1779827748622,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10665.075805664063,209366.88580322266,0,404331982848,8589930496,10806157312,0
199,1779827748822,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10668.188781738281,209373.6280517578,0,404331982848,8589930496,10806157312,0
199,1779827749022,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10671.264282226563,209380.37048339844,0,404331982848,8589930496,10806157312,0
199,1779827749222,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10674.35302734375,209387.1195678711,0,404331982848,8589930496,10797899776,0
199,1779827749423,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10677.390808105469,209393.8634033203,0,404331982848,8589930496,10797899776,0
199,1779827749623,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10680.481140136719,209400.6121826172,0,404331982848,8589930496,10797899776,0
199,1779827749823,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10683.577575683594,209407.3524169922,0,404331982848,8589930496,10797899776,0
199,1779827750023,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10686.690734863281,209414.09692382813,0,404331982848,8589930496,10797899776,0
199,1779827750223,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10689.828186035156,209420.84741210938,0,404331982848,8589930496,10797899776,0
199,1779827750423,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10692.907470703125,209427.5902709961,0,404331982848,8589930496,10773127168,0
199,1779827750623,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10696.036926269531,209434.3305053711,0,404331982848,8589930496,10764869632,0
199,1779827750824,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10699.16015625,209441.06964111328,0,404331982848,8589930496,10764869632,0
199,1779827751024,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10702.284729003906,209447.80004882813,0,404331982848,8589930496,10764869632,0
199,1779827751224,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10705.669189453125,209454.55993652344,0,404331982848,8589930496,10748354560,0
199,1779827751424,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10709.591247558594,209461.3662109375,0,404331982848,8589930496,10748354560,0
199,1779827751624,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10713.496520996094,209468.17779541016,0,404331982848,8589930496,10740097024,0
199,1779827751824,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,10717.359680175781,209474.9766845703,0,404331982848,8589930496,10740097024,0
199,1779827752024,2100,2015,800,2099,800,800,800,800,800,1852,2500,2000,2000,800,800,1875,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10721.174194335938,209481.7734375,0,404331982848,8589930496,10740097024,0
