Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779827338556,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,8,4.1666669845581055,0,0,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4,0,4.1666669845581055,8,0,0,8,10076.652954101563,202374.15478515625,0,404331982848,8589930496,9427505152,0
200,1779827338557,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,8,4.1666669845581055,0,0,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4,0,4.1666669845581055,8,0,0,8,10076.652954101563,202374.15478515625,0,404331982848,8589930496,9427505152,0
199,1779827338757,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10078.632141113281,202379.71228027344,0,404331982848,8589930496,9427505152,0
199,1779827338957,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10081.571350097656,202386.43127441406,0,404331982848,8589930496,9428021248,0
199,1779827339157,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10084.507995605469,202393.1547241211,0,404331982848,8589930496,9429213184,0
199,1779827339357,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,10087.474975585938,202399.8770751953,0,404331982848,8589930496,9429213184,0
199,1779827339557,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090.425720214844,202406.599609375,0,404331982848,8589930496,9421471744,0
199,1779827339757,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10093.380859375,202413.32556152344,0,404331982848,8589930496,9421471744,0
199,1779827339958,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10096.3505859375,202420.0523071289,0,404331982848,8589930496,9421987840,0
199,1779827340158,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099.310241699219,202426.7788696289,0,404331982848,8589930496,9421987840,0
199,1779827340358,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10102.224182128906,202433.51000976563,0,404331982848,8589930496,9414246400,0
199,1779827340558,799,1296,2081,799,800,800,992,800,800,800,2060,2000,799,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10105.170104980469,202440.23596191406,0,404331982848,8589930496,9405964288,0
