Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779632647093,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,4,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.34782600402832,0,4.1666669845581055,0,0,0,32817.75323486328,120320.1216430664,0,404332056576,8589930496,4107972608,0
199,1779632647093,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,4,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.1666669845581055,4.34782600402832,0,4.1666669845581055,0,0,0,32817.76403808594,120320.14471435547,0,404332056576,8589930496,4107972608,0
199,1779632647293,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,52.6315803527832,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,32818.74816894531,120324.86975097656,0,404332056576,8589930496,4107972608,0
199,1779632647494,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32821.602294921875,120331.06622314453,0,404332056576,8589930496,4107972608,0
199,1779632647694,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32824.507385253906,120337.43835449219,0,404332056576,8589930496,4108201984,0
199,1779632647894,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32827.40393066406,120343.82165527344,0,404332056576,8589930496,4108201984,0
199,1779632648094,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,57.142860412597656,0,4.761904716491699,25,0,0,0,0,0,0,5,0,0,9.523809432983398,0,0,32829.70166015625,120349.7900390625,0,404332056576,8589930496,4117225472,0
199,1779632648294,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,32830.18151855469,120355.03228759766,0,404332056576,8589930496,4125483008,0
199,1779632648494,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32830.67889404297,120360.53271484375,0,404332056576,8589930496,4125483008,0
199,1779632648694,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32831.169189453125,120365.97772216797,0,404332056576,8589930496,4125483008,0
199,1779632648894,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,5.263157844543457,0,0,70,0,0,0,0,0,0,0,0,0,10,0,0,32832.4404296875,120371.61669921875,0,404332056576,8589930496,4134772736,0
199,1779632649095,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32832.91387939453,120376.95373535156,0,404332056576,8589930496,4134772736,0
199,1779632649295,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32833.3876953125,120382.28723144531,0,404332056576,8589930496,4134772736,0
199,1779632649495,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,50,20,0,0,0,0,0,5.263157844543457,5.263157844543457,0,0,0,0,32834.624938964844,120387.8003540039,0,404332056576,8589930496,4134772736,0
199,1779632649695,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,32835.08728027344,120393.03125,0,404332056576,8589930496,4134772736,0
199,1779632649895,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,32835.599182128906,120398.54327392578,0,404332056576,8589930496,4134772736,0
199,1779632650095,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,32836.13537597656,120403.99670410156,0,404332056576,8589930496,4134772736,0
199,1779632650295,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,71.42857360839844,0,0,0,15.000000953674316,0,0,5,0,0,0,0,0,0,0,0,32838.188537597656,120409.71844482422,0,404332056576,8589930496,4134772736,0
199,1779632650496,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32841.112365722656,120416.09454345703,0,404332056576,8589930496,4134772736,0
199,1779632650696,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32844.00048828125,120422.46655273438,0,404332056576,8589930496,4134514688,0
199,1779632650896,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,60.000003814697266,0,4.761904716491699,20,0,0,0,0,0,0,0,0,0,10,0,0,32846.556213378906,120428.61004638672,0,404332056576,8589930496,4142514176,0
199,1779632651096,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32847.14501953125,120434.03350830078,0,404332056576,8589930496,4150771712,0
199,1779632651296,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32847.70129394531,120439.55041503906,0,404332056576,8589930496,4150771712,0
199,1779632651496,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32848.323669433594,120445.02081298828,0,404332056576,8589930496,4150771712,0
199,1779632651696,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,70,0,0,15.000000953674316,5,0,0,0,0,0,4.761904716491699,0,0,0,0,0,32850.593200683594,120451.09698486328,0,404332056576,8589930496,4150218752,0
199,1779632651896,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32853.506103515625,120457.68737792969,0,404332056576,8589930496,4150218752,0
199,1779632652097,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32856.38317871094,120464.2749633789,0,404332056576,8589930496,4149960704,0
199,1779632652297,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,60.000003814697266,0,5,20,0,0,0,0,0,0,0,0,0,5,0,0,32858.78125,120470.39172363281,0,404332056576,8589930496,4149686272,0
199,1779632652497,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,32859.27600097656,120475.81030273438,0,404332056576,8589930496,4149686272,0
199,1779632652697,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32859.78192138672,120481.32897949219,0,404332056576,8589930496,4149669888,0
199,1779632652897,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32860.336975097656,120486.7631225586,0,404332056576,8589930496,4149669888,0
199,1779632653097,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,0,75,0,0,0,0,0,10,4.761904716491699,0,10,0,0,32861.30389404297,120491.818359375,0,404332056576,8589930496,4149657600,0
199,1779632653297,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,32861.770568847656,120497.10711669922,0,404332056576,8589930496,4149657600,0
199,1779632653498,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,32862.268798828125,120502.44360351563,0,404332056576,8589930496,4149657600,0
199,1779632653698,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,19.047618865966797,0,0,0,61.904762268066406,0,0,10,0,0,0,5,0,0,0,0,32863.51354980469,120507.916015625,0,404332056576,8589930496,4149317632,0
199,1779632653898,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32866.39501953125,120514.5327758789,0,404332056576,8589930496,4149317632,0
199,1779632654098,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32869.298278808594,120521.13342285156,0,404332056576,8589930496,4149317632,0
199,1779632654298,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32872.22430419922,120527.72625732422,0,404332056576,8589930496,4149317632,0
199,1779632654498,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,10.526315689086914,0,0,71.42857360839844,0,5,0,0,0,0,0,0,0,5,0,0,32873.48114013672,120533.4058227539,0,404332056576,8589930496,4157317120,0
199,1779632654698,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32873.92590332031,120538.71594238281,0,404332056576,8589930496,4157575168,0
199,1779632654898,800,2099,1928,2100,1000,800,799,1000,1318,1603,811,800,800,800,800,1518,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32874.47570800781,120544.26416015625,0,404332056576,8589930496,4157317120,0
