Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779631517506,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,4.34782600402832,4.1666669845581055,0,4.1666669845581055,0,0,0,4.34782600402832,8.333333969116211,0,0,4.1666669845581055,0,12.5,4.1666669845581055,0,29097.916931152344,98164.6689453125,0,404332056576,8589930496,4091801600,0
201,1779631517506,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,4.34782600402832,4.1666669845581055,0,4.1666669845581055,0,0,0,4.34782600402832,8.333333969116211,0,0,4.1666669845581055,0,12.5,4.1666669845581055,0,29097.916931152344,98164.6689453125,0,404332056576,8589930496,4091801600,0
200,1779631517708,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,80,70,66.66667175292969,65,85.71428680419922,66.66667175292969,70,65,65,66.66667175292969,66.66667175292969,65,65,65,68.42105102539063,66.66667175292969,29100.5107421875,98172.2445678711,0,404332056576,8589930496,4092895232,0
200,1779631517908,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,100,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,63.15789031982422,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,60.000003814697266,29103.468017578125,98180.90051269531,0,404332056576,8589930496,4093669376,0
199,1779631518109,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29106.409240722656,98187.83801269531,0,404332056576,8589930496,4093669376,0
199,1779631518309,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29109.324279785156,98194.77294921875,0,404332056576,8589930496,4093669376,0
199,1779631518509,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29112.25341796875,98201.7066040039,0,404332056576,8589930496,4093669376,0
199,1779631518709,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,84.21052551269531,0,0,0,9.523809432983398,0,9.523809432983398,0,0,0,0,0,0,0,0,0,29115.216857910156,98208.47357177734,0,404332056576,8589930496,4093411328,0
200,1779631518909,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,84.21052551269531,0,0,0,9.523809432983398,0,9.523809432983398,0,0,0,0,0,0,0,0,0,29118.036254882813,98217.00994873047,0,404332056576,8589930496,4075020288,0
200,1779631519109,1200,841,1393,2000,1785,1462,1000,1000,1594,800,800,800,800,2099,800,800,31.707317352294922,32.5,30.76923179626465,32.5,35,32.5,32.5,31.707317352294922,32.5,32.5,32.5,95,32.5,32.5,31.707317352294922,32.5,29120.977416992188,98223.95300292969,0,404332056576,8589930496,4075020288,0
