Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780419174245,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,6.896551609039307,7.407407283782959,3.5714287757873535,3.5714287757873535,3.5714287757873535,10.714285850524902,3.5714287757873535,3.7037036418914795,0,3.5714287757873535,0,6.896551609039307,182016.3286743164,134384.54425048828,0,404331982848,8589930496,4535701504,0
199,1780419174245,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,6.896551609039307,7.407407283782959,3.5714287757873535,3.5714287757873535,3.5714287757873535,10.714285850524902,3.5714287757873535,3.7037036418914795,0,3.5714287757873535,0,6.896551609039307,182016.3328857422,134384.56439208984,0,404331982848,8589930496,4535701504,0
199,1780419174445,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,57.894737243652344,0,0,36.842105865478516,0,0,0,0,0,0,0,0,0,0,0,0,182017.0574951172,134389.21130371094,0,404331982848,8589930496,4536442880,0
200,1780419174645,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,57.894737243652344,0,0,36.842105865478516,0,0,0,0,0,0,0,0,0,0,0,0,182018.8618774414,134394.6063232422,0,404331982848,8589930496,4540768256,0
200,1780419174846,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,5,7.894736289978027,0,92.68292999267578,0,0,0,0,0,0,0,0,0,0,0,0,182021.29711914063,134400.35607910156,0,404331982848,8589930496,4544897024,0
200,1780419175046,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,5,7.894736289978027,0,92.68292999267578,0,0,0,0,0,0,0,0,0,0,0,0,182023.7255859375,134406.00732421875,0,404331982848,8589930496,4537196544,0
200,1780419175246,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,0,10.526315689086914,0,25,70,0,0,0,0,0,0,0,0,0,0,0,182026.5317993164,134411.72186279297,0,404331982848,8589930496,4546416640,0
199,1780419175446,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,0,0,0,0,20,10,0,0,60.000003814697266,0,0,0,0,0,0,0,182028.8759765625,134417.87994384766,0,404331982848,8589930496,4548747264,0
199,1780419175646,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,0,0,0,0,0,9.523809432983398,5.263157844543457,0,90.47618865966797,0,0,0,0,0,0,0,182031.6534423828,134424.4761352539,0,404331982848,8589930496,4552847360,0
199,1780419175846,800,1781,2000,2000,2100,2100,800,1090,837,1156,2000,1000,800,800,800,800,0,0,0,0,0,0,0,15.789472579956055,94.73684692382813,0,0,0,0,0,4.761904716491699,0,182034.4673461914,134431.2807006836,0,404331982848,8589930496,4557205504,0
