Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780419653272,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,3.846153974533081,0,0,3.7037036418914795,7.142857551574707,7.407407283782959,3.7037036418914795,0,3.7037036418914795,0,14.814814567565918,0,7.407407283782959,3.7037036418914795,7.407407283782959,0,183599.12298583984,143147.7738647461,0,404331982848,8589930496,4485414912,0
200,1780419653272,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,3.846153974533081,0,0,3.7037036418914795,7.142857551574707,7.407407283782959,3.7037036418914795,0,3.7037036418914795,0,14.814814567565918,0,7.407407283782959,3.7037036418914795,7.407407283782959,0,183599.1332397461,143147.79663085938,0,404331982848,8589930496,4485414912,0
199,1780419653473,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,33.333335876464844,0,0,0,65,0,0,0,0,0,0,0,0,0,0,183600.01934814453,143152.28466796875,0,404331982848,8589930496,4511444992,0
199,1780419653673,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183602.82635498047,143157.67810058594,0,404331982848,8589930496,4519186432,0
199,1780419653873,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,10.526315689086914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183605.62701416016,143161.93591308594,0,404331982848,8589930496,4519186432,0
200,1780419654073,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,10.526315689086914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183607.53399658203,143166.0244140625,0,404331982848,8589930496,4519186432,0
199,1780419654273,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,17.073171615600586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183607.71063232422,143169.85217285156,0,404331982848,8589930496,4519186432,0
199,1780419654473,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,10.526315689086914,0,0,0,28.571430206298828,5,5,25,0,0,0,0,0,10,0,183608.52734375,143174.1640625,0,404331982848,8589930496,4518928384,0
199,1780419654673,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,0,0,0,0,0,0,0,38.095237731933594,0,0,0,0,0,0,0,183611.35430908203,143179.44750976563,0,404331982848,8589930496,4518928384,0
199,1780419654873,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,5,0,0,0,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,183614.1817626953,143183.71411132813,0,404331982848,8589930496,4518928384,0
199,1780419655074,800,1225,800,2099,800,800,800,2000,800,1000,3200,800,800,2054,800,800,0,0,0,0,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,183615.8204345703,143187.77764892578,0,404331982848,8589930496,4518928384,0
