Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779280450413,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,4.1666669845581055,0,0,4,4.1666669845581055,0,4,4,4,4,4,0,0,4,0,88077.57263183594,156214.8364868164,0,404332056576,8589930496,4100743168,0
199,1779280450413,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,4.1666669845581055,0,0,4,4.1666669845581055,0,4,4,4,4,4,0,0,4,0,88077.57263183594,156214.8364868164,0,404332056576,8589930496,4100743168,0
199,1779280450614,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,36.842105865478516,0,0,60.000003814697266,0,0,0,0,0,0,0,0,0,0,0,0,88078.24432373047,156219.37255859375,0,404332056576,8589930496,4101459968,0
199,1779280450814,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88081.09741210938,156226.08935546875,0,404332056576,8589930496,4101201920,0
199,1779280451014,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88083.96264648438,156232.98889160156,0,404332056576,8589930496,4101201920,0
199,1779280451214,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,85,13.636363983154297,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,88086.8511352539,156239.7232055664,0,404332056576,8589930496,4089884672,0
199,1779280451414,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,90,0,0,0,0,0,5,0,0,0,0,0,0,0,88087.57452392578,156244.7670288086,0,404332056576,8589930496,4089466880,0
199,1779280451614,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88088.10455322266,156250.30700683594,0,404332056576,8589930496,4089466880,0
199,1779280451814,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88088.60870361328,156255.79956054688,0,404332056576,8589930496,4089208832,0
199,1779280452014,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,65,0,15.000000953674316,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,88090.88562011719,156262.15686035156,0,404332056576,8589930496,4089208832,0
199,1779280452215,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88093.7797241211,156269.11102294922,0,404332056576,8589930496,4088950784,0
199,1779280452415,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88096.64349365234,156276.0635986328,0,404332056576,8589930496,4088950784,0
199,1779280452615,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,26.3157901763916,0,52.6315803527832,0,0,0,0,0,0,0,0,0,0,10,0,0,88098.0855102539,156281.89807128906,0,404332056576,8589930496,4088950784,0
199,1779280452815,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88098.59606933594,156287.4302368164,0,404332056576,8589930496,4089196544,0
199,1779280453015,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88099.07391357422,156292.95635986328,0,404332056576,8589930496,4089196544,0
199,1779280453215,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,38.095237731933594,14.285715103149414,0,0,0,0,47.619049072265625,0,0,0,0,0,0,0,88100.52124023438,156298.9232788086,0,404332056576,8589930496,4121444352,0
199,1779280453415,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,88103.35754394531,156305.87475585938,0,404332056576,8589930496,4121444352,0
200,1779280453615,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,88106.19958496094,156312.69219970703,0,404332056576,8589930496,4121444352,0
199,1779280453816,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,15.000000953674316,0,0,75,0,0,0,0,4.878048419952393,0,0,88108.50567626953,156319.00524902344,0,404332056576,8589930496,4121186304,0
199,1779280454016,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,88108.97967529297,156324.54266357422,0,404332056576,8589930496,4120928256,0
199,1779280454216,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,88109.43688964844,156329.91369628906,0,404332056576,8589930496,4120928256,0
199,1779280454416,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,65,0,5.263157844543457,20,5,0,0,0,0,0,0,88110.43115234375,156335.33868408203,0,404332056576,8589930496,4120862720,0
199,1779280454616,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,9.090909004211426,0,0,0,0,0,0,100,0,0,0,0,0,0,0,88113.32513427734,156342.09844970703,0,404332056576,8589930496,4120862720,0
199,1779280454816,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,88116.22412109375,156349.02221679688,0,404332056576,8589930496,4120604672,0
199,1779280455016,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,5,4.761904716491699,0,0,0,0,75,0,0,0,0,5.263157844543457,0,0,88119.05419921875,156355.7494506836,0,404332056576,8589930496,4120571904,0
199,1779280455216,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88119.49841308594,156361.10858154297,0,404332056576,8589930496,4120571904,0
199,1779280455417,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88119.92468261719,156366.45068359375,0,404332056576,8589930496,4120571904,0
199,1779280455617,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,90,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,0,88120.34490966797,156371.82751464844,0,404332056576,8589930496,4120047616,0
199,1779280455817,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,4.761904716491699,0,0,0,0,0,0,0,90,0,0,0,0,0,88122.36743164063,156377.9649658203,0,404332056576,8589930496,4120047616,0
199,1779280456017,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,88125.23876953125,156384.68634033203,0,404332056576,8589930496,4120047616,0
199,1779280456217,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,88128.14178466797,156391.44146728516,0,404332056576,8589930496,4120047616,0
199,1779280456417,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,70,0,0,0,0,5,5.263157844543457,0,0,0,0,0,88129.3101196289,156397.10302734375,0,404332056576,8589930496,4120821760,0
199,1779280456617,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,88129.70135498047,156402.41400146484,0,404332056576,8589930496,4120821760,0
199,1779280456818,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,88130.1265258789,156407.75616455078,0,404332056576,8589930496,4120821760,0
199,1779280457018,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,57.894737243652344,0,0,0,20,0,0,5,0,9.523809432983398,0,0,0,0,0,0,88131.35217285156,156413.45373535156,0,404332056576,8589930496,4120805376,0
199,1779280457218,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88134.21862792969,156420.20971679688,0,404332056576,8589930496,4120805376,0
199,1779280457418,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88137.09368896484,156426.96154785156,0,404332056576,8589930496,4120727552,0
199,1779280457618,800,800,800,1956,800,1300,800,800,2000,2000,800,2000,2100,800,800,800,40,0,0,0,0,40,0,0,0,0,0,0,0,10,0,0,88139.09008789063,156432.95727539063,0,404332056576,8589930496,4120727552,0
