Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779301967621,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,4,4,0,4,0,4.1666669845581055,0,4,0,4.1666669845581055,7.692307949066162,4,0,0,0,4.1666669845581055,109017.09490966797,217152.56903076172,0,404332056576,8589930496,4034637824,0
199,1779301967622,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,4,4,0,4,0,4.1666669845581055,0,4,0,4.1666669845581055,7.692307949066162,4,0,0,0,4.1666669845581055,109017.0982055664,217152.5923461914,0,404332056576,8589930496,4034637824,0
199,1779301967822,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,109018.20404052734,217157.6163330078,0,404332056576,8589930496,4034379776,0
199,1779301968022,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,109018.71838378906,217163.13287353516,0,404332056576,8589930496,4034379776,0
199,1779301968222,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,109019.25146484375,217168.63653564453,0,404332056576,8589930496,4034379776,0
199,1779301968422,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,25,0,5,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,50,109020.82275390625,217174.35028076172,0,404332056576,8589930496,4042891264,0
199,1779301968622,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109023.7378540039,217181.068359375,0,404332056576,8589930496,4046503936,0
199,1779301968822,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,109026.68621826172,217187.79370117188,0,404332056576,8589930496,4047466496,0
200,1779301969022,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,109028.74291992188,217193.84149169922,0,404332056576,8589930496,4047466496,0
199,1779301969223,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,25.641027450561523,0,0,65.8536605834961,0,0,0,0,0,0,0,0,0,5,0,0,109029.26806640625,217199.20782470703,0,404332056576,8589930496,4047466496,0
199,1779301969423,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,109029.78729248047,217204.67022705078,0,404332056576,8589930496,4047466496,0
199,1779301969623,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,42.105262756347656,0,0,0,9.523809432983398,36.842105865478516,0,0,0,0,0,0,0,109030.6875,217210.13500976563,0,404332056576,8589930496,4047712256,0
199,1779301969823,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,109033.57604980469,217216.74279785156,0,404332056576,8589930496,4047712256,0
199,1779301970023,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,109036.46710205078,217223.48193359375,0,404332056576,8589930496,4047712256,0
200,1779301970223,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,109038.69232177734,217229.6378173828,0,404332056576,8589930496,4047712256,0
199,1779301970423,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,68.29268646240234,0,0,0,0,22.5,0,0,0,0,2.5,0,0,109039.20288085938,217235.02978515625,0,404332056576,8589930496,4047712256,0
199,1779301970624,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,109039.74395751953,217240.51055908203,0,404332056576,8589930496,4047454208,0
199,1779301970824,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,4.761904716491699,0,40,0,0,0,5.263157844543457,40,0,0,0,0,0,0,0,109041.46862792969,217246.43310546875,0,404332056576,8589930496,4046770176,0
199,1779301971024,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,109044.35729980469,217253.1768798828,0,404332056576,8589930496,4046770176,0
199,1779301971224,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,109047.2310180664,217259.9217529297,0,404332056576,8589930496,4046770176,0
199,1779301971424,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,5,50,0,0,0,0,35,0,0,0,0,10,0,0,109048.97625732422,217265.85424804688,0,404332056576,8589930496,4046766080,0
199,1779301971624,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,109049.44659423828,217271.18426513672,0,404332056576,8589930496,4046766080,0
199,1779301971824,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,109049.92547607422,217276.54919433594,0,404332056576,8589930496,4046766080,0
199,1779301972025,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,4.761904716491699,25,0,0,0,9.523809432983398,0,57.142860412597656,0,0,0,0,0,0,109051.49841308594,217282.50189208984,0,404332056576,8589930496,4046508032,0
199,1779301972225,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,109054.40936279297,217289.23907470703,0,404332056576,8589930496,4046508032,0
199,1779301972425,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,109057.33526611328,217295.98376464844,0,404332056576,8589930496,4046508032,0
200,1779301972625,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,65,0,0,0,0,0,15.789472579956055,0,0,0,5,0,0,109058.81237792969,217301.72564697266,0,404332056576,8589930496,4046508032,0
199,1779301972825,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,109059.28771972656,217307.05377197266,0,404332056576,8589930496,4046249984,0
199,1779301973025,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,109059.7680053711,217312.37713623047,0,404332056576,8589930496,4046249984,0
199,1779301973225,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,4.761904716491699,0,10,66.66667175292969,0,0,5.263157844543457,0,0,0,0,0,0,0,0,109060.4566040039,217317.66479492188,0,404332056576,8589930496,4046508032,0
199,1779301973426,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,109060.89111328125,217322.99212646484,0,404332056576,8589930496,4046508032,0
199,1779301973626,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,109061.43182373047,217328.35247802734,0,404332056576,8589930496,4046508032,0
199,1779301973826,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,75,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,109063.7212524414,217334.5439453125,0,404332056576,8589930496,4046184448,0
199,1779301974026,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,109066.61376953125,217341.28717041016,0,404332056576,8589930496,4046184448,0
199,1779301974226,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,109069.48333740234,217347.982421875,0,404332056576,8589930496,4045926400,0
199,1779301974426,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,10,4.761904716491699,76.19047546386719,0,0,0,0,0,0,0,0,0,0,13.636363983154297,0,0,109070.72277832031,217353.33569335938,0,404332056576,8589930496,4045901824,0
199,1779301974626,837,1448,2099,1215,807,1018,800,2000,1573,1000,800,800,2000,800,800,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,109071.2222290039,217358.84564208984,0,404332056576,8589930496,4045869056,0
