Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779567439632,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,8,0,4,4,0,0,4,0,4,0,4,4.1666669845581055,0,4,4.1666669845581055,3222.3824462890625,657.132568359375,0,404332056576,8589930496,3735257088,0
200,1779567439632,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,8,0,4,4,0,0,4,0,4,0,4,4.1666669845581055,0,4,4.1666669845581055,3222.3824462890625,657.132568359375,0,404332056576,8589930496,3735257088,0
199,1779567439833,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3222.976318359375,661.8554077148438,0,404332056576,8589930496,3735257088,0
199,1779567440033,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3223.4525146484375,667.1835327148438,0,404332056576,8589930496,3735257088,0
199,1779567440233,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3223.9953002929688,672.533203125,0,404332056576,8589930496,3735257088,0
199,1779567440433,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3224.5074462890625,677.8902587890625,0,404332056576,8589930496,3735257088,0
199,1779567440633,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3225.034423828125,683.2327880859375,0,404332056576,8589930496,3735257088,0
199,1779567440833,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3225.5338134765625,688.5665893554688,0,404332056576,8589930496,3735257088,0
199,1779567441033,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3226.0313110351563,693.8735961914063,0,404332056576,8589930496,3736412160,0
199,1779567441233,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3226.5123291015625,699.2328491210938,0,404332056576,8589930496,3736412160,0
199,1779567441434,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3226.9899291992188,704.5623168945313,0,404332056576,8589930496,3736412160,0
199,1779567441634,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3227.471923828125,709.8984375,0,404332056576,8589930496,3736412160,0
199,1779567441834,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3227.9263305664063,715.2259521484375,0,404332056576,8589930496,3736412160,0
199,1779567442034,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3228.3568725585938,720.5565185546875,0,404332056576,8589930496,3736412160,0
199,1779567442234,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3228.778076171875,725.8862915039063,0,404332056576,8589930496,3736412160,0
199,1779567442434,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3229.2495727539063,731.21728515625,0,404332056576,8589930496,3736412160,0
199,1779567442634,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3229.7484130859375,736.5548095703125,0,404332056576,8589930496,3736412160,0
199,1779567442835,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3230.251953125,741.88818359375,0,404332056576,8589930496,3736412160,0
199,1779567443035,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3230.7703247070313,747.2237548828125,0,404332056576,8589930496,3736412160,0
199,1779567443235,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3231.2546997070313,752.5613403320313,0,404332056576,8589930496,3736412160,0
199,1779567443435,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3231.7028198242188,757.8866577148438,0,404332056576,8589930496,3736412160,0
199,1779567443635,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3232.1701049804688,763.2051391601563,0,404332056576,8589930496,3736412160,0
199,1779567443835,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3232.6314697265625,768.5191650390625,0,404332056576,8589930496,3736412160,0
199,1779567444035,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3233.1126708984375,773.8388671875,0,404332056576,8589930496,3736154112,0
199,1779567444235,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3233.580322265625,779.1624145507813,0,404332056576,8589930496,3736154112,0
199,1779567444436,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3234.0675048828125,784.487060546875,0,404332056576,8589930496,3735896064,0
199,1779567444636,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3234.5730590820313,789.8206787109375,0,404332056576,8589930496,3735896064,0
199,1779567444836,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3235.0878295898438,795.16162109375,0,404332056576,8589930496,3735887872,0
199,1779567445036,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3235.5955810546875,800.485595703125,0,404332056576,8589930496,3735887872,0
199,1779567445236,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,4.761904716491699,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3236.091552734375,805.808837890625,0,404332056576,8589930496,3735715840,0
199,1779567445436,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3236.596923828125,811.1287841796875,0,404332056576,8589930496,3735715840,0
199,1779567445637,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3237.0750732421875,816.4483032226563,0,404332056576,8589930496,3735715840,0
199,1779567445837,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3237.530029296875,821.7635498046875,0,404332056576,8589930496,3735715840,0
199,1779567446037,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3238.017822265625,827.08642578125,0,404332056576,8589930496,3735715840,0
199,1779567446237,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3238.4404296875,832.4161987304688,0,404332056576,8589930496,3735715840,0
199,1779567446437,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3238.8743896484375,837.74169921875,0,404332056576,8589930496,3735715840,0
199,1779567446637,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,4.761904716491699,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3239.3152465820313,843.067626953125,0,404332056576,8589930496,3735715840,0
199,1779567446837,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3239.7533569335938,848.3942260742188,0,404332056576,8589930496,3735715840,0
199,1779567447037,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3240.1778564453125,853.6990356445313,0,404332056576,8589930496,3735715840,0
199,1779567447237,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3240.6351318359375,859.0193481445313,0,404332056576,8589930496,3735715840,0
199,1779567447438,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3241.14501953125,864.3397827148438,0,404332056576,8589930496,3735715840,0
199,1779567447638,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3241.6494750976563,869.6610107421875,0,404332056576,8589930496,3735715840,0
199,1779567447838,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3242.1571655273438,874.974853515625,0,404332056576,8589930496,3735715840,0
199,1779567448038,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3242.6492309570313,880.2892456054688,0,404332056576,8589930496,3735715840,0
199,1779567448238,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,4.761904716491699,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3243.1596069335938,885.606689453125,0,404332056576,8589930496,3735715840,0
199,1779567448438,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3243.6697998046875,890.9239501953125,0,404332056576,8589930496,3735715840,0
199,1779567448638,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3244.1616821289063,896.2373657226563,0,404332056576,8589930496,3735715840,0
199,1779567448838,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3244.6635131835938,901.5582885742188,0,404332056576,8589930496,3735715840,0
199,1779567449039,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3245.1497192382813,906.8741455078125,0,404332056576,8589930496,3735715840,0
199,1779567449239,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3245.7040405273438,912.3131103515625,0,404332056576,8589930496,3735715840,0
199,1779567449439,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3246.2408447265625,917.6309814453125,0,404332056576,8589930496,3735715840,0
199,1779567449639,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3246.7861328125,922.9500732421875,0,404332056576,8589930496,3735715840,0
199,1779567449839,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3247.2930908203125,928.2697143554688,0,404332056576,8589930496,3736748032,0
199,1779567450039,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3247.8153686523438,933.5798950195313,0,404332056576,8589930496,3736489984,0
199,1779567450239,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3248.2899169921875,938.8900146484375,0,404332056576,8589930496,3736489984,0
199,1779567450439,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3248.7677612304688,944.1995849609375,0,404332056576,8589930496,3736489984,0
199,1779567450640,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3249.2479858398438,949.507568359375,0,404332056576,8589930496,3736489984,0
199,1779567450840,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3249.7487182617188,954.8338623046875,0,404332056576,8589930496,3736489984,0
199,1779567451040,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3250.2396850585938,960.16845703125,0,404332056576,8589930496,3736489984,0
199,1779567451240,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,4.761904716491699,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3250.7599487304688,965.4946899414063,0,404332056576,8589930496,3736489984,0
199,1779567451440,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3251.258544921875,970.7877807617188,0,404332056576,8589930496,3736489984,0
199,1779567451640,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3251.761474609375,976.1040649414063,0,404332056576,8589930496,3736489984,0
199,1779567451840,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3252.2417602539063,981.422607421875,0,404332056576,8589930496,3736489984,0
199,1779567452041,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3252.7219848632813,986.7533569335938,0,404332056576,8589930496,3736489984,0
199,1779567452241,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3253.1830444335938,992.0849609375,0,404332056576,8589930496,3736489984,0
199,1779567452441,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3253.6640014648438,997.4178466796875,0,404332056576,8589930496,3736489984,0
199,1779567452641,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3254.1383666992188,1002.7505493164063,0,404332056576,8589930496,3736489984,0
199,1779567452841,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3254.67431640625,1008.0882568359375,0,404332056576,8589930496,3736489984,0
199,1779567453041,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3255.239013671875,1013.4185180664063,0,404332056576,8589930496,3736489984,0
199,1779567453241,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3255.7661743164063,1018.75830078125,0,404332056576,8589930496,3736489984,0
199,1779567453441,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3256.3248901367188,1024.0908813476563,0,404332056576,8589930496,3736489984,0
199,1779567453642,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3256.8779907226563,1029.4147338867188,0,404332056576,8589930496,3736489984,0
199,1779567453842,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3257.400146484375,1034.7342529296875,0,404332056576,8589930496,3736489984,0
199,1779567454042,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3257.9063720703125,1040.0543212890625,0,404332056576,8589930496,3736489984,0
199,1779567454242,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,4.761904716491699,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3258.43505859375,1045.38037109375,0,404332056576,8589930496,3736489984,0
199,1779567454442,800,1000,800,2099,948,799,800,800,800,800,1199,1329,2000,1100,800,1500,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3258.9843139648438,1050.6943359375,0,404332056576,8589930496,3736489984,0
