Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779569293946,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,4,0,4.1666669845581055,4,0,0,4,8,8,0,4,0,4,13149.132202148438,40178.127197265625,0,404332056576,8589930496,3722682368,0
200,1779569293946,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,4,0,4.1666669845581055,4,0,0,4,8,8,0,4,0,4,13149.135314941406,40178.14978027344,0,404332056576,8589930496,3722682368,0
199,1779569294146,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13149.6552734375,40182.67852783203,0,404332056576,8589930496,3724488704,0
199,1779569294346,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13150.158020019531,40188.001953125,0,404332056576,8589930496,3724488704,0
199,1779569294546,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13150.680480957031,40193.327209472656,0,404332056576,8589930496,3724488704,0
199,1779569294746,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13151.198425292969,40198.65167236328,0,404332056576,8589930496,3724488704,0
199,1779569294947,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13151.720275878906,40203.980041503906,0,404332056576,8589930496,3724488704,0
199,1779569295147,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13152.254211425781,40209.30554199219,0,404332056576,8589930496,3724488704,0
199,1779569295347,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13152.781494140625,40214.63879394531,0,404332056576,8589930496,3724488704,0
199,1779569295547,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13153.296997070313,40219.963928222656,0,404332056576,8589930496,3724488704,0
199,1779569295747,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13153.819274902344,40225.301208496094,0,404332056576,8589930496,3724488704,0
199,1779569295947,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13154.358947753906,40230.63781738281,0,404332056576,8589930496,3724480512,0
199,1779569296147,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13154.885437011719,40235.97375488281,0,404332056576,8589930496,3724480512,0
199,1779569296347,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13155.421997070313,40241.301513671875,0,404332056576,8589930496,3724480512,0
199,1779569296548,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13155.936889648438,40246.63122558594,0,404332056576,8589930496,3724480512,0
199,1779569296748,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13156.432189941406,40251.95422363281,0,404332056576,8589930496,3724480512,0
199,1779569296948,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13156.928588867188,40257.27978515625,0,404332056576,8589930496,3724312576,0
199,1779569297148,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13157.426208496094,40262.608154296875,0,404332056576,8589930496,3724312576,0
199,1779569297348,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13157.968933105469,40267.93017578125,0,404332056576,8589930496,3724312576,0
199,1779569297548,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,13158.546691894531,40273.260009765625,0,404332056576,8589930496,3724312576,0
199,1779569297748,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13159.092224121094,40278.59716796875,0,404332056576,8589930496,3724312576,0
199,1779569297948,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13159.625732421875,40283.92608642578,0,404332056576,8589930496,3724312576,0
199,1779569298149,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13160.217651367188,40289.389709472656,0,404332056576,8589930496,3724312576,0
199,1779569298349,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13160.748046875,40294.72283935547,0,404332056576,8589930496,3724312576,0
199,1779569298549,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13161.32861328125,40300.057067871094,0,404332056576,8589930496,3724312576,0
199,1779569298749,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,13161.893493652344,40305.39074707031,0,404332056576,8589930496,3724312576,0
199,1779569298949,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13162.454040527344,40310.72979736328,0,404332056576,8589930496,3724312576,0
199,1779569299149,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13162.999267578125,40316.066162109375,0,404332056576,8589930496,3724312576,0
199,1779569299349,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13163.546508789063,40321.40008544922,0,404332056576,8589930496,3724312576,0
199,1779569299550,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13164.08251953125,40326.73107910156,0,404332056576,8589930496,3724312576,0
199,1779569299750,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13164.603820800781,40332.06726074219,0,404332056576,8589930496,3724312576,0
199,1779569299950,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13165.183532714844,40337.401611328125,0,404332056576,8589930496,3724312576,0
199,1779569300150,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13165.699462890625,40342.744384765625,0,404332056576,8589930496,3724312576,0
199,1779569300350,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13166.242736816406,40348.08068847656,0,404332056576,8589930496,3724312576,0
199,1779569300550,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13166.77392578125,40353.40936279297,0,404332056576,8589930496,3724312576,0
199,1779569300750,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13167.332580566406,40358.710510253906,0,404332056576,8589930496,3724312576,0
199,1779569300951,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13167.9130859375,40364.06573486328,0,404332056576,8589930496,3724312576,0
199,1779569301151,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13168.492004394531,40369.367736816406,0,404332056576,8589930496,3724312576,0
199,1779569301351,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13169.036804199219,40374.73376464844,0,404332056576,8589930496,3724312576,0
199,1779569301551,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13169.589050292969,40380.041564941406,0,404332056576,8589930496,3724312576,0
199,1779569301751,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13170.131103515625,40385.379943847656,0,404332056576,8589930496,3724312576,0
199,1779569301951,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13170.666137695313,40390.70812988281,0,404332056576,8589930496,3724312576,0
199,1779569302151,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13171.233764648438,40396.05163574219,0,404332056576,8589930496,3724312576,0
199,1779569302351,800,800,2000,2100,838,1295,800,800,800,1286,1298,800,1000,800,800,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13171.753295898438,40401.38494873047,0,404332056576,8589930496,3724312576,0
