Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779660191167,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,0,0,0,0,8.333333969116211,0,0,4.34782600402832,4.1666669845581055,4,0,0,0,0,4,4,103278.4468383789,82003.08349609375,0,404332056576,8589930496,4476354560,0
199,1779660191167,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,0,0,0,0,8.333333969116211,0,0,4.34782600402832,4.1666669845581055,4,0,0,0,0,4,4,103278.45233154297,82003.10748291016,0,404332056576,8589930496,4476354560,0
199,1779660191367,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,103280.83685302734,82008.60662841797,0,404332056576,8589930496,4477386752,0
199,1779660191568,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103284.208984375,82015.01171875,0,404332056576,8589930496,4748853248,0
199,1779660191768,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103287.76135253906,82021.58569335938,0,404332056576,8589930496,5096845312,0
199,1779660191968,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103291.33526611328,82028.15435791016,0,404332056576,8589930496,5435404288,0
199,1779660192168,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103294.97521972656,82034.6796875,0,404332056576,8589930496,5608812544,0
199,1779660192368,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103298.134765625,82041.34521484375,0,404332056576,8589930496,5601214464,0
199,1779660192568,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103301.19012451172,82048.09216308594,0,404332056576,8589930496,5601214464,0
199,1779660192768,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103304.2505493164,82054.8427734375,0,404332056576,8589930496,5601214464,0
199,1779660192969,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103307.28967285156,82061.5923461914,0,404332056576,8589930496,5601075200,0
199,1779660193169,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103310.33752441406,82068.34753417969,0,404332056576,8589930496,5601075200,0
199,1779660193369,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103313.40814208984,82075.08654785156,0,404332056576,8589930496,5601075200,0
199,1779660193569,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103316.49102783203,82081.83618164063,0,404332056576,8589930496,5601075200,0
199,1779660193769,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,103319.55249023438,82088.58673095703,0,404332056576,8589930496,5601075200,0
199,1779660193969,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103322.6615600586,82095.34313964844,0,404332056576,8589930496,5601071104,0
199,1779660194169,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103325.78814697266,82102.10290527344,0,404332056576,8589930496,5601071104,0
199,1779660194369,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103328.9111328125,82108.85986328125,0,404332056576,8589930496,5594284032,0
199,1779660194570,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103332.04986572266,82115.60510253906,0,404332056576,8589930496,5594284032,0
199,1779660194770,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103335.19732666016,82122.35595703125,0,404332056576,8589930496,5594025984,0
199,1779660194970,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103338.43621826172,82129.1040649414,0,404332056576,8589930496,5594025984,0
199,1779660195170,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103341.7495727539,82136.00073242188,0,404332056576,8589930496,5594025984,0
199,1779660195370,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103345.04235839844,82142.81506347656,0,404332056576,8589930496,5594025984,0
199,1779660195570,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103348.43572998047,82149.66986083984,0,404332056576,8589930496,5594025984,0
199,1779660195770,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,103351.93475341797,82156.69049072266,0,404332056576,8589930496,5594025984,0
199,1779660195970,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103355.43585205078,82163.6943359375,0,404332056576,8589930496,5594025984,0
199,1779660196171,800,806,800,805,2000,800,800,2099,2000,800,2000,1198,1000,1000,2099,1120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103359.04327392578,82170.6226196289,0,404332056576,8589930496,5588086784,0
