Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779713135298,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,8,8,0,4,4.1666669845581055,0,0,0,4,0,0,4,4,0,0,4,120491.20373535156,8958.325927734375,0,404332056576,8589930496,4994461696,0
199,1779713135298,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,8,8,0,4,4.1666669845581055,0,0,0,4,0,0,4,4,0,0,4,120491.20373535156,8958.325927734375,0,404332056576,8589930496,4994461696,0
199,1779713135498,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120491.68682861328,8963.092468261719,0,404332056576,8589930496,5349277696,0
199,1779713135698,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,120492.13293457031,8968.412719726563,0,404332056576,8589930496,5762764800,0
199,1779713135898,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120492.56652832031,8973.729675292969,0,404332056576,8589930496,6109581312,0
199,1779713136098,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120492.9907836914,8979.047302246094,0,404332056576,8589930496,6456397824,0
199,1779713136298,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120493.41760253906,8984.35498046875,0,404332056576,8589930496,6605033472,0
199,1779713136499,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120493.86590576172,8989.665283203125,0,404332056576,8589930496,6605033472,0
199,1779713136699,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120494.28674316406,8994.98486328125,0,404332056576,8589930496,6596775936,0
199,1779713136899,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,120494.7230834961,9000.295593261719,0,404332056576,8589930496,6596775936,0
199,1779713137099,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120495.16619873047,9005.621276855469,0,404332056576,8589930496,6596579328,0
199,1779713137299,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120495.63488769531,9010.9404296875,0,404332056576,8589930496,6596579328,0
199,1779713137499,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120496.0805053711,9016.258972167969,0,404332056576,8589930496,6596579328,0
199,1779713137699,859,800,800,2000,2100,800,800,800,2000,1000,800,800,799,3200,2300,1999,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,120496.51013183594,9021.566589355469,0,404332056576,8589930496,6596571136,0
