Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780486847317,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,7.142857551574707,7.692307949066162,11.111111640930176,0,0,0,3.7037036418914795,3.846153974533081,3.7037036418914795,3.7037036418914795,0,7.692307949066162,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,203756.16387939453,8792.29052734375,0,404331982848,8589930496,4405948416,0
199,1780486847317,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,7.142857551574707,7.692307949066162,11.111111640930176,0,0,0,3.7037036418914795,3.846153974533081,3.7037036418914795,3.7037036418914795,0,7.692307949066162,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,203756.16900634766,8792.31201171875,0,404331982848,8589930496,4405948416,0
199,1780486847518,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,55,0,0,0,0,0,0,40,0,0,0,0,0,0,203756.6732788086,8796.658386230469,0,404331982848,8589930496,4405948416,0
199,1780486847718,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,14.285715103149414,0,0,0,0,0,0,203757.05780029297,8799.764343261719,0,404331982848,8589930496,4406202368,0
199,1780486847918,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203757.0821533203,8802.447570800781,0,404331982848,8589930496,4406202368,0
199,1780486848118,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203757.1231689453,8805.157958984375,0,404331982848,8589930496,4406202368,0
199,1780486848318,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203757.21875,8807.965393066406,0,404331982848,8589930496,4405686272,0
199,1780486848518,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,10,5,10,0,0,0,30.000001907348633,0,0,25,0,0,0,0,0,0,203758.23010253906,8812.006164550781,0,404331982848,8589930496,4405420032,0
199,1780486848718,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,203758.33264160156,8815.142578125,0,404331982848,8589930496,4405420032,0
199,1780486848919,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203758.33868408203,8817.867370605469,0,404331982848,8589930496,4405420032,0
199,1780486849119,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,203758.35186767578,8820.628540039063,0,404331982848,8589930496,4405420032,0
199,1780486849319,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,10,15.000000953674316,0,0,0,20,5.263157844543457,0,0,0,0,0,0,0,0,0,203758.67218017578,8824.307739257813,0,404331982848,8589930496,4412899328,0
199,1780486849519,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,0,0,0,0,203758.78985595703,8827.606140136719,0,404331982848,8589930496,4421156864,0
199,1780486849719,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203758.7935180664,8830.343078613281,0,404331982848,8589930496,4421156864,0
200,1780486849919,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203758.80474853516,8833.125915527344,0,404331982848,8589930496,4421156864,0
199,1780486850120,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,4.761904716491699,0,0,0,0,25,10,0,5,0,0,0,0,0,0,0,203758.9949951172,8836.541198730469,0,404331982848,8589930496,4436217856,0
199,1780486850320,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,4.761904716491699,0,0,60.000003814697266,0,0,0,0,0,0,203759.34423828125,8840.594970703125,0,404331982848,8589930496,4436217856,0
199,1780486850520,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203759.39038085938,8843.3212890625,0,404331982848,8589930496,4436217856,0
200,1780486850720,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203759.42974853516,8846.044128417969,0,404331982848,8589930496,4436217856,0
199,1780486850920,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,2.4390242099761963,0,0,0,2.5,0,0,0,0,0,0,203759.58209228516,8848.833801269531,0,404331982848,8589930496,4436217856,0
199,1780486851120,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,5.263157844543457,0,0,0,0,47.36842346191406,5,0,0,25,0,0,0,0,0,0,203760.64099121094,8852.996765136719,0,404331982848,8589930496,4436213760,0
199,1780486851320,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,203760.6879272461,8855.884460449219,0,404331982848,8589930496,4435697664,0
199,1780486851521,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,203760.6890258789,8858.567138671875,0,404331982848,8589930496,4435697664,0
199,1780486851721,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203760.6903076172,8861.249938964844,0,404331982848,8589930496,4435697664,0
199,1780486851921,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,26.3157901763916,10,0,5,0,0,0,14.285715103149414,0,0,0,203760.94177246094,8864.893249511719,0,404331982848,8589930496,4435697664,0
199,1780486852121,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,36.842105865478516,0,0,0,203761.83013916016,8868.674621582031,0,404331982848,8589930496,4435697664,0
199,1780486852321,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203761.9688720703,8871.500122070313,0,404331982848,8589930496,4435693568,0
199,1780486852521,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203761.998046875,8874.2255859375,0,404331982848,8589930496,4435673088,0
199,1780486852722,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,5,4.761904716491699,10,0,0,0,21.052631378173828,0,0,0,203762.87255859375,8877.721435546875,0,404331982848,8589930496,4435902464,0
199,1780486852922,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,60.000003814697266,0,0,0,0,0,4.761904716491699,0,0,0,203763.103515625,8881.314697265625,0,404331982848,8589930496,4435902464,0
199,1780486853122,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203763.1079711914,8883.986206054688,0,404331982848,8589930496,4435902464,0
199,1780486853322,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,203763.154296875,8886.826354980469,0,404331982848,8589930496,4435386368,0
199,1780486853522,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203763.1561279297,8889.522155761719,0,404331982848,8589930496,4435128320,0
199,1780486853722,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,28.571430206298828,5.263157844543457,0,0,0,0,50,0,0,0,203763.53143310547,8893.799926757813,0,404331982848,8589930496,4435386368,0
199,1780486853922,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,10.526315689086914,0,0,0,203763.62048339844,8896.788391113281,0,404331982848,8589930496,4435386368,0
199,1780486854123,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203763.62268066406,8899.468078613281,0,404331982848,8589930496,4435386368,0
199,1780486854323,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203763.63037109375,8902.1826171875,0,404331982848,8589930496,4434870272,0
199,1780486854523,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,14.285715103149414,0,0,0,0,5,0,5.263157844543457,4.761904716491699,0,0,0,25,0,0,0,203763.9952392578,8905.733520507813,0,404331982848,8589930496,4434866176,0
199,1780486854723,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,47.36842346191406,0,0,0,0,0,0,0,0,0,0,203764.18377685547,8909.154296875,0,404331982848,8589930496,4434866176,0
199,1780486854923,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203764.20080566406,8911.946533203125,0,404331982848,8589930496,4434866176,0
199,1780486855123,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203764.20263671875,8914.652160644531,0,404331982848,8589930496,4434866176,0
199,1780486855324,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,4.761904716491699,0,0,0,0,15.000000953674316,0,10,9.523809432983398,0,0,0,0,0,0,0,203764.33129882813,8917.864562988281,0,404331982848,8589930496,4434866176,0
199,1780486855524,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,14.285715103149414,0,55,0,0,0,0,0,0,0,0,203764.5590209961,8921.580810546875,0,404331982848,8589930496,4434866176,0
199,1780486855724,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203764.5630493164,8924.32763671875,0,404331982848,8589930496,4434866176,0
199,1780486855924,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203764.56915283203,8927.09716796875,0,404331982848,8589930496,4434866176,0
199,1780486856124,1000,965,800,2000,800,2100,2100,1082,800,800,2099,2000,1287,2000,1486,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203764.5728149414,8929.838806152344,0,404331982848,8589930496,4434849792,0
