Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780485465841,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,3.7037036418914795,3.7037036418914795,0,7.407407283782959,3.7037036418914795,3.7037036418914795,0,3.846153974533081,0,0,3.7037036418914795,0,3.7037036418914795,0,3.7037036418914795,7.407407283782959,203065.37036132813,251153.85192871094,0,404331982848,8589930496,4445532160,0
199,1780485465841,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,3.7037036418914795,3.7037036418914795,0,7.407407283782959,3.7037036418914795,3.7037036418914795,0,3.846153974533081,0,0,3.7037036418914795,0,3.7037036418914795,0,3.7037036418914795,7.407407283782959,203065.3734741211,251153.87371826172,0,404331982848,8589930496,4445532160,0
199,1780485466041,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,65,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,203066.67553710938,251159.0255126953,0,404331982848,8589930496,4445532160,0
199,1780485466241,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,203066.83911132813,251162.85955810547,0,404331982848,8589930496,4445995008,0
199,1780485466441,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203066.94805908203,251165.86010742188,0,404331982848,8589930496,4445995008,0
199,1780485466641,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,5,4.761904716491699,0,0,0,0,0,0,0,0,203066.9757080078,251168.71215820313,0,404331982848,8589930496,4445995008,0
199,1780485466842,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203067.0028076172,251171.5668334961,0,404331982848,8589930496,4445995008,0
199,1780485467042,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,9.523809432983398,0,10,0,0,33.333335876464844,5,0,0,10,0,0,0,0,0,203067.52795410156,251175.38916015625,0,404331982848,8589930496,4445990912,0
199,1780485467242,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,42.105262756347656,0,0,0,0,0,203068.8084716797,251179.60284423828,0,404331982848,8589930496,4445990912,0
199,1780485467442,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,203068.98724365234,251182.52770996094,0,404331982848,8589930496,4445732864,0
199,1780485467642,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203069.16625976563,251185.39520263672,0,404331982848,8589930496,4445474816,0
199,1780485467842,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,9.523809432983398,0,0,0,0,0,0,5,0,0,14.285715103149414,0,0,0,0,0,203069.90887451172,251188.63092041016,0,404331982848,8589930496,4460699648,0
199,1780485468042,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,70,0,0,0,21.052631378173828,0,0,0,0,0,203071.09649658203,251193.0047607422,0,404331982848,8589930496,4460699648,0
199,1780485468243,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,203071.1459350586,251195.84716796875,0,404331982848,8589930496,4460441600,0
199,1780485468443,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203071.18603515625,251198.6607055664,0,404331982848,8589930496,4460441600,0
199,1780485468643,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203071.2061767578,251201.45208740234,0,404331982848,8589930496,4460441600,0
199,1780485468843,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,9.523809432983398,5,0,0,0,0,38.095237731933594,10,0,0,0,0,0,0,0,0,203072.02770996094,251205.1976928711,0,404331982848,8589930496,4460441600,0
199,1780485469043,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203073.40618896484,251209.60760498047,0,404331982848,8589930496,4460441600,0
199,1780485469243,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203073.56604003906,251212.5425415039,0,404331982848,8589930496,4460281856,0
199,1780485469443,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203073.77239990234,251215.47003173828,0,404331982848,8589930496,4460281856,0
199,1780485469644,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,5.263157844543457,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,203074.48126220703,251218.65686035156,0,404331982848,8589930496,4460281856,0
199,1780485469844,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,25,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,203075.18090820313,251222.7998046875,0,404331982848,8589930496,4460281856,0
199,1780485470044,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,203075.2294921875,251225.70635986328,0,404331982848,8589930496,4460281856,0
199,1780485470244,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203075.24780273438,251228.5225830078,0,404331982848,8589930496,4460281856,0
199,1780485470444,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,4.761904716491699,0,0,0,0,0,5,0,0,0,0,0,4.761904716491699,0,0,0,203075.25805664063,251231.3305053711,0,404331982848,8589930496,4460281856,0
199,1780485470644,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,5.263157844543457,0,0,0,0,30.000001907348633,10,0,0,0,0,0,0,0,0,203075.52661132813,251234.79779052734,0,404331982848,8589930496,4460019712,0
199,1780485470844,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,203075.73907470703,251238.6968383789,0,404331982848,8589930496,4460019712,0
199,1780485471044,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203075.77313232422,251241.7178955078,0,404331982848,8589930496,4460019712,0
199,1780485471245,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,203075.78741455078,251244.50518798828,0,404331982848,8589930496,4459761664,0
199,1780485471445,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,203075.90631103516,251247.7081298828,0,404331982848,8589930496,4459495424,0
199,1780485471645,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,5,4.761904716491699,0,57.142860412597656,0,0,0,0,30.000001907348633,0,203077.39880371094,251252.59155273438,0,404331982848,8589930496,4459495424,0
199,1780485471845,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203077.59216308594,251255.5796508789,0,404331982848,8589930496,4459495424,0
199,1780485472045,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,203077.6967163086,251258.42529296875,0,404331982848,8589930496,4459237376,0
199,1780485472245,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203077.85424804688,251261.2495727539,0,404331982848,8589930496,4458979328,0
199,1780485472446,2048,800,800,800,2000,800,2100,808,852,811,839,800,800,800,805,1143,0,0,0,0,0,0,0,10,0,31.57894515991211,0,0,0,5,20,0,203078.8169555664,251265.20404052734,0,404331982848,8589930496,4458979328,0
