Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778754459099,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,4,0,0,4.1666669845581055,4,4,0,4.1666669845581055,4,0,4.34782600402832,0,4,0,0,4,12651.727600097656,175162.298828125,0,404332056576,8589930496,4068093952,0
200,1778754459099,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,4,0,0,4.1666669845581055,4,4,0,4.1666669845581055,4,0,4.34782600402832,0,4,0,0,4,12651.727600097656,175162.298828125,0,404332056576,8589930496,4068093952,0
199,1778754459299,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,42.105262756347656,0,0,0,0,0,57.142860412597656,0,0,0,0,0,0,0,0,0,12652.365234375,175166.8465576172,0,404332056576,8589930496,4079706112,0
199,1778754459500,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12655.161682128906,175173.51123046875,0,404332056576,8589930496,4079706112,0
199,1778754459700,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12657.954223632813,175180.4295654297,0,404332056576,8589930496,4079935488,0
199,1778754459900,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12660.739440917969,175187.34106445313,0,404332056576,8589930496,4079935488,0
199,1778754460100,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,45,0,0,0,0,0,35,0,0,0,5,0,0,5.263157844543457,0,0,12662.694763183594,175193.4757080078,0,404332056576,8589930496,4096692224,0
199,1778754460300,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,12663.282165527344,175198.96258544922,0,404332056576,8589930496,4096434176,0
199,1778754460500,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,12663.7333984375,175204.45361328125,0,404332056576,8589930496,4096434176,0
199,1778754460700,1510,909,800,800,800,800,804,2066,881,800,800,800,2000,2100,1606,800,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,12664.208557128906,175209.93719482422,0,404332056576,8589930496,4096176128,0
