Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778761866212,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,4.1666669845581055,4.1666669845581055,7.692307949066162,0,0,4,8,4.1666669845581055,0,4,4.1666669845581055,0,4,0,4,0,33392.111572265625,52457.7763671875,0,404332056576,8589930496,4253073408,0
199,1778761866212,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,4.1666669845581055,4.1666669845581055,7.692307949066162,0,0,4,8,4.1666669845581055,0,4,4.1666669845581055,0,4,0,4,0,33392.11541748047,52457.79718017578,0,404332056576,8589930496,4253073408,0
199,1778761866412,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,61.904762268066406,65,63.15789031982422,100,65,65,60.000003814697266,61.904762268066406,65,63.15789031982422,61.904762268066406,61.904762268066406,61.904762268066406,65,61.904762268066406,65,33393.962646484375,52465.00280761719,0,404332056576,8589930496,4292526080,0
200,1778761866612,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,61.904762268066406,65,63.15789031982422,100,65,65,60.000003814697266,61.904762268066406,65,63.15789031982422,61.904762268066406,61.904762268066406,61.904762268066406,65,61.904762268066406,65,33395.462829589844,52471.769592285156,0,404332056576,8589930496,4318072832,0
200,1778761866812,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,71.79487609863281,32.5,31.707317352294922,60.97561264038086,30.76923179626465,31.707317352294922,32.5,30.76923179626465,30.000001907348633,32.5,32.5,32.5,32.5,31.707317352294922,30.76923179626465,31.707317352294922,33398.30291748047,52479.70715332031,0,404332056576,8589930496,4350042112,0
199,1778761867013,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33401.21252441406,52486.532958984375,0,404332056576,8589930496,4370685952,0
199,1778761867213,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33404.075927734375,52493.12243652344,0,404332056576,8589930496,4370685952,0
199,1778761867413,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33406.926696777344,52499.70977783203,0,404332056576,8589930496,4370685952,0
199,1778761867613,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33409.76794433594,52506.304626464844,0,404332056576,8589930496,4370685952,0
199,1778761867813,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,5,0,0,85,0,0,0,10,0,0,0,0,0,0,0,0,33411.698974609375,52512.0517578125,0,404332056576,8589930496,4370427904,0
200,1778761868013,815,799,800,1999,800,800,800,2099,2300,800,1351,2000,800,800,800,1613,5,0,0,85,0,0,0,10,0,0,0,0,0,0,0,0,33414.225158691406,52520.115783691406,0,404332056576,8589930496,4361392128,0
