Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780337422043,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,0,2.941176414489746,0,0,0,0,100,2.857142925262451,2.857142925262451,0,0,0,2.941176414489746,0,2.857142925262451,0,0,2.857142925262451,2.857142925262451,2.941176414489746,2.941176414489746,0,0,0,0,0,2.941176414489746,0,0,0,0,0,24564,357,11556,30,0,89935.6298828125,214860.47534179688,0,134868594688,8589930496,2305867776,0
200,1780337422043,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,0,2.941176414489746,0,0,0,0,100,2.857142925262451,2.857142925262451,0,0,0,2.941176414489746,0,2.857142925262451,0,0,2.857142925262451,2.857142925262451,2.941176414489746,2.941176414489746,0,0,0,0,0,2.941176414489746,0,0,0,0,0,24564,357,11556,30,0,89936.02966308594,214860.77020263672,0,134868594688,8589930496,2313867264,0
200,1780337422243,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,0,0,0,81.81818389892578,0,0,100,0,17.39130401611328,0,0,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11567,30,0,89945.3310546875,214868.05145263672,0,134868594688,8589930496,2321862656,0
200,1780337422443,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,5,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11567,30,0,89955.52087402344,214876.23358154297,0,134868594688,8589930496,2338119680,0
200,1780337422643,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11567,30,0,89965.70336914063,214884.41326904297,0,134868594688,8589930496,2338119680,0
200,1780337422843,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,24564,357,11567,30,0,89975.94030761719,214892.64544677734,0,134868594688,8589930496,2338119680,0
200,1780337423043,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,5,4.761904716491699,0,0,90,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11567,30,0,89985.90435791016,214900.5889892578,0,134868594688,8589930496,2341679104,0
200,1780337423243,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,5,0,0,95,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11584,30,0,89995.86950683594,214908.53509521484,0,134868594688,8589930496,2350125056,0
200,1780337423443,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11584,30,0,90006.0908203125,214916.75317382813,0,134868594688,8589930496,2350125056,0
200,1780337423643,800,800,4685,800,5331,800,800,5948,800,4400,800,2988,800,800,800,3343,3398,800,1370,1280,800,800,800,800,808,814,800,800,800,800,800,800,0,4.761904716491699,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11584,30,0,90016.34313964844,214925.00341796875,0,134868594688,8589930496,2350120960,0
