Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778766306682,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,8,4.1666669845581055,8,12,4,4.1666669845581055,0,0,0,4.1666669845581055,4,4.1666669845581055,0,4.1666669845581055,0,40839.66760253906,126110.49975585938,0,404332056576,8589930496,4287795200,0
200,1778766306682,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,8,4.1666669845581055,8,12,4,4.1666669845581055,0,0,0,4.1666669845581055,4,4.1666669845581055,0,4.1666669845581055,0,40839.66760253906,126110.49975585938,0,404332056576,8589930496,4287795200,0
199,1778766306882,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,60.000003814697266,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,40840.76806640625,126115.28411865234,0,404332056576,8589930496,4287631360,0
199,1778766307083,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40841.179626464844,126120.36315917969,0,404332056576,8589930496,4287631360,0
199,1778766307283,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40841.618896484375,126125.8726196289,0,404332056576,8589930496,4287631360,0
199,1778766307483,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40841.99676513672,126131.25201416016,0,404332056576,8589930496,4287631360,0
199,1778766307683,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40842.41076660156,126136.71313476563,0,404332056576,8589930496,4287631360,0
199,1778766307883,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40842.79895019531,126142.14697265625,0,404332056576,8589930496,4287373312,0
199,1778766308083,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,15.789472579956055,0,0,0,5,61.904762268066406,0,10,0,0,0,0,0,0,0,0,40844.07666015625,126147.8076171875,0,404332056576,8589930496,4286828544,0
199,1778766308283,800,1365,800,1810,2000,800,800,800,800,2099,1009,800,800,2000,1810,1353,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40846.90478515625,126154.50384521484,0,404332056576,8589930496,4303085568,0
