Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778772334786,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,4.1666669845581055,0,12.5,0,8,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,0,0,8,4.34782600402832,0,0,4.1666669845581055,61064.469177246094,246983.76318359375,0,404332056576,8589930496,4273549312,0
199,1778772334786,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,4.1666669845581055,0,12.5,0,8,4.1666669845581055,4.1666669845581055,4.1666669845581055,4,0,0,8,4.34782600402832,0,0,4.1666669845581055,61064.469177246094,246983.76318359375,0,404332056576,8589930496,4273549312,0
202,1778772334986,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,100,65,60.000003814697266,61.904762268066406,65,61.904762268066406,61.904762268066406,65,65,61.904762268066406,65,60.000003814697266,61.904762268066406,65,61.904762268066406,60.000003814697266,61066.33679199219,246991.42584228516,0,404332056576,8589930496,4285419520,0
200,1778772335188,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,81.81818389892578,20,25,21.052631378173828,20,25,21.052631378173828,20,20,21.052631378173828,20,25,25,20,40,25,61069.238342285156,246998.76556396484,0,404332056576,8589930496,4311482368,0
200,1778772335388,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,42.105262756347656,40,40,40,42.105262756347656,40,40,42.85714340209961,40,40,40,40,40,45,100,40,61070.94470214844,247005.97973632813,0,404332056576,8589930496,4344508416,0
199,1778772335589,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,61071.419006347656,247011.49151611328,0,404332056576,8589930496,4381409280,0
199,1778772335789,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,61071.83868408203,247016.8427734375,0,404332056576,8589930496,4381151232,0
199,1778772335989,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,61072.367614746094,247022.38220214844,0,404332056576,8589930496,4381151232,0
199,1778772336189,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,61072.82635498047,247027.9217529297,0,404332056576,8589930496,4381151232,0
199,1778772336389,800,2000,1187,1028,800,800,1600,1000,800,800,800,2099,815,800,800,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,61073.86926269531,247033.5355834961,0,404332056576,8589930496,4388446208,0
