Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780343091281,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,2.857142925262451,0,0,100,0,0,0,2.941176414489746,2.857142925262451,0,0,0,2.941176414489746,0,2.941176414489746,0,0,0,0,0,0,0,2.941176414489746,0,3.0303030014038086,2.941176414489746,0,0,0,0,0,24564,357,11574,31,0,52014.77502441406,120124.97961425781,0,134868594688,8589930496,2303909888,0
200,1780343091281,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,2.857142925262451,0,0,100,0,0,0,2.941176414489746,2.857142925262451,0,0,0,2.941176414489746,0,2.941176414489746,0,0,0,0,0,0,0,2.941176414489746,0,3.0303030014038086,2.941176414489746,0,0,0,0,0,24564,357,11574,31,0,52015.139099121094,120125.25408935547,0,134868594688,8589930496,2303909888,0
200,1780343091481,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,54.54545593261719,0,9.090909004211426,0,0,0,33.333335876464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909004211426,0,0,0,0,24564,357,11576,31,0,52024.77392578125,120132.85363769531,0,134868594688,8589930496,2316771328,0
200,1780343091681,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11576,31,0,52035.139892578125,120141.21087646484,0,134868594688,8589930496,2319085568,0
200,1780343091881,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11576,31,0,52045.61022949219,120149.67120361328,0,134868594688,8589930496,2335309824,0
200,1780343092081,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,11576,31,0,52056.21240234375,120158.26184082031,0,134868594688,8589930496,2335887360,0
200,1780343092281,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11576,31,0,52066.73718261719,120166.78015136719,0,134868594688,8589930496,2335887360,0
200,1780343092482,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,5,0,0,0,0,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,5,0,0,24564,357,11539,31,0,52076.830078125,120174.83587646484,0,134868594688,8589930496,2320220160,0
200,1780343092682,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11539,31,0,52087.441833496094,120183.43627929688,0,134868594688,8589930496,2320220160,0
200,1780343092882,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11539,31,0,52098.00958251953,120191.99713134766,0,134868594688,8589930496,2320216064,0
200,1780343093082,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,24564,357,11539,31,0,52108.69647216797,120200.67333984375,0,134868594688,8589930496,2320216064,0
200,1780343093282,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,80.95238494873047,0,4.761904716491699,0,0,0,0,0,4.761904716491699,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11539,31,0,52118.586364746094,120208.52239990234,0,134868594688,8589930496,2322182144,0
200,1780343093482,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11480,31,0,52129.020568847656,120216.93487548828,0,134868594688,8589930496,2330439680,0
200,1780343093682,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,11480,31,0,52139.50390625,120225.41162109375,0,134868594688,8589930496,2330439680,0
200,1780343093882,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11480,31,0,52150.17724609375,120234.06616210938,0,134868594688,8589930496,2330439680,0
200,1780343094083,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,11480,31,0,52160.75079345703,120242.63458251953,0,134868594688,8589930496,2322116608,0
200,1780343094283,1748,800,800,1550,800,5944,2488,800,800,4400,3447,800,900,800,800,4400,4399,1469,800,800,1439,800,800,800,1704,1447,4859,800,1435,800,1063,800,5.263157844543457,0,0,0,0,100,85,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909004211426,0,0,0,0,24564,357,11480,31,0,52170.65185546875,120250.48840332031,0,134868594688,8589930496,2336862208,0
