Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780411879231,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,3.7037036418914795,3.7037036418914795,0,0,11.111111640930176,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.5714287757873535,0,0,3.5714287757873535,0,3.7037036418914795,7.407407283782959,178250.20275878906,31961.819702148438,0,404331982848,8589930496,4371038208,0
199,1780411879231,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,3.7037036418914795,3.7037036418914795,0,0,11.111111640930176,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.5714287757873535,0,0,3.5714287757873535,0,3.7037036418914795,7.407407283782959,178250.20678710938,31961.841735839844,0,404331982848,8589930496,4371038208,0
199,1780411879431,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,55,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,178251.4810180664,31966.989807128906,0,404331982848,8589930496,4371496960,0
199,1780411879631,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178251.98321533203,31972.515197753906,0,404331982848,8589930496,4371496960,0
199,1780411879831,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178252.42626953125,31978.03289794922,0,404331982848,8589930496,4371496960,0
199,1780411880032,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178252.91510009766,31983.496643066406,0,404331982848,8589930496,4371496960,0
199,1780411880232,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178253.40338134766,31988.979858398438,0,404331982848,8589930496,4371496960,0
199,1780411880432,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178253.8311767578,31994.446411132813,0,404331982848,8589930496,4371496960,0
199,1780411880632,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178254.28448486328,31999.88397216797,0,404331982848,8589930496,4371496960,0
199,1780411880832,1645,1100,800,800,800,800,800,2000,2000,800,1000,800,800,800,800,2099,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,178254.70385742188,32005.262329101563,0,404331982848,8589930496,4371496960,0
