Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780406027006,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,10.714285850524902,6.896551609039307,6.896551609039307,3.4482758045196533,3.5714287757873535,0,0,0,3.5714287757873535,10,3.4482758045196533,3.4482758045196533,7.142857551574707,3.4482758045196533,3.7037036418914795,7.407407283782959,142344.52001953125,139943.05279541016,0,404331982848,8589930496,4637581312,0
200,1780406027006,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,10.714285850524902,6.896551609039307,6.896551609039307,3.4482758045196533,3.5714287757873535,0,0,0,3.5714287757873535,10,3.4482758045196533,3.4482758045196533,7.142857551574707,3.4482758045196533,3.7037036418914795,7.407407283782959,142344.5233154297,139943.0750732422,0,404331982848,8589930496,4637581312,0
199,1780406027206,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,0,0,0,0,0,0,0,61.904762268066406,0,0,42.105262756347656,0,0,0,0,0,142344.9419555664,139947.62396240234,0,404331982848,8589930496,4645580800,0
201,1780406027406,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,40,44.4444465637207,68.42105102539063,47.619049072265625,55,55,63.15789031982422,42.105262756347656,47.619049072265625,47.36842346191406,66.66667175292969,50,52.38095474243164,47.36842346191406,65,66.66667175292969,142347.46575927734,139955.4652709961,0,404331982848,8589930496,4672155648,0
199,1780406027607,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,70,54.54545593261719,85.71428680419922,75,70,72.7272720336914,71.42857360839844,66.66667175292969,75,65,63.15789031982422,75,63.15789031982422,66.66667175292969,80,70,142350.1460571289,139964.84436035156,0,404331982848,8589930496,4686086144,0
200,1780406027808,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,50,52.6315803527832,63.15789031982422,42.105262756347656,60.000003814697266,70,60.000003814697266,47.36842346191406,65,71.42857360839844,61.904762268066406,57.142860412597656,65,55,66.66667175292969,70,142352.97637939453,139973.80322265625,0,404331982848,8589930496,4674355200,0
200,1780406028008,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,5,10,47.619049072265625,0,0,0,0,0,25,0,0,0,0,0,0,5,142354.6961669922,139978.9232788086,0,404331982848,8589930496,4664086528,0
200,1780406028209,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,55,55,63.15789031982422,52.38095474243164,55,55,55,47.619049072265625,57.894737243652344,63.15789031982422,73.68421173095703,60.000003814697266,60.000003814697266,57.894737243652344,57.894737243652344,60.000003814697266,142357.11895751953,139987.39135742188,0,404331982848,8589930496,4671307776,0
199,1780406028409,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,75,70,95,73.68421173095703,70,73.68421173095703,66.66667175292969,78.94737243652344,76.19047546386719,70,76.19047546386719,68.42105102539063,70,66.66667175292969,75,75,142359.53521728516,139996.66467285156,0,404331982848,8589930496,4673114112,0
200,1780406028609,2000,2000,800,800,1989,800,906,1890,800,2100,1805,1232,976,890,800,800,61.904762268066406,50,65,60.000003814697266,65,65,73.68421173095703,55,50,60.000003814697266,47.36842346191406,42.85714340209961,61.904762268066406,55,42.85714340209961,60.000003814697266,142362.0082397461,140004.80401611328,0,404331982848,8589930496,4676726784,0
