Guideline,Benchmark,Shapiro_Base_p,Shapiro_Opt_p,Normal_Base,Normal_Optimized
g1,binary_trees,0.00065,0.0166,False,False
g1,nbody,0.0,0.00032,False,False
g1,results-bubble-sort,0.0,0.0,False,False
g1,results-fft,0.0909,0.29784,True,True
g1,results-lu,0.33714,0.31453,True,True
g1,results-monte_carlo,0.1838,0.45399,True,True
g1,results-richards,0.03436,0.33819,False,True
g1,results-sieves-ros,0.0,0.0,False,False
g1,results-sor,0.67545,0.00133,True,False
g1,results-sparse_mat_mult,0.40814,0.61539,True,True
g1,spectral_norm,0.0017,4e-05,False,False
g13,results-cws,0.85328,0.90397,True,True
g13,results-disk,0.37641,0.72214,True,True
g13,results-flag,0.48666,0.82788,True,True
g13,results-polling,0.30593,0.52932,True,True
g13,results-sleep,0.19871,0.51137,True,True
g15,results-bubble-sort,0.0,0.0,False,False
g15,results-fft,0.0909,0.02575,True,False
g15,results-lu,0.33714,0.98478,True,True
g15,results-mandelbrot-set,0.0,0.0,False,False
g15,results-monte_carlo,0.1838,0.56412,True,True
g15,results-richards,0.03436,0.12061,False,True
g15,results-sieves-ros,0.0,1e-05,False,False
g15,results-sor,0.67545,0.50553,True,True
g15,results-sparse_mat_mult,0.40814,0.28382,True,True
g15,spectral_norm,0.0017,0.0,False,False
g17,results-fft,0.0909,0.35669,True,True
g17,results-lu,0.33714,0.07446,True,True
g17,results-mandelbrot-set,0.0,1e-05,False,False
g17,results-sieves-ros,0.0,1e-05,False,False
g17,results-sor,0.67545,0.25324,True,True
g17,spectral_norm,0.0017,0.00044,False,False
g18,binary_trees,0.00065,0.14046,False,True
g18,results-fft,0.0909,0.08,True,True
g18,results-mandelbrot-set,0.0,0.0,False,False
g18,results-sieves-ros,0.0,1e-05,False,False
g18,spectral_norm,0.0017,0.00032,False,False
g19,binary_trees,0.00065,0.00066,False,False
g19,django,0.4585,0.99081,True,True
g19,nbody,0.0,0.01902,False,False
g19,results-bubble-sort,0.0,0.0,False,False
g19,results-fft,0.0909,0.0504,True,True
g19,results-lu,0.33714,0.298,True,True
g19,results-monte_carlo,0.1838,0.81926,True,True
g19,results-richards,0.03436,0.47309,False,True
g19,results-sor,0.67545,0.4798,True,True
g19,results-sparse_mat_mult,0.40814,0.77878,True,True
g19,spectral_norm,0.0017,0.0001,False,False
g2,results-bubble-sort,0.0,0.0,False,False
g2,results-insertion,0.0,0.02921,False,False
g2,results-merge,0.0,0.0,False,False
g2,results-selection,0.0,0.0,False,False
g2,results-sor,0.67545,0.02599,True,False
g23,results-fft,0.0909,0.0,True,False
g23,results-lu,0.33714,0.75825,True,True
g23,results-monte_carlo,0.1838,0.92697,True,True
g23,results-sor,0.67545,0.82517,True,True
g23,results-sparse_mat_mult,0.40814,0.18236,True,True
g24,django,0.4585,0.08004,True,True
g24,nbody,0.0,2e-05,False,False
g24,results-bubble-sort,0.0,0.05517,False,True
g24,results-fft,0.0909,0.00326,True,False
g24,results-lu,0.33714,0.78493,True,True
g24,results-mandelbrot-set,0.0,0.0,False,False
g24,results-monte_carlo,0.1838,0.00427,True,False
g24,results-sieves-ros,0.0,6e-05,False,False
g24,results-sor,0.67545,0.49382,True,True
g24,results-sparse_mat_mult,0.40814,0.81196,True,True
g24,spectral_norm,0.0017,0.26859,False,True
g25,glg1-lu,9e-05,0.38601,False,True
g25,glg1-mndset,0.39286,0.00159,True,False
g25,glg1-monte_carlo,0.31225,0.0,True,False
g25,glg1-sparse,0.75061,0.27899,True,True
g25,glg1-spectral,0.25405,0.98965,True,True
g26,django,0.4585,0.73616,True,True
g26,results-lu,0.33714,0.47978,True,True
g26,results-monte_carlo,0.1838,0.75282,True,True
g26,results-sor,0.67545,0.34469,True,True
g26,results-sparse_mat_mult,0.40814,0.69688,True,True
g26,results_richards_g26,0.15712,0.34592,True,True
g27,results-lu,0.33714,0.22493,True,True
g27,results-mandelbrot-set,0.0,0.03997,False,False
g27,results-monte_carlo,0.1838,0.29617,True,True
g27,results-sparse_mat_mult,0.40814,0.0,True,False
g27,spectral_norm,0.0017,0.0,False,False
g28,nbody,0.0,0.0,False,False
g28,results-lu,0.33714,0.26128,True,True
g28,results-monte_carlo,0.1838,0.14946,True,True
g28,results-sieves-ros,0.0,0.0,False,False
g28,results-spectral,0.0022,0.02134,False,False
g3,binary_trees,0.00065,0.0009,False,False
g3,django,0.4585,0.06621,True,True
g3,nbody,0.0,0.0,False,False
g3,results-bubble-sort,0.0,0.0,False,False
g3,results-fft,0.0909,0.48522,True,True
g3,results-lu,0.33714,0.0,True,False
g3,results-mandelbrot-set,0.0,0.0,False,False
g3,results-monte_carlo,0.1838,0.15223,True,True
g3,results-richards,0.03436,0.37653,False,True
g3,results-sieves-ros,0.0,1e-05,False,False
g3,results-sor,0.67545,0.86041,True,True
g3,results-sparse_mat_mult,0.40814,0.0,True,False
g3,spectral_norm,0.0017,0.00016,False,False
g4,results-bubble-sort,0.0,0.0,False,False
g4,results-log_processing,0.0,0.0,False,False
g4,results-lu,0.33714,0.50567,True,True
g4,results-network,0.0,0.0,False,False
g4,results-short_circ_eval,0.0,0.0,False,False
g4,results-sor,0.67545,0.4379,True,True
g5,nbody,0.0,0.0,False,False
g5,results-fft,0.0909,0.30066,True,True
g5,results-monte_carlo,0.1838,0.16425,True,True
g5,results-pi,0.03729,0.87149,False,True
g5,results-roots,0.50335,0.26726,True,True
g6,django,0.4585,0.32485,True,True
g6,results-mandelbrot-set,0.0,0.0,False,False
g6,results-richards,0.03436,0.96141,False,True
g6,results-sieves-ros,0.0,0.0,False,False
g6,spectral_norm,0.0017,0.0,False,False
g7,binary_trees,0.00065,2e-05,False,False
g7,django,0.4585,0.23447,True,True
g7,nbody,0.0,2e-05,False,False
g7,results-bubble-sort,0.0,0.0,False,False
g7,results-fft,0.0909,0.49173,True,True
g7,results-lu,0.33714,0.0,True,False
g7,results-monte_carlo,0.1838,0.70168,True,True
g7,results-sieves-ros,0.0,0.0,False,False
g7,results-sor,0.67545,0.20405,True,True
g7,results-sparse_mat_mult,0.40814,0.23853,True,True
g7,spectral_norm,0.0017,3e-05,False,False
g8,binary_trees,0.00065,0.01105,False,False
g8,nbody,0.0,0.02564,False,False
g8,results-bubble-sort,0.0,0.0018,False,False
g8,results-sieves-ros,0.0,0.0,False,False
