Guideline,Benchmark,Shapiro_Base_p,Shapiro_Opt_p,Normal_Base,Normal_Optimized
g1,binary_trees,0.09635,0.04929,True,False
g1,nbody,0.0,0.0,False,False
g1,results-bubble-sort,0.0,0.0,False,False
g1,results-fft,0.0,0.0,False,False
g1,results-lu,0.00049,0.0,False,False
g1,results-monte_carlo,0.0,0.00031,False,False
g1,results-richards,0.0,0.0,False,False
g1,results-sieves-ros,0.0,2e-05,False,False
g1,results-sor,0.0,0.0,False,False
g1,results-sparse_mat_mult,0.0,0.0,False,False
g1,spectral_norm,0.0,0.0,False,False
g13,results-cws,0.0,0.0,False,False
g13,results-disk,1e-05,0.00276,False,False
g13,results-flag,0.0,2e-05,False,False
g13,results-polling,0.0,0.00625,False,False
g13,results-sleep,0.0,0.0,False,False
g15,results-bubble-sort,0.0,1.0,False,True
g15,results-fft,0.0,0.0,False,False
g15,results-lu,0.00049,0.0,False,False
g15,results-mandelbrot-set,0.0,3e-05,False,False
g15,results-monte_carlo,0.0,0.0,False,False
g15,results-richards,0.0,0.00184,False,False
g15,results-sieves-ros,0.0,0.0,False,False
g15,results-sor,0.0,0.0,False,False
g15,results-sparse_mat_mult,0.0,0.0,False,False
g15,spectral_norm,0.0,0.0,False,False
g17,results-fft,0.0,1e-05,False,False
g17,results-lu,0.00049,0.0,False,False
g17,results-mandelbrot-set,0.0,0.0,False,False
g17,results-sieves-ros,0.0,2e-05,False,False
g17,results-sor,0.0,0.0,False,False
g17,spectral_norm,0.0,0.0,False,False
g18,binary_trees,0.09635,0.0008,True,False
g18,results-fft,0.0,1e-05,False,False
g18,results-mandelbrot-set,0.0,0.0,False,False
g18,results-sieves-ros,0.0,0.0,False,False
g18,spectral_norm,0.0,0.0,False,False
g19,binary_trees,0.09635,0.03279,True,False
g19,django,0.0,0.0,False,False
g19,nbody,0.0,0.0,False,False
g19,results-bubble-sort,0.0,0.0,False,False
g19,results-fft,0.0,0.0,False,False
g19,results-lu,0.00049,0.0,False,False
g19,results-monte_carlo,0.0,1e-05,False,False
g19,results-richards,0.0,0.0,False,False
g19,results-sor,0.0,0.0,False,False
g19,results-sparse_mat_mult,0.0,0.0,False,False
g19,spectral_norm,0.0,0.0,False,False
g2,results-bubble-sort,0.0,0.0,False,False
g2,results-insertion,0.0,0.0,False,False
g2,results-merge,0.00032,0.0,False,False
g2,results-selection,0.0,0.0,False,False
g2,results-sor,0.0,0.0,False,False
g23,results-fft,0.0,0.0,False,False
g23,results-lu,0.00049,0.0,False,False
g23,results-monte_carlo,0.0,0.0,False,False
g23,results-sor,0.0,0.0,False,False
g23,results-sparse_mat_mult,0.0,0.0,False,False
g24,django,0.0,0.00701,False,False
g24,nbody,0.0,0.0,False,False
g24,results-bubble-sort,0.0,0.0,False,False
g24,results-fft,0.0,6e-05,False,False
g24,results-lu,0.00049,0.0,False,False
g24,results-mandelbrot-set,0.0,0.0,False,False
g24,results-monte_carlo,0.0,0.70088,False,True
g24,results-sieves-ros,0.0,0.0,False,False
g24,results-sor,0.0,0.0,False,False
g24,results-sparse_mat_mult,0.0,2e-05,False,False
g24,spectral_norm,0.0,0.0,False,False
g25,glg1-lu,1e-05,0.0,False,False
g25,glg1-mndset,0.14271,0.0,True,False
g25,glg1-monte_carlo,0.0,0.0,False,False
g25,glg1-sparse,0.0,0.0,False,False
g25,glg1-spectral,0.0,0.0,False,False
g26,django,0.0,0.07883,False,True
g26,results-lu,0.00049,0.76725,False,True
g26,results-monte_carlo,0.0,0.02091,False,False
g26,results-sor,0.0,0.00562,False,False
g26,results-sparse_mat_mult,0.0,0.10551,False,True
g26,results_richards_g26,0.02844,0.13401,False,True
g27,results-lu,0.00049,0.40962,False,True
g27,results-mandelbrot-set,0.0,0.0,False,False
g27,results-monte_carlo,0.0,0.07052,False,True
g27,results-sparse_mat_mult,0.0,0.0,False,False
g27,spectral_norm,0.0,0.0,False,False
g28,nbody,0.0,0.0,False,False
g28,results-lu,0.00049,0.0,False,False
g28,results-monte_carlo,0.0,0.0,False,False
g28,results-sieves-ros,0.0,0.0,False,False
g28,results-spectral,0.0,0.0,False,False
g3,binary_trees,0.09635,0.36504,True,True
g3,django,0.0,3e-05,False,False
g3,nbody,0.0,0.0,False,False
g3,results-bubble-sort,0.0,0.0,False,False
