Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1778008659769,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,0,8,8.69565200805664,0,4.1666669845581055,0,4.1666669845581055,0,0,4,0,8,0,0,8,4.1666669845581055,106443.63427734375,48780.93585205078,0,404332056576,8589930496,4073226240,0
200,1778008659769,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,0,8,8.69565200805664,0,4.1666669845581055,0,4.1666669845581055,0,0,4,0,8,0,0,8,4.1666669845581055,106443.63427734375,48780.93585205078,0,404332056576,8589930496,4073226240,0
199,1778008659970,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,60.000003814697266,61.904762268066406,61.904762268066406,65,65,65,63.15789031982422,65,65,65,60.000003814697266,65,61.904762268066406,60.000003814697266,61.904762268066406,106445.76007080078,48788.74230957031,0,404332056576,8589930496,4072968192,0
199,1778008660170,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106448.6728515625,48795.66223144531,0,404332056576,8589930496,4072968192,0
199,1778008660370,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106451.58428955078,48802.589904785156,0,404332056576,8589930496,4072968192,0
199,1778008660570,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106454.49230957031,48809.5166015625,0,404332056576,8589930496,4072968192,0
199,1778008660770,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106457.37493896484,48816.45068359375,0,404332056576,8589930496,4074168320,0
199,1778008660970,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106460.29809570313,48823.392333984375,0,404332056576,8589930496,4073910272,0
199,1778008661170,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106463.18688964844,48830.32537841797,0,404332056576,8589930496,4073652224,0
199,1778008661371,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106466.08410644531,48837.26574707031,0,404332056576,8589930496,4073652224,0
199,1778008661571,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106468.99853515625,48844.185546875,0,404332056576,8589930496,4073652224,0
199,1778008661771,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106471.89086914063,48851.11590576172,0,404332056576,8589930496,4073394176,0
199,1778008661971,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106474.78448486328,48858.05352783203,0,404332056576,8589930496,4073394176,0
199,1778008662171,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106477.68835449219,48864.94860839844,0,404332056576,8589930496,4073394176,0
199,1778008662371,1389,800,2100,800,800,800,800,2000,800,800,799,1000,800,800,800,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106480.5806274414,48871.70861816406,0,404332056576,8589930496,4073394176,0
